key,1,2
#,Name,Description
offset,0,4
int32,str,str
0,,
1,勝利的榮光1,討伐100個敵人。
2,勝利的榮光2,討伐500個敵人。
3,勝利的榮光3,討伐1000個敵人。
4,勝利的榮光4,討伐5000個敵人。
5,勝利的榮光5,討伐10000個敵人。
6,勝利的榮光6,討伐50000個敵人。
7,戰爭女神的垂青,討伐100000個敵人。
8,拉諾西亞的菁英獵手,成功討伐以下惡名菁英：巴洛梅茲、狡黠賽克斯、暴食格特魯德、爆彈男爵、未名士兵之靈、六爪長老、撼天猛牛。
9,黑衣森林的菁英獵手,成功討伐以下惡名菁英：阿路修、波利特女王、頑猴傑克、西洛可、派亞、大肚子豪特珀克斯、瘟疫王子。
10,薩納蘭的菁英獵手,成功討伐以下惡名菁英：苔角長老、仙人掌傑克、長腿老爹、彈指通柯柯盧恩、蟻巢指揮官、巴狄、蛾龍螟蜥。
11,庫爾札斯的菁英獵手,成功討伐以下惡名菁英：烏賴烏斯、爆發石火精、毛絨絨鄧斯坦。
12,摩杜納的菁英獵手,成功討伐以下惡名菁英：邪鬼之眼哆哆雷。
13,斯珀謝靈窟的菁英獵手,成功討伐以下惡名菁英：剪刀手謝里登、巨印瑞莫拉、獨行長鬚豹。
14,蠻族菁英獵手,成功討伐以下惡名菁英：劊子手羅佐爾·托托羅克、烈火拳阿力古·秋、第3團高級教士茲伽。
15,菁英殺手,成功討伐25種不同的惡名菁英。
16,炎神殲滅,在伊弗利特殲滅戰中戰勝伊弗利特。
17,賢王殲滅,在莫古力賢王殲滅戰中戰勝賢王莫古爾·莫古十二世。
18,風神殲滅,在迦樓羅殲滅戰中戰勝迦樓羅。
19,利劍中的領悟1,將劍術師升到10級。
20,利劍中的領悟2,將劍術師升到20級。
21,利劍中的領悟3,將劍術師升到30級。
22,利劍中的領悟4,將劍術師升到40級。
23,利劍中的領悟5,將劍術師升到50級。
24,鬥拳中的領悟1,將格鬥家升到10級。
25,鬥拳中的領悟2,將格鬥家升到20級。
26,鬥拳中的領悟3,將格鬥家升到30級。
27,鬥拳中的領悟4,將格鬥家升到40級。
28,鬥拳中的領悟5,將格鬥家升到50級。
29,大斧中的領悟1,將斧術師升到10級。
30,大斧中的領悟2,將斧術師升到20級。
31,大斧中的領悟3,將斧術師升到30級。
32,大斧中的領悟4,將斧術師升到40級。
33,大斧中的領悟5,將斧術師升到50級。
34,尖槍中的領悟1,將槍術師升到10級。
35,尖槍中的領悟2,將槍術師升到20級。
36,尖槍中的領悟3,將槍術師升到30級。
37,尖槍中的領悟4,將槍術師升到40級。
38,尖槍中的領悟5,將槍術師升到50級。
39,箭矢中的領悟1,將弓箭手升到10級。
40,箭矢中的領悟2,將弓箭手升到20級。
41,箭矢中的領悟3,將弓箭手升到30級。
42,箭矢中的領悟4,將弓箭手升到40級。
43,箭矢中的領悟5,將弓箭手升到50級。
44,尚武之勇者,將劍術師、格鬥家、斧術師、弓箭手、槍術師都升到50級。
45,幻術中的領悟1,將幻術師升到10級。
46,幻術中的領悟2,將幻術師升到20級。
47,幻術中的領悟3,將幻術師升到30級。
48,幻術中的領悟4,將幻術師升到40級。
49,幻術中的領悟5,將幻術師升到50級。
50,咒術中的領悟1,將咒術師升到10級。
51,咒術中的領悟2,將咒術師升到20級。
52,咒術中的領悟3,將咒術師升到30級。
53,咒術中的領悟4,將咒術師升到40級。
54,咒術中的領悟5,將咒術師升到50級。
55,御魔之智者,將幻術師、咒術師和秘術師都升到50級。
56,八重之道的探究者,達成「尚武之勇者」和「御魔之智者」兩個成就。
57,木工中的領悟1,將刻木匠升到10級。
58,木工中的領悟2,將刻木匠升到20級。
59,木工中的領悟3,將刻木匠升到30級。
60,木工中的領悟4,將刻木匠升到40級。
61,木工中的領悟5,將刻木匠升到50級。
62,鍛冶中的領悟1,將鍛鐵匠升到10級。
63,鍛冶中的領悟2,將鍛鐵匠升到20級。
64,鍛冶中的領悟3,將鍛鐵匠升到30級。
65,鍛冶中的領悟4,將鍛鐵匠升到40級。
66,鍛冶中的領悟5,將鍛鐵匠升到50級。
67,甲胄中的領悟1,將鑄甲匠升到10級。
68,甲胄中的領悟2,將鑄甲匠升到20級。
69,甲胄中的領悟3,將鑄甲匠升到30級。
70,甲胄中的領悟4,將鑄甲匠升到40級。
71,甲胄中的領悟5,將鑄甲匠升到50級。
72,雕金中的領悟1,將雕金匠升到10級。
73,雕金中的領悟2,將雕金匠升到20級。
74,雕金中的領悟3,將雕金匠升到30級。
75,雕金中的領悟4,將雕金匠升到40級。
76,雕金中的領悟5,將雕金匠升到50級。
77,皮革中的領悟1,將製革匠升到10級。
78,皮革中的領悟2,將製革匠升到20級。
79,皮革中的領悟3,將製革匠升到30級。
80,皮革中的領悟4,將製革匠升到40級。
81,皮革中的領悟5,將製革匠升到50級。
82,裁縫中的領悟1,將裁衣匠升到10級。
83,裁縫中的領悟2,將裁衣匠升到20級。
84,裁縫中的領悟3,將裁衣匠升到30級。
85,裁縫中的領悟4,將裁衣匠升到40級。
86,裁縫中的領悟5,將裁衣匠升到50級。
87,煉金中的領悟1,將煉金術士升到10級。
88,煉金中的領悟2,將煉金術士升到20級。
89,煉金中的領悟3,將煉金術士升到30級。
90,煉金中的領悟4,將煉金術士升到40級。
91,煉金中的領悟5,將煉金術士升到50級。
92,烹調中的領悟1,將烹調師升到10級。
93,烹調中的領悟2,將烹調師升到20級。
94,烹調中的領悟3,將烹調師升到30級。
95,烹調中的領悟4,將烹調師升到40級。
96,烹調中的領悟5,將烹調師升到50級。
97,博學之巧者,將刻木匠、鍛鐵匠、鑄甲匠、雕金匠、製革匠、裁衣匠、煉金術士、烹調師都升到50級。
98,礦石中的領悟1,將採礦工升到10級。
99,礦石中的領悟2,將採礦工升到20級。
100,礦石中的領悟3,將採礦工升到30級。
101,礦石中的領悟4,將採礦工升到40級。
102,礦石中的領悟5,將採礦工升到50級。
103,草木中的領悟1,將園藝工升到10級。
104,草木中的領悟2,將園藝工升到20級。
105,草木中的領悟3,將園藝工升到30級。
106,草木中的領悟4,將園藝工升到40級。
107,草木中的領悟5,將園藝工升到50級。
108,垂釣中的領悟1,將捕魚人升到10級。
109,垂釣中的領悟2,將捕魚人升到20級。
110,垂釣中的領悟3,將捕魚人升到30級。
111,垂釣中的領悟4,將捕魚人升到40級。
112,垂釣中的領悟5,將捕魚人升到50級。
113,廣識之賢者,將採礦工、園藝工、捕魚人的職業都升到50級。
114,血與汗的價值1,通過理符任務獲得累計100金幣的報酬。
115,血與汗的價值2,通過理符任務獲得累計1000金幣的報酬。
116,血與汗的價值3,通過理符任務獲得累計10000金幣的報酬。
117,血與汗的價值4,通過理符任務獲得累計100000金幣的報酬。
118,血與汗的價值5,通過理符任務獲得累計1000000金幣的報酬。
119,商貿之神的垂青,通過理符任務獲得累計10000000金幣的報酬。
120,積土成山1,通過討伐敵人獲得累計1000金幣的報酬。
121,積土成山2,通過討伐敵人獲得累計10000金幣的報酬。
122,積土成山3,通過討伐敵人獲得累計100000金幣的報酬。
123,積土成山4,通過討伐敵人獲得累計1000000金幣的報酬。
124,積土成山5,通過討伐敵人獲得累計10000000金幣的報酬。
125,勇武之人的賞金,通過討伐敵人獲得累計100000000金幣的報酬。
126,高潔的聖堂騎士,收集到聖堂鎖甲頭罩、聖堂鎖子鎧、聖堂鎖甲靴三件套裝。<hex:02100103>※將收集到的裝備全都穿到身上之後與位於格里達尼亞舊街的喬納森對話後獲得。
127,勇猛的海盜戰士,收集到海盜三角帽、海盜戰裝、海盜長靴三件套裝。<hex:02100103>※將收集到的裝備全都穿到身上之後與位於格里達尼亞舊街的喬納森對話後獲得。
128,詼諧的滑稽小丑,收集到滑稽帽、滑稽棉甲、滑稽緊身褲三件套裝。<hex:02100103>※將收集到的裝備全都穿到身上之後與位於格里達尼亞舊街的喬納森對話後獲得。
129,無鋒之騎士,完成任務「復甦的上古武器」，獲得無鋒劍柯塔納和神聖盾。
130,釋法之武僧,完成任務「復甦的上古武器」，獲得釋法來。
131,勇悍之戰士,完成任務「復甦的上古武器」，獲得勇悍斧。
132,穿心之龍騎士,完成任務「復甦的上古武器」，獲得穿心槍蓋博爾格。
133,月神之吟遊詩人,完成任務「復甦的上古武器」，獲得月神之弓。
134,酒神之白魔法師,完成任務「復甦的上古武器」，獲得酒神杖。
135,星塵之黑魔法師,完成任務「復甦的上古武器」，獲得星塵杖。
136,復甦的上古武器,完成任務「復甦的上古武器」，獲得無鋒劍柯塔納、神聖盾、釋法來、勇悍斧、穿心槍蓋博爾格、月神之弓、酒神杖、星塵杖、綠瞳列傳以及萬辭全書。
