key,8
#,Name
offset,0
int32,str
0,
1,灰色
2,四邊形
3,紫色
4,漸變色：防護職業
5,漸變色：進攻職業
6,漸變色：治療職業
7,羊皮紙
8,乙太空間
9,木製隔板
10,虛無界空間
11,騎士（華麗）
12,戰士（華麗）
13,暗黑騎士（華麗）
14,絕槍戰士（華麗）
15,白魔法師（華麗）
16,學者（華麗）
17,占星術士（華麗）
18,賢者（華麗）
19,武僧（華麗）
20,龍騎士（華麗）
21,忍者（華麗）
22,武士（華麗）
23,釤鐮客（華麗）
24,吟遊詩人（華麗）
25,機工士（華麗）
26,舞者（華麗）
27,黑魔法師（華麗）
28,召喚師（華麗）
29,赤魔法師（華麗）
30,星極隊
31,靈極隊
32,第1賽季水晶衝突：王者
33,第1賽季水晶衝突：勇者
34,第1賽季水晶衝突：獲獎者
35,第1賽季水晶衝突：青銅
36,第1賽季水晶衝突：白銀
37,第1賽季水晶衝突：黃金
38,第1賽季水晶衝突：白金
39,第1賽季水晶衝突：鑽石
40,第1賽季水晶衝突：水晶
41,隨身神典石1
42,隨身神典石2
43,劍術師
44,斧術師
45,幻術師
46,格鬥家
47,槍術師
48,雙劍師
49,弓箭手
50,咒術師
51,秘術師
52,騎士（簡易）
53,戰士（簡易）
54,暗黑騎士（簡易）
55,絕槍戰士（簡易）
56,白魔法師（簡易）
57,學者（簡易）
58,占星術士（簡易）
59,賢者（簡易）
60,武僧（簡易）
61,龍騎士（簡易）
62,忍者（簡易）
63,武士（簡易）
64,釤鐮客（簡易）
65,吟遊詩人（簡易）
66,機工士（簡易）
67,舞者（簡易）
68,黑魔法師（簡易）
69,召喚師（簡易）
70,赤魔法師（簡易）
71,青魔法師（簡易）
72,刻木匠（簡易）
73,鍛鐵匠（簡易）
74,鑄甲匠（簡易）
75,雕金匠（簡易）
76,製革匠（簡易）
77,裁衣匠（簡易）
78,煉金術士（簡易）
79,烹調師（簡易）
80,採礦工（簡易）
81,園藝工（簡易）
82,捕魚人（簡易）
83,格里達尼亞
84,利姆薩·羅敏薩
85,烏爾達哈
86,巴哈姆特絕境戰
87,究極神兵絕境戰
88,亞歷山大絕境戰
89,幻想龍詩絕境戰
90,第2賽季水晶衝突：王者
91,第2賽季水晶衝突：勇者
92,第2賽季水晶衝突：獲獎者
93,第2賽季水晶衝突：青銅
94,第2賽季水晶衝突：白銀
95,第2賽季水晶衝突：黃金
96,第2賽季水晶衝突：白金
97,第2賽季水晶衝突：鑽石
98,第2賽季水晶衝突：水晶
99,第3賽季水晶衝突：王者
100,第3賽季水晶衝突：勇者
101,第3賽季水晶衝突：獲獎者
102,第3賽季水晶衝突：青銅
103,第3賽季水晶衝突：白銀
104,第3賽季水晶衝突：黃金
105,第3賽季水晶衝突：白金
106,第3賽季水晶衝突：鑽石
107,第3賽季水晶衝突：水晶
108,水晶衝突：藍色
109,水晶衝突：紅色
110,多變迷宮：希拉狄哈水道
111,友好部族任務：奧密克戎族
112,藍天
113,沙灘
114,星空
115,磚瓦
116,漫畫
117,黑色方格
118,白色方格
119,幾何圖形：圓形
120,乙太特效：紫色
121,乙太特效：藍色
122,乙太特效：紅色
123,樂譜
124,東方樣式
125,稀有度1
126,稀有度2
127,稀有度3
128,稀有度4
129,稀有度5
130,國旗：利姆薩·羅敏薩
131,國旗：格里達尼亞
132,國旗：烏爾達哈
133,第4賽季水晶衝突：王者
134,第4賽季水晶衝突：勇者
135,第4賽季水晶衝突：獲獎者
136,第4賽季水晶衝突：水晶
137,第4賽季水晶衝突：鑽石
138,第4賽季水晶衝突：白金
139,第4賽季水晶衝突：黃金
140,第4賽季水晶衝突：白銀
141,第4賽季水晶衝突：青銅
142,第5賽季水晶衝突：王者
143,第5賽季水晶衝突：勇者
144,第5賽季水晶衝突：獲獎者
145,第5賽季水晶衝突：水晶
146,第5賽季水晶衝突：鑽石
147,第5賽季水晶衝突：白金
148,第5賽季水晶衝突：黃金
149,第5賽季水晶衝突：白銀
150,第5賽季水晶衝突：青銅
151,獵隼陣營
152,渡鴉陣營
153,友好部族任務：仙子族
154,友好部族任務：奇塔利族
155,友好部族任務：矮人族
156,友好部族任務：悌陽象族
157,友好部族任務：兔兔族
158,歐米茄絕境驗證戰
159,深層迷宮：正統優雷卡1
160,深層迷宮：正統優雷卡2
161,第七星曆編年史：四聖獸奇譚
162,開拓無人島1
163,開拓無人島2
164,第6賽季水晶衝突：王者
165,第6賽季水晶衝突：勇者
166,第6賽季水晶衝突：獲獎者
167,第6賽季水晶衝突：水晶
168,第6賽季水晶衝突：鑽石
169,第6賽季水晶衝突：白金
170,第6賽季水晶衝突：黃金
171,第6賽季水晶衝突：白銀
172,第6賽季水晶衝突：青銅
173,第7賽季水晶衝突：王者
174,第7賽季水晶衝突：勇者
175,第7賽季水晶衝突：獲獎者
176,第7賽季水晶衝突：水晶
177,第7賽季水晶衝突：鑽石
178,第7賽季水晶衝突：白金
179,第7賽季水晶衝突：黃金
180,第7賽季水晶衝突：白銀
