key,8
#,
offset,0
int32,str
0,
1,
2,褪色：黑
3,褪色：白
4,簡易邊框：白
5,金屬邊框：銀
6,金屬邊框：金
7,日誌
8,簡易邊框：棕色
9,簡易邊框：金屬
10,古董
11,角花
12,騎士
13,戰士
14,暗黑騎士
15,絕槍戰士
16,白魔法師
17,學者
18,占星術士
19,賢者
20,武僧
21,龍騎士
22,忍者
23,武士
24,釤鐮客
25,吟遊詩人
26,機工士
27,舞者
28,黑魔法師
29,召喚師
30,赤魔法師
31,星極隊
32,靈極隊
33,第1賽季水晶衝突：王者
34,第1賽季水晶衝突：勇者
35,第1賽季水晶衝突：獲獎者
36,第1賽季水晶衝突：青銅
37,第1賽季水晶衝突：白銀
38,第1賽季水晶衝突：黃金
39,第1賽季水晶衝突：白金
40,第1賽季水晶衝突：鑽石
41,第1賽季水晶衝突：水晶
42,隨身神典石1
43,隨身神典石2
44,巴哈姆特絕境戰
45,究極神兵絕境戰
46,亞歷山大絕境戰
47,幻想龍詩絕境戰
48,第2賽季水晶衝突：王者
49,第2賽季水晶衝突：勇者
50,第2賽季水晶衝突：獲獎者
51,第2賽季水晶衝突：青銅
52,第2賽季水晶衝突：白銀
53,第2賽季水晶衝突：黃金
54,第2賽季水晶衝突：白金
55,第2賽季水晶衝突：鑽石
56,第2賽季水晶衝突：水晶
57,第3賽季水晶衝突：王者
58,第3賽季水晶衝突：勇者
59,第3賽季水晶衝突：獲獎者
60,第3賽季水晶衝突：青銅
61,第3賽季水晶衝突：白銀
62,第3賽季水晶衝突：黃金
63,第3賽季水晶衝突：白金
64,第3賽季水晶衝突：鑽石
65,第3賽季水晶衝突：水晶
66,水晶衝突：藍色
67,水晶衝突：紅色
68,多變迷宮：希拉狄哈水道
69,漫畫頁面
70,金屬邊框：拱形
71,膠卷
72,集中線
73,黑霧
74,黑色花邊
75,白色花邊
76,普通品質
77,優質
78,第4賽季水晶衝突：王者
79,第4賽季水晶衝突：勇者
80,第4賽季水晶衝突：獲獎者
81,第4賽季水晶衝突：水晶
82,第4賽季水晶衝突：鑽石
83,第4賽季水晶衝突：白金
84,第4賽季水晶衝突：黃金
85,第4賽季水晶衝突：白銀
86,第4賽季水晶衝突：青銅
87,第5賽季水晶衝突：王者
88,第5賽季水晶衝突：勇者
89,第5賽季水晶衝突：獲獎者
90,第5賽季水晶衝突：水晶
91,第5賽季水晶衝突：鑽石
92,第5賽季水晶衝突：白金
93,第5賽季水晶衝突：黃金
94,第5賽季水晶衝突：白銀
95,第5賽季水晶衝突：青銅
96,獵隼陣營
97,渡鴉陣營
98,歐米茄絕境驗證戰
99,第七星曆編年史：四聖獸奇譚
100,開拓無人島1
101,開拓無人島2
102,第6賽季水晶衝突：王者
103,第6賽季水晶衝突：勇者
104,第6賽季水晶衝突：獲獎者
105,第6賽季水晶衝突：水晶
106,第6賽季水晶衝突：鑽石
107,第6賽季水晶衝突：白金
108,第6賽季水晶衝突：黃金
109,第6賽季水晶衝突：白銀
110,第6賽季水晶衝突：青銅
111,第7賽季水晶衝突：王者
112,第7賽季水晶衝突：勇者
113,第7賽季水晶衝突：獲獎者
114,第7賽季水晶衝突：水晶
115,第7賽季水晶衝突：鑽石
116,第7賽季水晶衝突：白金
117,第7賽季水晶衝突：黃金
118,第7賽季水晶衝突：白銀
119,第7賽季水晶衝突：青銅
120,東方風外框1
121,東方風外框2
122,青魔法師
123,10週年紀念
124,多變迷宮：六根山
125,海釣愛好者
126,願者上鉤
127,運籌帷幄
128,時代的終結
129,角力學校
130,九霄雲上
131,第8賽季水晶衝突：王者
132,第8賽季水晶衝突：勇者
133,第8賽季水晶衝突：獲獎者
134,第8賽季水晶衝突：水晶
135,第8賽季水晶衝突：鑽石
136,第8賽季水晶衝突：白金
137,第8賽季水晶衝突：黃金
138,第8賽季水晶衝突：白銀
139,第8賽季水晶衝突：青銅
140,第9賽季水晶衝突：王者
141,第9賽季水晶衝突：勇者
142,第9賽季水晶衝突：獲獎者
143,第9賽季水晶衝突：水晶
144,第9賽季水晶衝突：鑽石
145,第9賽季水晶衝突：白金
146,第9賽季水晶衝突：黃金
147,第9賽季水晶衝突：白銀
148,第9賽季水晶衝突：青銅
149,第10賽季水晶衝突：王者
150,第10賽季水晶衝突：勇者
151,第10賽季水晶衝突：獲獎者
152,第10賽季水晶衝突：水晶
153,第10賽季水晶衝突：鑽石
154,第10賽季水晶衝突：白金
155,第10賽季水晶衝突：黃金
156,第10賽季水晶衝突：白銀
157,第10賽季水晶衝突：青銅
158,艾歐澤亞神話
159,多變迷宮：阿羅阿羅島
160,天書奇談
161,幻巧拼圖
162,金碟巨豆中心1
163,金碟巨豆中心2
164,金碟巨豆中心3
165,妖怪手錶
166,蝰蛇劍士
167,繪靈法師
168,火山之心
169,機關大殿
170,第11賽季水晶衝突：王者
171,第11賽季水晶衝突：勇者
172,第11賽季水晶衝突：獲獎者
173,第11賽季水晶衝突：水晶
174,第11賽季水晶衝突：鑽石
175,第11賽季水晶衝突：白金
176,第11賽季水晶衝突：黃金
177,第11賽季水晶衝突：白銀
178,第11賽季水晶衝突：青銅
179,圖萊尤拉1
180,圖萊尤拉2
181,九號解決方案1
182,九號解決方案2
183,塵封秘岩
184,赤土紅沙
185,第12賽季水晶衝突：王者
186,第12賽季水晶衝突：勇者
187,第12賽季水晶衝突：獲獎者
188,第12賽季水晶衝突：水晶
189,第12賽季水晶衝突：鑽石
190,第12賽季水晶衝突：白金
191,第12賽季水晶衝突：黃金
192,第12賽季水晶衝突：白銀
193,第12賽季水晶衝突：青銅
194,伊修加德1
195,伊修加德2
196,田園郡1
197,田園郡2
198,黃金港1
199,黃金港2
200,神拳痕1
201,神拳痕2
202,水晶都1
203,水晶都2
204,游末邦1
205,游末邦2
206,舊薩雷安1
207,舊薩雷安2
208,拉札罕1
209,拉札罕2
210,榮譽野
211,昂薩哈凱爾
212,第13賽季水晶衝突：王者
213,第13賽季水晶衝突：勇者
214,第13賽季水晶衝突：獲獎者
215,第13賽季水晶衝突：水晶
216,第13賽季水晶衝突：鑽石
217,第13賽季水晶衝突：白金
218,第13賽季水晶衝突：黃金
219,第13賽季水晶衝突：白銀
220,第13賽季水晶衝突：青銅
221,第14賽季水晶衝突：王者
222,第14賽季水晶衝突：勇者
223,第14賽季水晶衝突：獲獎者
224,第14賽季水晶衝突：水晶
225,第14賽季水晶衝突：鑽石
226,第14賽季水晶衝突：白金
227,第14賽季水晶衝突：黃金
228,第14賽季水晶衝突：白銀
229,第14賽季水晶衝突：青銅
230,光暗未來絕境戰
231,蜃景幻界新月島
232,宇宙探索1
233,怪物獵人：荒野1
234,怪物獵人：荒野2
235,隱塞
236,周邊遺跡群（陣地戰）
237,第15賽季水晶衝突：王者
238,第15賽季水晶衝突：勇者
239,第15賽季水晶衝突：獲獎者
240,第15賽季水晶衝突：水晶
241,第15賽季水晶衝突：鑽石
242,第15賽季水晶衝突：白金
243,第15賽季水晶衝突：黃金
244,第15賽季水晶衝突：白銀
245,第15賽季水晶衝突：青銅
246,第16賽季水晶衝突：王者
247,第16賽季水晶衝突：勇者
248,第16賽季水晶衝突：獲獎者
249,第16賽季水晶衝突：究極
250,第16賽季水晶衝突：歐米茄
251,第16賽季水晶衝突：水晶
252,第16賽季水晶衝突：鑽石
253,第16賽季水晶衝突：白金
254,第16賽季水晶衝突：黃金
255,第16賽季水晶衝突：白銀
