key,1,2
#,Name,Description
offset,0,4
int32,str,str
0,,
1,力量,影響單手劍、大斧、雙手劍、槍刃、格鬥武器、長槍、武士刀、雙手鐮刀、咒具、魔導書、刺劍、畫筆、幻具、天球儀、賢具、青魔杖的物理攻擊力。
2,靈巧,影響雙劍、蝰蛇對劍、弓、火槍、投擲武器的物理攻擊力。
3,耐力,影響最大體力。
4,智力,影響進攻職業的攻擊魔法威力。
5,精神,影響治療魔法威力和治療職業的攻擊魔法威力。
6,信仰,影響魔力的自然恢復量。<hex:02100103>信仰越高自然恢復量越高。<hex:02100103>僅在治療職業處於戰鬥狀態時生效。
7,體力,
8,魔力,
9,技力,
10,採集力,
11,製作力,
12,物理基本性能,
13,魔法基本性能,
14,攻擊間隔,
15,附加效果,
16,攻擊次數,
17,格擋發動力,
18,格擋性能,
19,堅韌,影響物理與魔法攻擊造成的傷害量和治療量，同時也影響自身所受的傷害量。<hex:02100103>堅韌的數值越大，自身造成的傷害量與治療量越大，自身所受的傷害量越小。<hex:02100103>僅對防護職業有效。
20,物理攻擊力,影響發動物理攻擊的傷害量。<hex:02100103>物理攻擊力的數值越大，對敵人造成的物理傷害越大。
21,物理防禦力,減少受到物理攻擊時的傷害量。<hex:02100103>物理防禦力的數值越大，敵人造成的物理傷害越小。
22,直擊,按一定比例提高物理與魔法攻擊造成的傷害量。<hex:02100103>直擊越高，越容易打出直擊。<hex:02100103>發動必定直擊的技能時，直擊數值越高傷害越高。
23,迴避力,
24,魔法防禦力,減少受到魔法攻擊時的傷害量。<hex:02100103>魔法防禦力的數值越大，敵人造成的魔法傷害越小。
25,暴擊攻擊力,
26,暴擊防禦力,
27,暴擊,增加物理與魔法攻擊造成的傷害量和治療量。<hex:02100103>暴擊的數值越大，越容易打出暴擊，同時暴擊時的傷害量及治療量也越高。
28,暴擊迴避力,
29,斬擊耐性,減少受到斬擊屬性攻擊時的傷害。
30,突刺耐性,減少受到突刺屬性攻擊時的傷害。
31,打擊耐性,減少受到打擊屬性攻擊時的傷害。
32,射擊耐性,
33,攻擊魔法威力,影響發動魔法攻擊的傷害量。<hex:02100103>攻擊魔法威力的數值越大，對敵人造成的魔法傷害越大。
34,治療魔法威力,影響發動治療魔法的治療量。<hex:02100103>治療魔法威力的數值越大，對我方發動的魔法治療量越大。
35,強化魔法威力,
36,元素加持,
37,火,減少受到火屬性攻擊時的傷害。
38,冰,減少受到冰屬性攻擊時的傷害。
39,風,減少受到風屬性攻擊時的傷害。
40,土,減少受到土屬性攻擊時的傷害。
41,雷,減少受到雷屬性攻擊時的傷害。
42,水,減少受到水屬性攻擊時的傷害。
43,全魔法耐性,
44,信念,影響物理與魔法攻擊造成的傷害量和治療量。<hex:02100103>信念的數值越大，傷害量及治療量越大。
45,技能速度,影響戰技的詠唱時間及複唱時間，同時還會影響物理攻擊的自動攻擊及持續傷害效果的傷害量。<hex:02100103>技能速度的數值越大，戰技的詠唱時間及複唱時間越短，自動攻擊和持續傷害效果的傷害量越高。
46,詠唱速度,影響魔法的詠唱時間和複唱時間，同時還會影響魔法的持續傷害效果的傷害量以及持續恢復效果的恢復量。<hex:02100103>詠唱速度的數值越大，魔法的詠唱時間和複唱時間越短，魔法持續傷害效果的傷害量和魔法持續恢復效果的恢復量越高。
47,加速,
48,鬥志,在玩家對戰中代替物理防禦力與魔法防禦力影響玩家所受到的傷害。<hex:02100103>對玩家造成的傷害也有所影響。
49,仇恨,
50,降低仇恨,
51,分解技能提升率,
52,經驗值獲得量,
53,生命再生,
54,特殊修正,
55,主狀態修正,
56,副狀態修正,
57,減速耐性,縮短減速的效果時間。
58,石化耐性,
59,麻痺耐性,
60,靜寂耐性,縮短沉默的效果時間。
61,失明耐性,縮短失明的效果時間。
62,中毒耐性,縮短中毒的效果時間。
63,眩暈耐性,縮短眩暈的效果時間。
64,睡眠耐性,縮短睡眠的效果時間。
65,止步耐性,縮短止步的效果時間。
66,加重耐性,縮短加重的效果時間。
67,死亡宣告耐性,
68,裝備損耗耐性,
69,精鍊度提升量,
70,作業精度,影響製作作業的進展效果。<hex:02100103>作業精度的數值越大，作業的進展越快。
71,加工精度,影響製作作業的品質效果。<hex:02100103>加工精度的數值越大，產品的品質提高得越多。
72,獲得力,影響採集時獲得道具的機率。<hex:02100103>獲得力的數值越大，越容易採集到道具。
73,鑑別力,影響採礦工、園藝工採集時獲得道具的數量。<hex:02100103>鑑別力的數值越大，獲得道具的數量越多。<hex:02100103>影響捕魚人採集時獲得魚的尺寸。<hex:02100103>鑑別力的數值越大，越容易獲得更大尺寸的魚。
