key,0,2,8
#,Singular,Plural,Name
offset,0,4,8
int32,str,str,str
0,皮革陸行鳥鞍,,皮革陸行鳥鞍
1,碧海陸行鳥鞍,,碧海陸行鳥鞍
2,碧海陸行鳥半裝甲,,碧海陸行鳥半裝甲
3,碧海陸行鳥裝甲,,碧海陸行鳥裝甲
4,碧海陸行鳥武裝甲,,碧海陸行鳥武裝甲
5,密林陸行鳥鞍,,密林陸行鳥鞍
6,密林陸行鳥半裝甲,,密林陸行鳥半裝甲
7,密林陸行鳥裝甲,,密林陸行鳥裝甲
8,密林陸行鳥武裝甲,,密林陸行鳥武裝甲
9,黃沙陸行鳥鞍,,黃沙陸行鳥鞍
10,黃沙陸行鳥半裝甲,,黃沙陸行鳥半裝甲
11,黃沙陸行鳥裝甲,,黃沙陸行鳥裝甲
12,黃沙陸行鳥武裝甲,,黃沙陸行鳥武裝甲
13,陸行鳥騎士裝甲,,陸行鳥騎士裝甲
14,陸行鳥龍騎士裝甲,,陸行鳥龍騎士裝甲
15,陸行鳥白魔裝甲,,陸行鳥白魔裝甲
16,斯萊普尼爾裝甲,,斯萊普尼爾裝甲
17,貝希摩斯裝甲,,貝希摩斯裝甲
18,航空兜帽,,航空兜帽
19,陸行鳥黑魔裝甲,,陸行鳥黑魔裝甲
20,陸行鳥王裝甲,,陸行鳥王裝甲
21,星芒裝甲,,星芒裝甲
22,利維亞桑裝甲,,利維亞桑裝甲
23,光之鳥甲,,光之鳥甲
24,獵蛋裝甲,,獵蛋裝甲
25,拉姆裝甲,,拉姆裝甲
26,羽飾裝甲,,羽飾裝甲
27,怪誕裝甲,,怪誕裝甲
28,希瓦裝甲,,希瓦裝甲
29,勝負師裝甲,,勝負師裝甲
30,情人裝甲,,情人裝甲
31,崇山陸行鳥半裝甲,,崇山陸行鳥半裝甲
32,崇山陸行鳥裝甲,,崇山陸行鳥裝甲
33,,,
34,俾斯麥裝甲,,俾斯麥裝甲
35,羅波那裝甲,,羅波那裝甲
36,貴族裝甲,,貴族裝甲
37,正教裝甲,,正教裝甲
38,高地裝甲,,高地裝甲
39,野玫瑰裝甲,,野玫瑰裝甲
40,圓桌裝甲,,圓桌裝甲
41,薩菲洛特裝甲,,薩菲洛特裝甲
42,獵蛋人裝甲,,獵蛋人裝甲
43,東方裝甲,,東方裝甲
44,競賽裝甲,,競賽裝甲
45,邪龍裝甲,,邪龍裝甲
46,管家裝甲,,管家裝甲
47,索菲婭裝甲,,索菲婭裝甲
48,女僕裝甲,,女僕裝甲
49,曼德維爾女僕裝甲,,曼德維爾女僕裝甲
50,天使裝甲,,天使裝甲
51,惡魔裝甲,,惡魔裝甲
52,祖爾宛裝甲,,祖爾宛裝甲
53,須佐之男裝甲,,須佐之男裝甲
54,峻嶺陸行鳥裝甲,,峻嶺陸行鳥裝甲
55,吉祥天女裝甲,,吉祥天女裝甲
56,遠東裝甲,,遠東裝甲
57,東洋裝甲,,東洋裝甲
58,哪吒裝甲,,哪吒裝甲
59,神龍裝甲,,神龍裝甲
60,伊克西翁裝甲,,伊克西翁裝甲
61,赤紅裝甲,,赤紅裝甲
62,白虎裝甲,,白虎裝甲
63,防雨裝甲,,防雨裝甲
64,月讀裝甲,,月讀裝甲
65,朱雀裝甲,,朱雀裝甲
66,武士裝甲,,武士裝甲
67,青龍裝甲,,青龍裝甲
68,保鏢裝甲,,保鏢裝甲
69,緹坦妮雅裝甲,,緹坦妮雅裝甲
70,無瑕靈君裝甲,,無瑕靈君裝甲
71,舞者裝甲,,舞者裝甲
72,影淵裝甲,,影淵裝甲
73,哈迪斯裝甲,,哈迪斯裝甲
74,聖人裝甲,,聖人裝甲
75,紅寶石神兵裝甲,,紅寶石神兵裝甲
76,機工士裝甲,,機工士裝甲
77,真·光之鳥甲,,真·光之鳥甲
78,綠寶石神兵裝甲,,綠寶石神兵裝甲
79,天佑裝甲,,天佑裝甲
80,博茲雅裝甲,,博茲雅裝甲
81,鑽石神兵裝甲,,鑽石神兵裝甲
82,永暗裝甲,,永暗裝甲
83,聖光裝甲,,聖光裝甲
84,郵差裝甲,,郵差裝甲
85,薩維奈裝甲,,薩維奈裝甲
86,藍羽陸行鳥裝甲,,藍羽陸行鳥裝甲
87,餓狼陸行鳥裝甲,,餓狼陸行鳥裝甲
88,煞風裝甲,,煞風裝甲
89,海島開拓者裝甲,,海島開拓者裝甲
90,煬火裝甲,,煬火裝甲
91,亞拉戈裝甲,,亞拉戈裝甲
92,高貝扎裝甲,,高貝扎裝甲
93,貓耳裝甲,,貓耳裝甲
94,澤羅姆斯裝甲,,澤羅姆斯裝甲
95,旅行者裝甲,,旅行者裝甲
96,圖拉爾冒險裝甲,,圖拉爾冒險裝甲
97,豔翼蛇鳥裝甲,,豔翼蛇鳥裝甲
98,雷轉質裝甲,,雷轉質裝甲
99,野地裝甲,,野地裝甲
100,永恆裝甲,,永恆裝甲
101,星芒市場裝甲,,星芒市場裝甲
102,女王騎士裝甲,,女王騎士裝甲
103,死暗裝甲,,死暗裝甲
104,朝聖裝甲,,朝聖裝甲
105,狂奔裝甲,,狂奔裝甲
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
