key,1
#,
offset,0
int32,str
0,
1,騎士裝備
2,武僧裝備
3,戰士裝備
4,龍騎士裝備
5,吟遊詩人裝備
6,忍者裝備
7,白魔法師裝備
8,黑魔法師裝備
9,召喚師裝備
10,學者裝備
11,能工巧匠&大地使者工具
12,女兒節：遺產
13,女兒節：2016
14,女兒節：2017
15,女兒節：2018
16,女兒節：2020
17,女兒節：2021
18,女兒節：2023
19,彩蛋狩獵：遺產
20,彩蛋狩獵：2016
21,彩蛋狩獵：2020
22,彩蛋狩獵：2021
23,彩蛋狩獵：2022
24,彩蛋狩獵：2024
25,金碟嘉年華：2025
26,紅蓮節：遺產
27,紅蓮節：2015
28,紅蓮節：2016
29,紅蓮節：2017
30,紅蓮節：2018
31,紅蓮節：2019
32,紅蓮節：2020
33,紅蓮節：2021
34,紅蓮節：2023
35,紅蓮節：2024
36,守護天節：遺產
37,守護天節：2015
38,守護天節：2016
39,守護天節：2017
40,守護天節：2018
41,守護天節：2022
42,守護天節：2023
43,守護天節：2025
44,降神節：遺產
45,降神節：2014
46,降神節：2015
47,降神節：2016
48,降神節：2017
49,降神節：2018
50,降神節：2019
51,降神節：2020
52,降神節：2021
53,降神節：2022
54,降神節：2023
55,戀人節：遺產
56,戀人節：2015
57,戀人節：2017
58,戀人節：2020
59,戀人節：2021
60,戀人節：2022
61,戀人節：2024
62,星芒節：遺產
63,星芒節：2015
64,星芒節：2016
65,星芒節：2017
66,星芒節：2019
67,星芒節：2024
68,最終幻想XI：星歌異聞
69,最終幻想XIII：雷光降世
70,最終幻想XV：獻給英雄的夜曲
71,最終幻想XVI：縱使前路獄火焰毒
72,勇者鬥惡龍X
73,妖怪手錶
74,糖豆人
75,成就紀念：遺產
76,成就：戰鬥
77,成就：玩家對戰
78,成就：角色
79,成就：道具
80,成就：製作&採集
81,成就：任務
82,成就：大國防聯軍
83,紀念特典：遺產
84,紀念特典：重生之境
85,紀念特典：蒼穹之禁城
86,紀念特典：紅蓮之狂潮
87,紀念特典：暗影之逆焰
88,紀念特典：曉月之終途
89,紀念特典：金曦之遺輝
90,紀念特典：其他
91,禮物特典
92,禮物特典2
93,歡慶特典
94,其他特典
95,阿爾菲諾&阿莉塞
96,敏菲利亞
97,桑克瑞德
98,雅·修特拉
99,於里昂熱
100,帕帕力莫
101,伊達&莉瑟
102,可露兒
103,希爾迪布蘭德
104,艾達
105,加隆德煉鐵廠
106,西德
107,蒼穹騎士團
108,艾默里克
109,伊塞勒
110,飛燕
111,豪雪
112,阿魯瑪
113,琳
114,蓋婭
115,歐米茄
116,遺產複製品
117,女兒節：2025
118,運動休閒
119,皮帶
120,另類
121,古·拉哈·提亞
122,零
123,FFBE幻影戰爭
124,紅蓮節：2025
125,阿澤瑪
126,大型伽拉忒亞人偶
127,黃道勇士傳奇
128,新維度的幻想
129,東方特徵
130,最終幻想IX
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,莫古力
143,寶石獸
144,貓小胖
145,風雅
146,天使&惡魔
147,上仙
148,哪吒赤蓮&白蓮
149,管家&女僕
150,王公貴族
151,門客&辨天
152,孔雀
153,傳說故事
154,世界各地
155,就學
156,志士
157,街頭
158,魔導
159,東方公子&秀女
160,東方貴人
161,東方警衛&女官
162,東方雅人&麗人
163,東方武人&佳人
164,東方武官&美姬
165,東方書生&女生
166,東方雅士&美玉
167,東方旅行藝人
168,戀人節：2026
169,彩蛋狩獵：2026
170,女兒節：2026
