key,11
#,
offset,0
int32,str
0,なし
1,
2,黑色
3,白色
4,紫色
5,漸變色：防護職業
6,漸變色：進攻職業
7,漸變色：治療職業
8,乳白色
9,半透明
10,米黃色
11,漸變色：粉色
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,隨身神典石1
53,隨身神典石2
54,巴哈姆特絕境戰
55,究極神兵絕境戰
56,亞歷山大絕境戰
57,幻想龍詩絕境戰
58,友好部族任務：奧密克戎族
59,咖啡時間
60,幾何圖形：圓形
61,音樂
62,東方樣式
63,友好部族任務：仙子族
64,友好部族任務：奇塔利族
65,友好部族任務：矮人族
66,友好部族任務：悌陽象族
67,友好部族任務：兔兔族
68,歐米茄絕境驗證戰
69,深層迷宮：正統優雷卡1
70,深層迷宮：正統優雷卡2
71,第七星曆編年史：四聖獸奇譚
72,開拓無人島1
73,開拓無人島2
74,友好部族任務：甲人族
75,友好部族任務：阿難陀族
76,友好部族任務：鯰魚精族
77,時代的終結
78,10週年紀念
79,海釣愛好者
80,願者上鉤
81,運籌帷幄
82,友好部族任務：瓦努族
83,友好部族任務：骨頜族
84,友好部族任務：莫古力族
85,艾歐澤亞神話：哈羅妮
86,艾歐澤亞神話：梅茵菲娜
87,艾歐澤亞神話：沙利亞克
88,艾歐澤亞神話：妮美雅
89,艾歐澤亞神話：利姆萊茵
90,艾歐澤亞神話：奧修昂
91,艾歐澤亞神話：比爾格
92,艾歐澤亞神話：拉爾戈
93,艾歐澤亞神話：阿澤瑪
94,艾歐澤亞神話：納爾札爾
95,艾歐澤亞神話：諾菲卡
96,艾歐澤亞神話：阿爾基克
97,塔塔露的大繁榮商店
98,天書奇談
99,幻巧拼圖
100,金碟巨豆中心1
101,金碟巨豆中心2
102,金碟巨豆中心3
103,妖怪手錶
104,友好部族任務：地靈族
105,友好部族任務：妖精族
106,友好部族任務：蜥蜴人族
107,友好部族任務：魚人族
108,友好部族任務：鳥人族
109,圖萊尤拉1
110,圖萊尤拉2
111,九號解決方案1
112,九號解決方案2
113,友好部族任務：佩魯佩魯族
114,伊修加德1
115,伊修加德2
116,田園郡1
117,田園郡2
118,黃金港1
119,黃金港2
120,神拳痕1
121,神拳痕2
122,水晶都1
123,水晶都2
124,游末邦1
125,游末邦2
126,舊薩雷安1
127,舊薩雷安2
128,拉札罕1
129,拉札罕2
130,光暗未來絕境戰
131,友好部族任務：輝鱗族
132,深層迷宮：死者宮殿1
133,深層迷宮：死者宮殿2
134,深層迷宮：天之御柱1
135,深層迷宮：天之御柱2
136,蜃景幻界新月島
137,宇宙探索1
138,怪物獵人：荒野1
139,怪物獵人：荒野2
140,友好部族任務：尤卡巨人族
141,深層迷宮：朝聖交錯路1
142,深層迷宮：朝聖交錯路2
143,宇宙探索2
144,開拓無人島3
145,
146,簡約風格1
147,簡約風格2
148,簡約風格3
149,簡約風格4
150,簡約風格5
151,簡約風格6
152,簡約風格7
153,簡約風格8
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
