key,0,7
#,Label,Text
offset,4,0
int32,str,str
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,MOVE_AND_STEER,控制移動
12,MOVE_FORE,前進 / 向前移動
13,MOVE_BACK,後退 / 向後移動
14,MOVE_LEFT,左轉 / 向左移動
15,MOVE_RIGHT,右轉 / 向右移動
16,MOVE_STRIFE_L,向左平移
17,MOVE_STRIFE_R,向右平移
18,JUMP,跳躍
19,WALK,切換奔跑與行走
20,AUTORUN_KEY,開啟/關閉自動前進
21,SWARD,拔出/收回武器
22,CAMERA_FOCUS,鎖定所選目標
23,MOVE_DESCENT,飛行/潛水：下降
24,MOVE_RETENTION,飛行/潛水：維持高度
25,MOVE_ANGLE_RISING,飛行/潛水：盤旋上升
26,MOVE_ANGLE_DESCENT,飛行/潛水：盤旋下降
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,CAMERA_UP,向上移動視角
52,CAMERA_DOWN,向下移動視角
53,CAMERA_LEFT,向左移動視角
54,CAMERA_RIGHT,向右移動視角
55,CAMERA_MODE,切換第一人稱視角與第三人稱視角
56,CAMERA_BACKWARD,翻轉視角
57,CAMERA_ZOOMIN,縮進視角 / 上一頁
58,CAMERA_ZOOMOUT,拉遠視角 / 下一頁
59,CAMERA_LOAD,將視角恢復預設設定
60,CAMERA_SAVE,記錄當前視角設定
61,CAMERA_RESET,重置視角設定
62,CAM_TILT_UP,提高視角俯視角度
63,CAM_TILT_DOWN,降低視角俯視角度
64,CAMERA_LOOKING,視線面向當前鏡頭
65,GROUP_POSE,集體動作（拍照模式）
66,IDLING_CAMERA,觀景視角
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,TARGET_NEXT,從最近的敵人開始從左至右切換所選目標
104,TARGET_PREV,從最近的敵人開始從右至左切換所選目標
105,TARGET_P1,選中隊員列表第1位隊員
106,TARGET_P2,選中隊員列表第2位隊員
107,TARGET_P3,選中隊員列表第3位隊員
108,TARGET_P4,選中隊員列表第4位隊員
109,TARGET_P5,選中隊員列表第5位隊員
110,TARGET_P6,選中隊員列表第6位隊員
111,TARGET_P7,選中隊員列表第7位隊員
112,TARGET_P8,選中隊員列表第8位隊員
113,TARGET_PET,選中自己的召喚獸
114,TARGET_TTOT,選中目標的目標（輔助目標）
115,TARGET_LASTTARGET,選中前一次選中的目標
116,TARGET_LASTENEMY,選中前一次選中的敵人
117,TARGET_LASTATTACKER,選中對自己發動攻擊的敵人
118,TARGET_CLOSEST_ENEMY,選中距離最近的敵人
119,TARGET_CLOSEST_PC,選中距離最近的玩家角色
120,TARGET_CLOSEST_NPC,選中距離最近的非玩家角色或場景物體
121,TARGET_FOCUS,焦點目標
122,TARGET_SELECT,選中焦點目標
123,FACE,轉向面向目標的方向
124,CIRCLE_ALL,分類選擇：<hex:021E020D03>＋<hex:0212020C03>
125,CIRCLE_ENEMY,分類選擇：<hex:021E020D03>＋<hex:0212020903>
126,CIRCLE_PARTY,分類選擇：<hex:021E020D03>＋<hex:0212020A03>
127,CIRCLE_PC,分類選擇：<hex:021E020D03>＋<hex:0212020B03>
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,TARGET_ENEMY_LIST_UP_KEY,敵對列表中向上切換
137,TARGET_ENEMY_LIST_DOWN_KEY,敵對列表中向下切換
138,TARGET_ALLIANCE_NEXT_KEY,團隊列表中順序切換
139,TARGET_ALLIANCE_PREV_KEY,團隊列表中逆序切換
140,TARGET_ALLIANCE1_NEXT,團隊列表1中順序切換
141,TARGET_ALLIANCE1_PREV,團隊列表1中逆序切換
142,TARGET_ALLIANCE2_NEXT,團隊列表2中順序切換
143,TARGET_ALLIANCE2_PREV,團隊列表2中逆序切換
144,TARGET_ALLIANCE1_1,選中團隊1的1號隊員
145,TARGET_ALLIANCE1_2,選中團隊1的2號隊員
146,TARGET_ALLIANCE1_3,選中團隊1的3號隊員
147,TARGET_ALLIANCE1_4,選中團隊1的4號隊員
148,TARGET_ALLIANCE1_5,選中團隊1的5號隊員
149,TARGET_ALLIANCE1_6,選中團隊1的6號隊員
150,TARGET_ALLIANCE1_7,選中團隊1的7號隊員
151,TARGET_ALLIANCE1_8,選中團隊1的8號隊員
152,TARGET_ALLIANCE2_1,選中團隊2的1號隊員
153,TARGET_ALLIANCE2_2,選中團隊2的2號隊員
154,TARGET_ALLIANCE2_3,選中團隊2的3號隊員
155,TARGET_ALLIANCE2_4,選中團隊2的4號隊員
156,TARGET_ALLIANCE2_5,選中團隊2的5號隊員
157,TARGET_ALLIANCE2_6,選中團隊2的6號隊員
158,TARGET_ALLIANCE2_7,選中團隊2的7號隊員
159,TARGET_ALLIANCE2_8,選中團隊2的8號隊員
160,BUDDY_TARGET,選中自己的搭檔
161,TARGET_PVP_OPP_P1,水晶衝突：選中敵方的1號隊員
162,TARGET_PVP_OPP_P2,水晶衝突：選中敵方的2號隊員
163,TARGET_PVP_OPP_P3,水晶衝突：選中敵方的3號隊員
164,TARGET_PVP_OPP_P4,水晶衝突：選中敵方的4號隊員
165,TARGET_PVP_OPP_P5,水晶衝突：選中敵方的5號隊員
166,,
167,,
168,,
169,,
170,,
171,CMD_CHAT,開始輸入聊天內容
172,CMD_COMMAND,開始輸入文本指令
173,CMD_REPLY,臨時回覆（順序）
174,CMD_REPLY_REV,臨時回覆（逆序）
175,CMD_SAY,臨時切換到說話頻道
176,CMD_YELL,臨時切換到呼喊頻道
177,CMD_SHOUT,臨時切換到喊話頻道
178,CMD_PARTY,臨時切換到小隊頻道
179,CMD_ALLIANCE,臨時切換到團隊頻道
180,CMD_FREECOM,臨時切換到部隊頻道
181,CMD_LINKSHELL,臨時切換到通訊貝頻道（順序）
182,CMD_LINKSHELL_REV,臨時切換到通訊貝頻道（逆序）
183,CMD_LINKSHELL_1,臨時切換到通訊貝1頻道
184,CMD_LINKSHELL_2,臨時切換到通訊貝2頻道
185,CMD_LINKSHELL_3,臨時切換到通訊貝3頻道
186,CMD_LINKSHELL_4,臨時切換到通訊貝4頻道
187,CMD_LINKSHELL_5,臨時切換到通訊貝5頻道
188,CMD_LINKSHELL_6,臨時切換到通訊貝6頻道
189,CMD_LINKSHELL_7,臨時切換到通訊貝7頻道
190,CMD_LINKSHELL_8,臨時切換到通訊貝8頻道
191,CMD_REPLY_ALWAYS,回覆（順序）
192,CMD_REPLY_REV_ALWAYS,回覆（逆序）
193,CMD_SAY_ALWAYS,切換到說話頻道
194,CMD_YELL_ALWAYS,切換到呼喊頻道
195,,
196,CMD_PARTY_ALWAYS,切換到小隊頻道
197,CMD_ALLIANCE_ALWAYS,切換到團隊頻道
198,CMD_FREECOM_ALWAYS,切換到部隊頻道
199,CMD_LINKSHELL_ALWAYS,切換到通訊貝頻道（順序）
200,CMD_LINKSHELL_REV_ALWAYS,切換到通訊貝頻道（逆序）
201,CMD_LINKSHELL_1_ALWAYS,切換到通訊貝1頻道
202,CMD_LINKSHELL_2_ALWAYS,切換到通訊貝2頻道
203,CMD_LINKSHELL_3_ALWAYS,切換到通訊貝3頻道
204,CMD_LINKSHELL_4_ALWAYS,切換到通訊貝4頻道
205,CMD_LINKSHELL_5_ALWAYS,切換到通訊貝5頻道
206,CMD_LINKSHELL_6_ALWAYS,切換到通訊貝6頻道
207,CMD_LINKSHELL_7_ALWAYS,切換到通訊貝7頻道
208,CMD_LINKSHELL_8_ALWAYS,切換到通訊貝8頻道
209,,
210,,
211,OK,確定操作
212,CANCEL,取消操作
213,ESC,關閉所有視窗
214,PAD_MAINMENUFOCUS,快捷指令
215,MENU,次級指令
216,UP,向上移動游標/小隊列表中向上切換
217,DOWN,向下移動游標/小隊列表中向下切換
218,LEFT,向左移動游標/分類選擇向左切換
219,RIGHT,向右移動游標/分類選擇向右切換
220,TAB_NEXT,順序選擇介面標籤
221,TAB_PREV,逆序選擇介面標籤
222,HOTBAR_UP,熱鍵欄向上切換
223,HOTBAR_DOWN,熱鍵欄向下切換
224,KEY_SCREENSHOT,螢幕截圖
225,HIDE,隱藏所有視窗
226,MENU_LAYOUT,介面設定模式
227,PAD_HUDFOCUS,順序選擇各項介面要素
228,PAD_HUDFOCUS_PREV,逆序選擇各項介面要素
229,TARGET_CLICK_FILTER,目標過濾
230,MENU_SCALE,縮放視窗
231,HOTBAR_SET_1,切換到熱鍵欄1
232,HOTBAR_SET_2,切換到熱鍵欄2
233,HOTBAR_SET_3,切換到熱鍵欄3
234,HOTBAR_SET_4,切換到熱鍵欄4
235,HOTBAR_SET_5,切換到熱鍵欄5
236,HOTBAR_SET_6,切換到熱鍵欄6
237,HOTBAR_SET_7,切換到熱鍵欄7
238,HOTBAR_SET_8,切換到熱鍵欄8
239,HOTBAR_SET_9,切換到熱鍵欄9
240,HOTBAR_SET_10,切換到熱鍵欄10
241,MACRO_FORCED_OUTAGE,停止巨集指令
242,HOTBAR_SET_EX,切換到特殊熱鍵欄
243,MOUSE_CURSOR_SONAR,滑鼠位置
244,MASTER_VOLUME_MUTE,整體靜音
245,MENU_CONTENTS_GENERAL,任務通用鍵
246,HUDLAYOUT_SET1,切換到介面設定1
247,HUDLAYOUT_SET2,切換到介面設定2
248,HUDLAYOUT_SET3,切換到介面設定3
249,HUDLAYOUT_SET4,切換到介面設定4
250,,
251,MENU_STATUS,角色
252,MENU_BAG,物品
253,MENU_ARMORY,兵裝庫
254,MENU_EVENT_BAG,任務道具
255,MENU_MAP,地圖
256,MENU_ACTION,技能選單
257,MENU_EMOTE,情感動作
258,MENU_MOUNT_NOTEBOOK,坐騎一覽
259,MENU_MINION_NOTEBOOK,寵物一覽
260,MENU_PVP_PROFILE,對戰資料
261,MENU_SOCIAL,社交
262,MENU_PARTY_MEMBER,小隊
263,MENU_FRIEND_LIST,好友名單
264,MENU_BLACK_LIST,黑名單
265,MENU_PC_SEARCH,玩家搜索
266,MENU_LFG,隊員招募
267,MENU_READY_CHECK,準備確認
268,MENU_FREECOM,部隊
269,MENU_HOUSING,房屋
270,MENU_LINKSHELL,通訊貝
271,MENU_CONTENT,任務搜尋器
272,MENU_CONTENT_INFO,任務情報
273,MENU_JOURNAL,日誌
274,MENU_CRAFT,製作筆記
275,MENU_GATHER,採集筆記
276,MENU_MONSTER,討伐筆記
277,MENU_FISH,釣魚筆記
278,MENU_FISH_GUIDE,魚類圖鑑
279,MENU_CONTENTS_NOTEBOOK,挑戰筆記
280,MENU_ADVENTURE_NOTEBOOK,探索筆記
281,MENU_MARK,目標標記
282,MENU_FIELD_MARK,場景標記
283,MENU_BUDDY,搭檔
284,MENU_RETURN,返回
285,MENU_TELEPO,傳送
286,MENU_ACHIVE,成就
287,MENU_SYSTEM,系統
288,MENU_HOWTO,新手指南
289,MENU_RECOMMEND_LIST,推薦任務
290,MENU_MACRO,用戶巨集
291,MENU_SUPPORT,情報服務台
292,MENU_CONFIG,角色設定
293,MENU_SYSCONFIG,系統設定
294,MENU_LOGCOLOR,消息顏色
295,MENU_PADCUSTOMIZE,自訂按鍵
296,MENU_GOLD_SAUCER,金碟遊樂場
297,MENU_AETHER_CURRENT,風脈泉
298,MENU_CURRENCY,貨幣一覽
299,MENU_GEAR_SET,套裝
300,,
301,HOTBAR_1_1,熱鍵欄1 - 第1格
302,HOTBAR_1_2,熱鍵欄1 - 第2格
303,HOTBAR_1_3,熱鍵欄1 - 第3格
304,HOTBAR_1_4,熱鍵欄1 - 第4格
305,HOTBAR_1_5,熱鍵欄1 - 第5格
306,HOTBAR_1_6,熱鍵欄1 - 第6格
307,HOTBAR_1_7,熱鍵欄1 - 第7格
308,HOTBAR_1_8,熱鍵欄1 - 第8格
309,HOTBAR_1_9,熱鍵欄1 - 第9格
310,HOTBAR_1_0,熱鍵欄1 - 第10格
311,HOTBAR_1_A,熱鍵欄1 - 第11格
312,HOTBAR_1_B,熱鍵欄1 - 第12格
313,HOTBAR_2_1,熱鍵欄2 - 第1格
314,HOTBAR_2_2,熱鍵欄2 - 第2格
315,HOTBAR_2_3,熱鍵欄2 - 第3格
316,HOTBAR_2_4,熱鍵欄2 - 第4格
317,HOTBAR_2_5,熱鍵欄2 - 第5格
318,HOTBAR_2_6,熱鍵欄2 - 第6格
319,HOTBAR_2_7,熱鍵欄2 - 第7格
320,HOTBAR_2_8,熱鍵欄2 - 第8格
321,HOTBAR_2_9,熱鍵欄2 - 第9格
322,HOTBAR_2_0,熱鍵欄2 - 第10格
323,HOTBAR_2_A,熱鍵欄2 - 第11格
324,HOTBAR_2_B,熱鍵欄2 - 第12格
325,HOTBAR_3_1,熱鍵欄3 - 第1格
326,HOTBAR_3_2,熱鍵欄3 - 第2格
327,HOTBAR_3_3,熱鍵欄3 - 第3格
328,HOTBAR_3_4,熱鍵欄3 - 第4格
329,HOTBAR_3_5,熱鍵欄3 - 第5格
330,HOTBAR_3_6,熱鍵欄3 - 第6格
331,HOTBAR_3_7,熱鍵欄3 - 第7格
332,HOTBAR_3_8,熱鍵欄3 - 第8格
333,HOTBAR_3_9,熱鍵欄3 - 第9格
334,HOTBAR_3_0,熱鍵欄3 - 第10格
335,HOTBAR_3_A,熱鍵欄3 - 第11格
336,HOTBAR_3_B,熱鍵欄3 - 第12格
337,HOTBAR_4_1,熱鍵欄4 - 第1格
338,HOTBAR_4_2,熱鍵欄4 - 第2格
339,HOTBAR_4_3,熱鍵欄4 - 第3格
340,HOTBAR_4_4,熱鍵欄4 - 第4格
341,HOTBAR_4_5,熱鍵欄4 - 第5格
342,HOTBAR_4_6,熱鍵欄4 - 第6格
343,HOTBAR_4_7,熱鍵欄4 - 第7格
344,HOTBAR_4_8,熱鍵欄4 - 第8格
345,HOTBAR_4_9,熱鍵欄4 - 第9格
346,HOTBAR_4_0,熱鍵欄4 - 第10格
347,HOTBAR_4_A,熱鍵欄4 - 第11格
348,HOTBAR_4_B,熱鍵欄4 - 第12格
349,HOTBAR_5_1,熱鍵欄5 - 第1格
350,HOTBAR_5_2,熱鍵欄5 - 第2格
351,HOTBAR_5_3,熱鍵欄5 - 第3格
352,HOTBAR_5_4,熱鍵欄5 - 第4格
353,HOTBAR_5_5,熱鍵欄5 - 第5格
354,HOTBAR_5_6,熱鍵欄5 - 第6格
355,HOTBAR_5_7,熱鍵欄5 - 第7格
356,HOTBAR_5_8,熱鍵欄5 - 第8格
357,HOTBAR_5_9,熱鍵欄5 - 第9格
358,HOTBAR_5_0,熱鍵欄5 - 第10格
359,HOTBAR_5_A,熱鍵欄5 - 第11格
360,HOTBAR_5_B,熱鍵欄5 - 第12格
361,HOTBAR_6_1,熱鍵欄6 - 第1格
362,HOTBAR_6_2,熱鍵欄6 - 第2格
363,HOTBAR_6_3,熱鍵欄6 - 第3格
364,HOTBAR_6_4,熱鍵欄6 - 第4格
365,HOTBAR_6_5,熱鍵欄6 - 第5格
366,HOTBAR_6_6,熱鍵欄6 - 第6格
367,HOTBAR_6_7,熱鍵欄6 - 第7格
368,HOTBAR_6_8,熱鍵欄6 - 第8格
369,HOTBAR_6_9,熱鍵欄6 - 第9格
370,HOTBAR_6_0,熱鍵欄6 - 第10格
371,HOTBAR_6_A,熱鍵欄6 - 第11格
372,HOTBAR_6_B,熱鍵欄6 - 第12格
373,HOTBAR_7_1,熱鍵欄7 - 第1格
374,HOTBAR_7_2,熱鍵欄7 - 第2格
375,HOTBAR_7_3,熱鍵欄7 - 第3格
376,HOTBAR_7_4,熱鍵欄7 - 第4格
377,HOTBAR_7_5,熱鍵欄7 - 第5格
378,HOTBAR_7_6,熱鍵欄7 - 第6格
379,HOTBAR_7_7,熱鍵欄7 - 第7格
380,HOTBAR_7_8,熱鍵欄7 - 第8格
381,HOTBAR_7_9,熱鍵欄7 - 第9格
382,HOTBAR_7_0,熱鍵欄7 - 第10格
383,HOTBAR_7_A,熱鍵欄7 - 第11格
384,HOTBAR_7_B,熱鍵欄7 - 第12格
385,HOTBAR_8_1,熱鍵欄8 - 第1格
386,HOTBAR_8_2,熱鍵欄8 - 第2格
387,HOTBAR_8_3,熱鍵欄8 - 第3格
388,HOTBAR_8_4,熱鍵欄8 - 第4格
389,HOTBAR_8_5,熱鍵欄8 - 第5格
390,HOTBAR_8_6,熱鍵欄8 - 第6格
391,HOTBAR_8_7,熱鍵欄8 - 第7格
392,HOTBAR_8_8,熱鍵欄8 - 第8格
393,HOTBAR_8_9,熱鍵欄8 - 第9格
394,HOTBAR_8_0,熱鍵欄8 - 第10格
395,HOTBAR_8_A,熱鍵欄8 - 第11格
396,HOTBAR_8_B,熱鍵欄8 - 第12格
397,HOTBAR_9_1,熱鍵欄9 - 第1格
398,HOTBAR_9_2,熱鍵欄9 - 第2格
399,HOTBAR_9_3,熱鍵欄9 - 第3格
400,HOTBAR_9_4,熱鍵欄9 - 第4格
401,HOTBAR_9_5,熱鍵欄9 - 第5格
402,HOTBAR_9_6,熱鍵欄9 - 第6格
403,HOTBAR_9_7,熱鍵欄9 - 第7格
404,HOTBAR_9_8,熱鍵欄9 - 第8格
405,HOTBAR_9_9,熱鍵欄9 - 第9格
406,HOTBAR_9_0,熱鍵欄9 - 第10格
407,HOTBAR_9_A,熱鍵欄9 - 第11格
408,HOTBAR_9_B,熱鍵欄9 - 第12格
409,HOTBAR_10_1,熱鍵欄10 - 第1格
410,HOTBAR_10_2,熱鍵欄10 - 第2格
411,HOTBAR_10_3,熱鍵欄10 - 第3格
412,HOTBAR_10_4,熱鍵欄10 - 第4格
413,HOTBAR_10_5,熱鍵欄10 - 第5格
414,HOTBAR_10_6,熱鍵欄10 - 第6格
415,HOTBAR_10_7,熱鍵欄10 - 第7格
416,HOTBAR_10_8,熱鍵欄10 - 第8格
417,HOTBAR_10_9,熱鍵欄10 - 第9格
418,HOTBAR_10_0,熱鍵欄10 - 第10格
419,HOTBAR_10_A,熱鍵欄10 - 第11格
420,HOTBAR_10_B,熱鍵欄10 - 第12格
421,HOTBAR_EX_1,特殊熱鍵欄 - 第1格
422,HOTBAR_EX_2,特殊熱鍵欄 - 第2格
423,HOTBAR_EX_3,特殊熱鍵欄 - 第3格
424,HOTBAR_EX_4,特殊熱鍵欄 - 第4格
425,HOTBAR_EX_5,特殊熱鍵欄 - 第5格
426,HOTBAR_EX_6,特殊熱鍵欄 - 第6格
427,HOTBAR_EX_7,特殊熱鍵欄 - 第7格
428,HOTBAR_EX_8,特殊熱鍵欄 - 第8格
429,HOTBAR_EX_9,特殊熱鍵欄 - 第9格
430,HOTBAR_EX_0,特殊熱鍵欄 - 第10格
431,HOTBAR_EX_A,特殊熱鍵欄 - 第11格
432,HOTBAR_EX_B,特殊熱鍵欄 - 第12格
433,HOTBAR_CONTENTS_ACT_L,任務指令2
434,HOTBAR_CONTENTS_ACT_R,任務指令1
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,VIRTUAL_PAD_UP,<hex:0212020203> <hex:020821E4E96B64FF0D>上方向鍵<hex:FF0D>上方向鍵<hex:03>
452,VIRTUAL_PAD_DOWN,<hex:0212020303> <hex:020821E4E96B64FF0D>下方向鍵<hex:FF0D>下方向鍵<hex:03>
453,VIRTUAL_PAD_LEFT,<hex:0212020403> <hex:020821E4E96B64FF0D>左方向鍵<hex:FF0D>左方向鍵<hex:03>
