key,0,1,2,3,4
#,Name,Category,,Description,DutyType
offset,0,4,8,12,16
int32,str,str,str,str,str
0,,,,,
1,隨機任務：練級迷宮,練級迷宮,,隨機參加當前可以參加的迷宮或輕銳小隊用討伐戰。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※軍票的報酬量由參加時的職業與等級決定。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。,對應任務：輕銳小隊用迷宮、輕銳小隊用討伐戰
2,隨機任務：拾級迷宮,拾級迷宮,,隨機參加已經開放的50級或60級或70級或80級或90級迷宮。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。,對應任務：輕銳小隊用50級/60級/70級/80級/90級迷宮
3,隨機任務：主線任務,主線任務,,隨機參加已經開放的主線劇情任務。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中無法跳過過場動畫。<hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。,對應任務：滿編小隊用迷宮
4,隨機任務：公會令,公會令,,隨機參加已經開放的公會令任務。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※軍票的報酬量由參加時的職業與等級決定。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。<hex:02100103>※以4人小隊組隊參加4人用公會令時可以無視職能要求自由組合。<hex:02100103>※不死鳥之尾在部分任務中無法使用。,對應任務：公會令
5,隨機任務：頂級迷宮,頂級迷宮,,隨機參加已經開放的頂級迷宮。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。,對應任務：輕銳小隊用頂級迷宮
6,隨機任務：討伐殲滅戰,討伐殲滅戰,,隨機參加當前能夠加入的滿編小隊用討伐殲滅戰。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。,對應任務：滿編小隊用討伐殲滅戰
7,每日挑戰：紛爭前線,紛爭前線,,通過每日挑戰：紛爭前線，將會參加當日開放的紛爭前線戰鬥。紛爭前線的戰鬥每日都會變更，可以在下方的資訊中進行確認。<hex:02100103><hex:02100103>※每日挑戰的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。,對應任務：昂薩哈凱爾（競爭戰）
8,隨機任務：滿級迷宮,滿級迷宮,,隨機參加已經開放的100級迷宮。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。,對應任務：輕銳小隊用100級迷宮
9,隨機任務：指導者任務,指導者任務,,隨機參加已經完成的指導者對應任務，僅限已成為戰鬥指導者的玩家使用。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※不死鳥之尾在部分任務中無法使用。,對應任務：指導者對應任務
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
