key,11,12
#,Name,Description
offset,0,4
int32,str,str
0,,
1,挑戰隨機任務,使用隨機任務成功挑戰迷宮3次。
2,挑戰迷宮次數,成功挑戰迷宮5次。
3,挑戰公會令次數1,成功挑戰公會令3次。
4,挑戰公會令次數2,成功挑戰公會令10次。
5,寶物庫寶箱開箱次數1,成功打開5次寶物庫的寶箱。
6,庫洛的奇談書印花數,完成天書奇談的目標任務，貼上3個印花。
7,水晶衝突參戰次數,參加10次水晶衝突的戰鬥。
8,水晶衝突獲勝次數,在水晶衝突獲勝3次。
9,,
10,,
11,理符任務類型稱霸,完成5種不同類型的理符任務。
12,挑戰理符任務次數,完成20次理符任務。
13,軍需品補給品籌備次數2,交納10次籌備中的軍需品及補給品。
14,軍需品補給品籌備次數1,交納5次籌備中的軍需品及補給品。
15,尋寶地圖採集次數,成功採集陳舊的地圖3次。
16,寶箱挖掘次數,成功打開寶箱獲得寶物5次。
17,搭檔討伐數1,與搭檔一起討伐20隻等級接近的敵人。
18,搭檔討伐數2,與搭檔一起討伐100隻等級接近的敵人。
19,友好部族任務完成次數1,成功完成5次友好部族日常任務。
20,友好部族任務完成次數2,成功完成15次友好部族日常任務。
21,挑戰筆記完成數1,完成5種挑戰筆記中的項目。
22,挑戰筆記完成數2,完成10種挑戰筆記中的項目。
23,挑戰筆記完成數3,完成15種挑戰筆記中的項目。
24,挑戰筆記完成數4,完成20種挑戰筆記中的項目。
25,最優隊員,給出5次最優隊員推薦。
26,採集活動,使用採礦工或園藝工採集100個等級接近的道具。
27,採集活動額外獎勵,使用採礦工或園藝工採集等級接近的道具時觸發30次額外採集獎勵。
28,釣魚,使用捕魚人成功釣魚30次。
29,大尺寸釣魚,使用捕魚人成功釣到大尺寸的魚10次。
30,製作活動,成功製作30個等級接近的道具。
31,優質製作活動,成功製作20個等級接近的優質道具。
32,,
33,僱員探險成功次數,讓僱員外出探險成功10次。
34,僱員探索委託次數,讓僱員成功完成探索委託15次。
35,紛爭前線參戰次數,參加7次紛爭前線的戰鬥。
36,紛爭前線勝利次數,在紛爭前線的戰鬥中獲勝3次。
37,小遊戲完成次數,完成3次小遊戲。
38,小遊戲獲得金碟幣,在小遊戲中獲得100金碟幣。
39,機遇任務參加次數,參加5次機遇任務。
40,機遇任務完成次數,完成3次機遇任務。
41,陸行鳥競賽參賽次數1,參賽3次陸行鳥競賽。
42,陸行鳥競賽參賽次數2,參賽20次陸行鳥競賽。
43,陸行鳥競賽奪冠次數1,在陸行鳥競賽中奪冠1次。
44,陸行鳥競賽奪冠次數2,在陸行鳥競賽中奪冠10次。
45,九宮幻卡對局次數,進行10次九宮幻卡對局。
46,九宮幻卡勝利次數,在九宮幻卡對局中取勝10次。
47,萌寵之王對戰次數2,進行3次萌寵之王對戰。
48,挑戰筆記完成數5,完成30種挑戰筆記中的項目。
49,幻卡對局室對局次數,進入幻卡對局室進行5次九宮幻卡對局。
50,幻卡對局室勝利次數,進入幻卡對局室，在九宮幻卡對局中取勝3次。
51,老主顧交易次數,在老主顧交易中交納物品6次。
52,刺魚,通過刺魚成功採集道具50次。
53,大尺寸刺魚,通過刺魚成功採集到大尺寸的魚20次。
54,烈羽爭鋒參戰次數,參加10次烈羽爭鋒的戰鬥。
55,烈羽爭鋒勝利次數,在烈羽爭鋒中獲勝5次。
56,優雷卡雷冰屬性敵人討伐數1,討伐30隻雷、冰屬性的敵人，敵人的元素等級最低比自身當前等級低2級。
57,優雷卡雷冰屬性敵人討伐數2,討伐60隻雷、冰屬性的敵人，敵人的元素等級最低比自身當前等級低2級。
58,優雷卡火土屬性敵人討伐數1,討伐30隻火、土屬性的敵人，敵人的元素等級最低比自身當前等級低2級。
59,優雷卡火土屬性敵人討伐數2,討伐60隻火、土屬性的敵人，敵人的元素等級最低比自身當前等級低2級。
60,優雷卡水風屬性敵人討伐數1,討伐30隻水、風屬性的敵人，敵人的元素等級最低比自身當前等級低2級。
61,優雷卡水風屬性敵人討伐數2,討伐60隻水、風屬性的敵人，敵人的元素等級最低比自身當前等級低2級。
62,優雷卡不死敵人討伐數1,討伐20隻不死系敵人，敵人的元素等級最低和自身當前等級相同。
63,優雷卡不死敵人討伐數2,討伐40隻不死系敵人，敵人的元素等級最低和自身當前等級相同。
64,優雷卡元精敵人討伐數1,討伐10隻元精系敵人，敵人的元素等級最低和自身當前等級相同。
65,優雷卡元精敵人討伐數2,討伐20隻元精系敵人，敵人的元素等級最低和自身當前等級相同。
66,萌寵之王對戰次數1,進行1次萌寵之王對戰。
67,萌寵之王對戰次數3,進行5次萌寵之王對戰。
68,分隊攻略任務完成次數,完成3次分隊攻略任務。
69,多瑪方城戰對戰次數,進行2次非人機多瑪方城戰。
70,危命任務最高評價次數1,在危命任務中獲得5次最高評價。
71,危命任務最高評價次數2,在危命任務中獲得10次最高評價。
72,道具分解,成功分解5次道具。（※完成挑戰時只有身為能工巧匠職業才能獲得經驗值獎勵。）
73,九宮幻卡：參加錦標賽,參加1次官方錦標賽並獲得報酬。
74,開拓無人島：獲取素材的數量,在無人島獲取100個素材。
75,開拓無人島：生產海島產品的數量,在無人島生產銷售20個海島產品。
76,新月島怪物討伐數1,討伐30隻敵人，敵人的知見等級最低和自身當前等級相同。
77,新月島怪物討伐數2,討伐60隻敵人，敵人的知見等級最低和自身當前等級相同。
78,新月島挑戰緊急遭遇戰次數1,在蜃景幻界新月島成功挑戰8次緊急遭遇戰。
79,新月島挑戰緊急遭遇戰次數2,在蜃景幻界新月島成功挑戰15次緊急遭遇戰。
80,新月島挑戰危命任務次數1,在蜃景幻界新月島成功挑戰10次危命任務。
81,新月島挑戰危命任務次數2,在蜃景幻界新月島成功挑戰20次危命任務。
82,新月島連鎖次數1,在蜃景幻界新月島完成1次20連鎖。
83,新月島連鎖次數2,在蜃景幻界新月島完成1次40連鎖。
84,朝聖交錯路攻略挑戰1,成功突破第20朝聖路。
85,朝聖交錯路攻略挑戰2,成功突破第30朝聖路。
86,朝聖交錯路攻略挑戰3,成功突破第50朝聖路。
87,朝聖交錯路攻略挑戰4,成功突破第70朝聖路。
88,朝聖交錯路攻略挑戰5,成功突破第100朝聖路。
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
