key,1,3,9,10
#,Singular,Plural,Name,Tooltip
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,,,魔陶器：咒印解除,清除本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有陷阱
2,,,魔陶器：全景,點亮本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有地圖，可看到本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有陷阱
3,,,魔陶器：強化自身,自身攻擊造成的傷害及治療魔法的治療量提高30%
4,,,魔陶器：強化防禦,自身受到的傷害減輕40%
5,,,魔陶器：寶箱增加,增加下一<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的寶箱
6,,,魔陶器：減少敵人,減少下一<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的敵人
7,,,魔陶器：改變敵人,將下一<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>隨機一個房間的敵人變化為擬態怪或蔓德拉
8,,,魔陶器：解咒,解除詛咒狀態
9,,,魔陶器：運氣上升,在本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>擊敗敵人時寶箱出現率上升
10,,,魔陶器：形態變化,令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞
11,,,魔陶器：魔法效果解除,消除本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有魔法效果
12,,,魔陶器：曼提克化,自身變為曼提克形態
13,,,魔陶器：夢魔化,自身變為夢魔形態
14,,,魔陶器：感知寶藏,顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止
15,,,魔陶器：重生,復活第一個陷入無法戰鬥狀態的小隊隊員
16,,,魔陶器：基路伯化,自身變為基路伯形態
17,,,魔陶器：弱化敵人,將本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的敵人變為攻防低下的狀態
18,,,魔陶器：隱形,將自身與小隊成員變為隱形狀態
19,,,魔陶器：石化敵人,將本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的敵人變為石化狀態
20,,,魔科學器：緩速,將本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的敵人變為緩速狀態
21,,,魔科學器：大漩渦,將本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的敵人的體力降至個位數
22,,,魔科學器：恐慌裝甲化,自身變為恐慌裝甲形態
23,,,魔科學器：咒印解除,清除本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有陷阱
24,,,魔科學器：全景,點亮本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有地圖，可看到本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有陷阱
25,,,魔科學器：強化自身,自身攻擊造成的傷害及治療魔法的治療量提高30%
26,,,魔科學器：強化防禦,自身受到的傷害減輕40%
27,,,魔科學器：寶箱增加,增加下一<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的寶箱
28,,,魔科學器：減少敵人,減少下一<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>的敵人
29,,,魔科學器：改變敵人,將下一<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>隨機一個房間的敵人變化為擬態怪或蔓德拉
30,,,魔科學器：解咒,解除詛咒狀態
31,,,魔科學器：運氣上升,在本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>擊敗敵人時寶箱出現率上升
32,,,魔科學器：形態變化,令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞
33,,,魔科學器：魔法效果解除,消除本<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>所有魔法效果
34,,,魔科學器：感知寶藏,顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止
35,,,魔科學器：重生,復活第一個陷入無法戰鬥狀態的小隊隊員
36,,,魔陶器：加速,將自身與小隊成員變為加速狀態
37,,,魔陶器：淨化護符,為自身與小隊成員解除所有能解除的異常狀態，並張開防護罩，防護罩可免疫一次能解除的異常狀態
38,,,魔陶器：朝聖的指引,下一<hex:02091DE96EFF04>層<hex:FF04>層<hex:FF04>層<hex:FF0A>朝聖路<hex:03>必定出現光耀燭台
