key,0
#,Text
offset,0
int32,str
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,多瑪方城戰是什麼樣的遊戲
30,1. 簡介
31,「多瑪方城戰」是由4名玩家進行對戰的桌牌遊戲。<hex:02100103>多瑪方城戰的遊戲規則源自日本麻將。<hex:02100103>在接下來的條目中將會詳細說明有關多瑪方城戰的基礎知識與規則。<hex:02100103><hex:02100103>
32,2. 怎麼玩
33,「多瑪方城戰」是由4人進行對戰的遊戲。玩家需要將14張多瑪方城牌組合成特定牌型，以成功組合出牌型的速度與獲得的點數決定勝負。<hex:02100103><hex:02100103>遊戲開始時，每位玩家會分配到13張手牌。<hex:02100103>遊戲開始後，第一個輪到的玩家抓1張牌，然後打出1張自己不需要的牌。接下來，輪到這位玩家右手邊的玩家進行同樣的步驟，如此反覆以推進遊戲。<hex:02100103><hex:02100103>第一個用抓到的1張牌配合手中的13張牌組成特定牌型的玩家會贏得此局的勝利並獲得點數。如此重覆下去，半莊戰在第8局、東風戰則是在第4局結束時獲得點數最多的玩家即為最終贏家，宣告遊戲結束。<hex:02100103><hex:02100103>那麼接下來，首先先看看牌型究竟是什麼吧。
34,如上圖所示，用14張牌組合成<hex:024804F201FA03><hex:024904F201FB03>4個3張1組的牌再加上1個2張相同牌1組的牌，即是方城戰基礎的牌型。<hex:0249020103><hex:0248020103>關於3張1組牌的具體組合方式，則是會在別的條目中另行講解。基本上牌型組合方式的難度越高，在贏得勝利後獲得的點數也就會越多。<hex:02100103><hex:02100103>
35,3. 多瑪方城牌的種類
36,多瑪方城牌的牌可分成兩個系統，<hex:02100103>分別是刻著數字的「數牌」和刻著文字的「字牌」。<hex:02100103><hex:02100103>■刻著數字的數牌<hex:02100103>數牌共有3種，分別是「萬子」「筒子」「索子」，每種都刻有代表1到9的數字或圖案。<hex:02100103>
37,■刻著文字的字牌<hex:02100103>字牌有2種，分為「風牌」（圖中上面4個）與「三元牌」（圖中下面3個）。<hex:02100103>字牌與數牌不同，不存在類似123的順序。
38,另外，多瑪方城牌中每種牌都各有4張。上圖所示的34種牌均各有4張，因此多瑪方城牌的全部數量為136張。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>多瑪方城戰是4位玩家運用這136張牌，看誰能比其他玩家先一步（並盡可能地追求獲得更高的點數）用14張手牌組出牌型的遊戲。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>
39,4. 手牌的組建
40,■3張數字連續的牌組成順子<hex:02100103>數牌中每3張花色相同且數字相連的牌可以組成一組順子，比如下圖中的3張萬子牌「2萬、3萬、4萬」，3張筒子牌「4筒5筒6筒」，3張索子牌「7索8索9索」。<hex:02100103>但是不同花色的牌是不能組成順子的，比如下圖中的「2萬、3筒、4萬」。另外像是「891」「912」這樣帶著循環的數字組合也無法組成順子。
41,■3張同樣的牌組成刻子<hex:02100103>3張完全相同的牌可以組成一組刻子。<hex:02100103>此種組合方式對「數牌」和「字牌」都適用。
42,多瑪方城戰的基礎和牌牌型（可宣告勝利的牌型），就是由4組順子或刻子，加1組雀頭（一副對子，即2張相同的牌），共14張牌構成。（下圖為示例）<hex:02100103><hex:02100103>※除此之外還有很多不同於上述基礎格式的和牌牌型，可以等熟悉了基礎後再進行深入了解。<hex:02100103><hex:02100103>
43,5. 遊戲的進行方式
44,多瑪方城戰由4位玩家進行。首先為4位玩家每人分配13張手牌，然後遊戲開始。<hex:02100103>遊戲開始後，作為莊家的玩家（自動抽選）將會新抓1張牌，然後從13+1張手牌中打出1張不需要的牌，以保持自己的手牌還是13張。接下來，輪到莊家右手邊的玩家抓1張牌並打出不需要的1張牌，遊戲將以這樣的順序重覆進行下去。
45,當任意玩家「和牌」或是「流局（牌堆中所有牌都已抓完卻仍沒有人能和牌）」時，一局宣告結束。
46,下一局開始時，莊家的權利將轉移到前莊家右手邊的玩家身上。<hex:02100103>這樣隨著遊戲的進行，4位玩家輪流坐莊，半莊戰當所有玩家坐完2次莊、東風戰則是坐完1次莊後遊戲結束。此時擁有點數最多的玩家即為遊戲的勝者。<hex:02100103><hex:02100103>
47,6. 和牌與點數
48,在遊戲開始時每個玩家各持有25000點數。<hex:02100103>玩家和牌後，會根據和牌的牌型從其他玩家手中獲取點數。<hex:02100103>不過，「用自己抓的牌和牌」和「用別人打出的牌和牌」時，獲取點數的方式會略有不同。
49,■用自己抓的牌和牌<hex:02100103>當玩家用自己抓的牌和牌時，贏得的點數會由另外3位玩家分攤支付。如果能在自己坐莊時和牌，贏得的點數將是1.5倍。不過自己坐莊時如果別人和了牌，那麼支付給其他玩家的點數將變為2倍。
50,■用別人的捨牌和牌<hex:02100103>捨牌為其他玩家打出的不需要的牌，如果你可以別人的捨牌組成和牌牌型，你可以宣告和牌。這種情況下點炮的玩家（打出的牌令別人和牌的玩家）將獨立支付點數給和牌玩家。該情況下，和牌玩家坐莊時可獲得1.5倍點數，點炮玩家坐莊時則不需要支付2倍點數，支付與非坐莊玩家相同的1倍點數即可。
51,由此可以看出，在多瑪方城戰中「莊家」非常重要，在和牌時獲得1.5倍點數是一個巨大的優勢。此外莊家和牌後可以連莊（維持著莊家的位置再打一局），是獲得點數的絕佳機會。<hex:02100103><hex:02100103>
52,7. 和牌必須有役
53,多瑪方城戰是玩家互相爭奪點數的遊戲。有些牌型和牌時可以得到很多點數，有些牌型和牌時能得到的點數卻很少。本條目主要來解說一下如何才能獲得高點數。
54,就像德州撲克中有「順子」「同花」「滿堂紅」這些牌型，通過組出這些牌型可以使手牌變得更大，多瑪方城戰也有著類似的概念。<hex:02100103>在多瑪方城戰中，可獲得分數的牌型被稱為「役」，役的大小則使用單位「番」來表示。從很難組成的6番役到可以簡單組成的1番役，有著多種多樣的役可供玩家選擇。
55,在和牌時，役的番數決定能夠獲得的分數。<hex:02100103>基本上1番為1000點，番數累計後點數的增加狀況如下。
56,　1番　1000點<hex:02100103>　2番　2000點<hex:02100103>　3番　3900點<hex:02100103><hex:02100103>　4番　8000點<hex:02100103>　5番　8000點<hex:02100103><hex:02100103>　6番　12000點<hex:02100103>　7番　12000點<hex:02100103><hex:02100103>　8番　16000點<hex:02100103>　9番　16000點<hex:02100103>　10番　16000點<hex:02100103><hex:02100103>　11番　24000點<hex:02100103>　12番　24000點<hex:02100103><hex:02100103>　13番及以上　32000點
57,莊家和牌時獲得的點數為1.5倍。除了「番」數之外還有「符」數等其他因素也會對點數造成影響，感興趣的玩家可以另行了解。
58,如上所述，由於點數由役的番數決定，<hex:02100103>所以多瑪方城戰中<hex:024804F201FA03><hex:024904F201FB03>必須有1番以上的役才能和牌。<hex:0249020103><hex:0248020103><hex:02100103>單純組出4組順子或刻子加1組雀頭，但不符合任何役的話是無法和牌的。<hex:02100103><hex:02100103>
59,8. 役的組法1——基礎牌型
60,多瑪方城戰中役的種類繁多，下面列出其中最基礎的幾種。
61,■斷么九<hex:02100103>僅用數牌中2到8之間的牌組成的牌型。<hex:02100103>其中不得含有字牌和數牌1、9。
62,■對對和<hex:02100103>由雀頭加四組刻子或杠子（四張相同的牌）組成的牌型。
63,■一氣通貫<hex:02100103>含有花色相同的「123、456、789」三個順子。
64,■三色同順<hex:02100103>含有數字相同的三種花色的順子。
65,■混一色<hex:02100103>字牌與單一花色的數牌組成的牌型。
66,■清一色<hex:02100103>單一花色的數牌組成的牌型。
67,除上述以外還有很多不同的役，詳情請參見官方網站。<hex:02100103><hex:02100103>
68,9. 役的組法2——立直
69,有一種非常方便的役名叫立直，請銘記在心。
