key,1,2,3
#,BigFish{OnReach},BigFish{OnEnd},
offset,0,4,8
int32,str,str,str
0,,,
1,リーチ狀態になった！（翻訳不要）,リーチ狀態が終了した！（翻訳不要）,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,感覺到附近有比大瀧太郎還要大的魚在活動！,大魚好像消失了……,再次感覺到附近有比大瀧太郎還要大的魚在活動！
18,,,
19,,,
20,,,
21,感覺到附近有稱霸這一帶的大魚在活動！,大魚好像消失了……,再次感覺到附近有稱霸這一帶的大魚在活動！
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,水中出現了深深的黑暗！,水中又重新發出微弱的光芒。,水中再次被深沉的黑暗所籠罩！
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,水中發出了黃金的光輝！,黃金的光輝消失了……,水中再次發出了黃金的光輝！
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,感覺到附近有正在捕獵的大魚在活動！,大魚好像消失了……,再次感覺到附近有正在捕獵的大魚在活動！
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,感覺到附近有比加諾還要大的魚在活動！,大魚好像消失了……,再次感覺到附近有比加諾還要大的魚在活動！
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,感覺到附近有傳說級的大魚在活動！,大魚好像消失了……,再次感覺到附近有傳說級的大魚在活動！
109,,,
110,,,
111,,,
112,聞到了一股老鼠的臭味！,老鼠的臭味消失了……,再次聞到了一股老鼠的臭味！
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,感覺到岩漿底部有一股危險的氣息！,危險的氣息消失了……,再次感覺到岩漿底部有一股危險的氣息！
125,,,
126,,,
127,河底發出了微弱的光輝！,微弱的光輝消失了……,河底再次發出了微弱的光輝！
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,感覺到附近有稱霸這一帶的大魚在活動！,大魚好像消失了……,再次感覺到附近有稱霸這一帶的大魚在活動！
135,,,
136,,,
137,,,
138,,,
139,感覺到有好運的預感！,好運的預感消失了……,再次感覺到有好運的預感！
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,感覺到一股難以名狀的氣息！,難以名狀的氣息消失了……,再次感覺到一股難以名狀的氣息！
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,水中閃耀著七彩光輝！,七彩光輝消失了……,水中再次閃耀起七彩光輝！
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,水中蠕動著岩石一般的東西！,岩石一般的東西不見了……,水中岩石一般的東西再次蠕動了起來！
191,,,
192,,,
193,,,
194,,,
195,,,
196,湖底穿過了扭曲的黑影！,扭曲的黑影不見了……,扭曲的黑影再次穿過了湖底！
