key,6
#,
offset,24
int32,str
1000000,
1000001,東方公子套裝
1000002,東方秀女套裝
1000003,東方警衛套裝
1000004,東方女官套裝
1000005,蒼穹騎士聖槍系列
1000006,蒼穹騎士聖斧系列
1000007,蒼穹騎士聖劍系列
1000008,蒼穹騎士聖杖系列
1000009,風雅套裝
1000010,東方貴人套裝
1000011,東方雅人套裝
1000012,東方麗人套裝
1000013,綠寶石獸套裝
1000014,黃寶石獸套裝
1000015,哪吒赤蓮套裝
1000016,哪吒白蓮套裝
1000017,天使套裝
1000018,惡魔套裝
1000019,王子套裝
1000020,公主套裝
1000021,門客套裝
1000022,辨天套裝
1000023,東方女生套
1000024,東方書生套
1000025,東方武官套
1000026,東方美姬套
1000027,美格雅卡套裝
1000028,紅寶石獸套裝
1000029,孔雀套
1000030,登山套
1000031,山間少女套
1000032,學院制服（領帶）套裝
1000033,學院制服（蝴蝶結）套裝
1000034,東方雅士套裝
1000035,東方美玉套裝
1000036,志士套裝
1000037,血盟女士套裝
1000038,血盟拳手套裝
1000039,血盟咒術套裝
1000040,血盟盜賊套裝
1000041,血盟記錄者套裝
1000042,血盟幻術套裝
1000043,西德套裝
1000044,加隆德套裝
1000045,雅·修特拉新裝
1000046,桑克瑞德新裝
1000047,蒼穹騎士套裝
1000048,蒼穹法師套裝
1000049,總騎士長套裝
1000050,艾達套裝
1000051,血盟解放者套裝
1000052,破損的紳士套裝
1000053,飛燕套裝
1000054,豪雪套裝
1000055,純白套裝
1000056,血盟聆聽者套裝
1000057,威風凜凜套裝
1000058,血盟魔女套裝
1000059,巫女套裝
1000060,歐米茄M服裝套裝
1000061,歐米茄F服裝套裝
1000062,聖府軍套裝-女
1000063,諾拉套裝-男
1000064,戀人節套裝（褲裝版）
1000065,戀人節套裝（裙裝版）
1000066,玫瑰花戀人套（褲裝版）
1000067,勿忘草戀人套（褲裝版）
1000068,相思樹戀人套（褲裝版）
1000069,玫瑰花戀人套（裙裝版）
1000070,勿忘草戀人套（裙裝版）
1000071,相思樹戀人套（裙裝版）
1000072,君子套
1000073,淑女套
1000074,小黃鶯套裝
1000075,總管套裝
1000076,魔石精套裝
1000077,火紅男式夏裝
1000078,翠綠男式夏裝
1000079,蔚藍男式夏裝
1000080,金陽男式夏裝
1000081,銀月男式夏裝
1000082,火紅女式夏裝
1000083,翠綠女式夏裝
1000084,蔚藍女式夏裝
1000085,金陽女式夏裝
1000086,銀月女式夏裝
1000087,夜暮男式夏裝
1000088,條紋男式夏裝
1000089,晨曦女式夏裝
1000090,條紋女式夏裝
1000091,傳代戰士套裝
1000092,紅蓮節套裝
1000093,永夏套裝
1000094,怪誕套裝
1000095,魔女套裝
1000096,美夢套裝
1000097,馴鹿套裝
1000098,雪人套裝
1000099,星芒套裝
1000100,2016馴鹿套裝
1000101,聖人套裝
1000102,唱詩班套裝
1000103,女僕套裝
1000104,管家套裝
1000105,上仙套裝
1000106,莫古莫古套裝
1000107,艾普套裝
1000108,大召喚士套裝
1000109,小雞套裝
1000110,街頭套裝
1000111,男性人狼套裝
1000112,女性人狼套裝
1000113,志士套裝
1000114,學院制服（領帶）套裝
1000115,學院制服（蝴蝶結）套裝
1000116,女僕套裝
1000117,管家套裝
1000118,山間少女套
1000119,登山套
1000120,美格雅卡套裝
1000121,東方貴人套裝
1000122,風雅套裝
1000123,孔雀套
1000124,東方美玉套裝
1000125,東方雅士套裝
1000126,東方麗人套裝
1000127,東方雅人套裝
1000128,東方秀女套裝
1000129,東方公子套裝
1000130,東方女官套裝
1000131,東方警衛套裝
1000132,東方書生套
1000133,東方女生套
1000134,東方武官套
1000135,東方美姬套
1000136,辨天套裝
1000137,門客套裝
1000138,哪吒赤蓮套裝
1000139,哪吒白蓮套裝
1000140,天使套裝
1000141,惡魔套裝
1000142,上仙套裝
1000143,王子套裝
1000144,公主套裝
1000145,大召喚士套裝
1000146,艾普套裝
1000147,綠寶石獸套裝
1000148,黃寶石獸套裝
1000149,紅寶石獸套裝
1000150,莫古莫古套裝
1000151,木匠套裝複製品
1000152,鐵匠套裝複製品
1000153,甲匠套裝複製品
1000154,金匠套裝複製品
