key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,自動攻擊,以一定時間為間隔自動進行普通攻擊。
2,跳躍,通過跳躍可以躍過較小的高低差。
3,極限技,消耗極限槽可以施放強力的極限技。<hex:02100103>每種職能的極限技都有所不同。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>防護職業：<hex:0249020103><hex:0248020103>減輕全體隊員受到的傷害。<hex:02100103>（範圍：50米）<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>近戰職業：<hex:0249020103><hex:0248020103>發動單體高傷害攻擊。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>遠程職業：<hex:0249020103><hex:0248020103>對前方直線範圍發動高傷害攻擊。<hex:02100103>（範圍：30米）<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>魔法職業：<hex:0249020103><hex:0248020103>對指定地點發動範圍高傷害攻擊。<hex:02100103>（範圍：8米/10米/15米）<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>治療職業：<hex:0249020103><hex:0248020103>恢復全體隊員的體力，3級極限技附帶復活效果。<hex:02100103>以此復活時，身上本沒有衰弱狀態的隊員不會被附加衰弱狀態，<hex:02100103>身上已有衰弱狀態的隊員其衰弱的持續時間會刷新回最大值。<hex:02100103>（範圍：50米）
4,衝刺,提高自身的移動速度。<hex:02100103><hex:024804F201F803><hex:024904F201F903>戰鬥中的持續時間：<hex:0249020103><hex:0248020103>10秒<hex:02100103><hex:024804F201F803><hex:024904F201F903>非戰鬥中的持續時間：<hex:0249020103><hex:0248020103>20秒<hex:02100103>※對戰任務內無法使用。
5,分解,將道具分解成能夠再次使用的素材。
6,修理,修復裝備的耐久度。<hex:02100103>需要用對應裝備等級的暗物質來當作觸媒。
7,傳送,消耗金幣在共鳴過的乙太之光之間迅速移動。
8,返回,傳送到上一次所記錄的返回點。
9,隨機坐騎,隨機召喚出一種坐騎。
10,隨機寵物,隨機召喚出一種寵物。
11,,
12,鑲嵌魔晶石,將寄宿有思念的魔晶石鑲嵌到裝備上對裝備進行強化。
13,鑲嵌魔晶石II,將寄宿有思念的魔晶石鑲嵌到裝備上對裝備進行強化。<hex:02100103>雖然失敗的危險性很高，不過鑲嵌的數量可以擺脫魔晶石孔數量的限制。
14,精製魔晶石,抽出物品上寄宿的思念乙太，將其精製成魔晶石。
15,染色,消耗染劑來改變裝備的顏色。
16,從左至右切換敵人,從最近的敵人開始從左至右切換所選目標。
17,從右至左切換敵人,從最近的敵人開始從右至左切換所選目標。
18,放置,放下手中的物品。
19,解讀,解讀陳舊的地圖。
20,挖掘,探索周圍環境以確認地圖上記載的寶物是否存在。<hex:02100103><hex:024804F201F803><hex:024904F201F903>範圍：<hex:0249020103><hex:0248020103>半徑30米
21,精選,在採集到的收藏品中進行精選，發現新的道具。
22,武具投影,消耗幻象棱晶來改變裝備的外型。
23,跳下,從坐騎上下來。
24,隨機飛行坐騎,隨機召喚出一種飛行坐騎。
25,投影模板,一次性對數件裝備進行武具投影。
26,任務指令1,使用迷宮挑戰或蠻神戰等任務中特有的指令。
27,任務指令2,使用迷宮挑戰或蠻神戰等任務中特有的指令。
28,收回,整理並收納使用中的時尚配飾。
29,特殊熱鍵欄技能排序,調整特殊熱鍵欄上技能的順序。
30,特殊熱鍵欄技能排序,調整特殊熱鍵欄上技能的順序。
31,輔助技能1,發動任務中的對應技能。
32,輔助技能2,發動任務中的對應技能。
33,輔助技能3,發動任務中的對應技能。
34,輔助技能4,發動任務中的對應技能。
35,輔助技能5,發動任務中的對應技能。
36,目標·攻擊,將標記為攻擊1～8的對象設為目標。<hex:02100103>如果存在多個對象，則以最小數字的對象作為目標。
37,目標·止步,將標記為止步1～3的對象設為目標。<hex:02100103>如果存在多個對象，則以最小數字的對象作為目標。
38,目標·禁止,將標記為禁止1～2的對象設為目標。<hex:02100103>如果存在多個對象，則以最小數字的對象作為目標。
39,目標·方塊,將標記為方塊的對象設為目標。
40,目標·圓圈,將標記為圓圈的對象設為目標。
41,目標·十字,將標記為十字的對象設為目標。
42,目標·參角,將標記為三角的對象設為目標。
43,下一個戰術板,切換到下一個戰術板。
44,上一個戰術板,退回到上一個戰術板。
