key,15,17,23
#,Singular,Plural,Name
offset,0,4,8
int32,str,str,str
0,橢圓眼鏡,,橢圓眼鏡
1,金邊墨鏡,,金邊墨鏡
2,經典眼鏡,,經典眼鏡
3,玫瑰色眼鏡,,玫瑰色眼鏡
4,基礎款眼鏡,,基礎款眼鏡
5,單眼鏡,,單眼鏡
6,現代鼻眼鏡,,現代鼻眼鏡
7,無框眼鏡,,無框眼鏡
8,粗框眼鏡,,粗框眼鏡
9,藝術眼鏡,,藝術眼鏡
10,鼻眼鏡,,鼻眼鏡
11,作業眼鏡,,作業眼鏡
12,黃銅護目鏡,,黃銅護目鏡
13,下框眼鏡,,下框眼鏡
14,橢圓讀書眼鏡,,橢圓讀書眼鏡
15,典雅無框眼鏡,,典雅無框眼鏡
16,貓眼眼鏡,,貓眼眼鏡
17,窄框眼鏡,,窄框眼鏡
18,彩色護目鏡,,彩色護目鏡
19,左側眼罩,,左側眼罩
20,右側眼罩,,右側眼罩
21,左側金屬眼罩,,左側金屬眼罩
22,右側金屬眼罩,,右側金屬眼罩
23,豹目眼鏡,,豹目眼鏡
24,閱讀眼鏡,,閱讀眼鏡
25,淡色眼鏡,,淡色眼鏡
26,時髦眼鏡,,時髦眼鏡
27,漸變色鏡框眼鏡,,漸變色鏡框眼鏡
28,厚框眼鏡,,厚框眼鏡
29,左側秘銀鑲邊眼罩,,左側秘銀鑲邊眼罩
30,右側秘銀鑲邊眼罩,,右側秘銀鑲邊眼罩
31,左側皮飾眼罩,,左側皮飾眼罩
32,右側皮飾眼罩,,右側皮飾眼罩
33,斯卡艾瓦頭甲,,斯卡艾瓦頭甲
34,●RTI2シリーズ（キャスター）,,●RTI2シリーズ（キャスター）
35,戰術護目鏡,,戰術護目鏡
36,遮光面罩,,遮光面罩
37,貓眼讀書眼鏡,,貓眼讀書眼鏡
38,教授眼鏡,,教授眼鏡
39,小夾鼻眼鏡,,小夾鼻眼鏡
40,デコレート・エッググラス,,デコレート・エッググラス
41,クワトロ・エッググラス,,クワトロ・エッググラス
42,スリムフレーム・エッググラス,,スリムフレーム・エッググラス
43,スプリガン・グラス,,スプリガン・グラス
44,エッグハントチキン・グラス,,エッグハントチキン・グラス
45,フラワーデコレート・グラス,,フラワーデコレート・グラス
46,プレーン・アイマスク,,プレーン・アイマスク
47,ホログラス,,ホログラス
48,左側折布眼罩,,左側折布眼罩
49,右側折布眼罩,,右側折布眼罩
50,ホロゴーグル,,ホロゴーグル
51,ノワール・グラス,,ノワール・グラス
