key,6
#,
offset,0
int32,str
0,
1,溫文爾雅，內心強大的女性角尊
2,信念堅定，充滿自信的魯加族女性
3,勇猛無匹，鬥志昂揚的人族男性
4,粉色頭髮，可愛高貴的拉拉菲爾族女性
5,擅長魔導技術，被部下仰慕的加雷馬男性
6,有強大野心，毫無破綻的加雷馬男性
7,戀慕著拂曉資金管理人的拉拉菲爾族男性技術員
8,與搭檔一起逃離了加雷馬帝國的魯加族男性技術員
9,擁有赤發紅瞳的貓魅族男性
10,擔任秘密組織盟主的人族女性
11,行省出身卻爬到了陣營官之職的魯加族男性
12,充滿魅力的貓魅族女明星
13,勇敢無畏又英俊的男性人族紳士
14,紳士調查員的貓魅族女助手
15,被喚做艾歐澤亞最強雕金匠的人族男性
16,掌管秘密組織財務的拉拉菲爾族女性
17,達成重生之壯舉的人族男性
18,黑髮藍瞳，眼中宿有強大意志的精靈族男性
19,有強烈正義感的威風凜凜的半精靈族女性
20,身披黃色帶耳長袍的拉拉菲爾族女性
21,以傲人槍法而聞名的孤高精靈族男性
22,統領空賊，熱愛自由的人族男性
23,總在為胡來的搭檔收拾爛攤子的人族女性空賊
24,在空賊中負責技術工作的拉拉菲爾族女性
25,擅長社交，喜好傳聞的高貴精靈族男性
26,與蒼穹相襯的人族男性
27,果敢豁達，來自東方的人族男性
28,擅長忍技，克己盡忠的敖龍族女性
29,態度傲慢，武藝高超的敖龍族單身男性
30,好勝爽快，高傲強大的敖龍族女性
31,楚楚可憐，奉行神諭的敖龍族女性
32,身穿紅衣，擅長體術的人族女性
33,統管紅玉海海賊眾的魯加族男性
34,以海賊眾副頭領之職輔佐頭領的人族男性
35,被聖獸所仰慕，曾為英雄的人族男性
36,擔任全權大使的情緒化人族男性
37,狩獵暗之使徒的加雷馬男性
38,博學多識，擁有賢人稱號的敖龍族女性
39,精通體術，與紅蓮相襯的人族男性
40,腰配長刀，與紅蓮相襯的人族男性
41,自稱魔女，冰雪聰明的貓魅族女性
42,觀星占卜，斬創命運的寡言精靈族男性
43,使用槍刃，勇敢的人族男性
44,背負奇異命運，擁有碧藍眼瞳的人族少女
45,作為代理首領統領海盜的人族男性
46,以馴獸師之能而聞名的人族男性
47,出身操縱魔獸的名門，我見我執的拉拉菲爾族女性
48,帝國軍團長，執念深重的加雷馬男性
49,與暗影相襯的人族男性
50,哲學家議會的議員，頗有威望的精靈族男性
51,管理福利團體的溫柔體貼的精靈族女性
52,拼盡全力從瓦礫殘骸中復興祖國的加雷馬男性
53,環遊世界，收集目標生物的維埃拉族男性
54,喜好收集東方珍品的人族男性
55,身上寄宿了古代大魔法師靈魂的貓魅族女性
56,與消失在虛無界的姐姐再會的七大天龍在戰鬥時使用的化身
57,靦腆害羞但善於計算的某位勇敢無畏的紳士的複製體
58,與曉月相襯的人族男性
59,抵達黃金鄉，成為了武王的硌獅族女性
60,支持自己的妹妹，成為了理王的貓魅族男性
61,與金曦相襯的人族男性
62,用畫筆戰鬥，獲悉了自己身世的拉拉菲爾族女性
63,將十二神的心願銘記於心，繼續旅行的人族男性
64,來自被黑暗籠罩的世界，手持巨鐮的半妖異女性
65,生活在尊崇黑暗的森林中，敬愛著魔女的硌獅族男性
66,被取了與幕後英雄同樣名字的混血加雷馬族少年
67,被取了與英雄妹妹同樣名字的混血加雷馬族少女
68,劇團的主人，追尋傳奇的加雷馬族男性
