key,2
#,
offset,0
int32,str
0,<hex:021306FEFFCCCCCC03><hex:022903EA0303><hex:021302EC03>
1,<hex:021306FEFFCCCCCC03><hex:022903EA0303><hex:021302EC03>
2,<hex:021306FEFFFF7F7F03><hex:022903EA0303><hex:021302EC03>
3,<hex:021306FEFFB38CFF03><hex:022903EA0303><hex:021302EC03>
4,
5,
6,
7,
8,
9,
10,<hex:021303E90E03><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
11,<hex:021303E90F03><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
12,<hex:021303E91003>>><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
13,<hex:021303E91003><hex:022903EA0203> >> <hex:022903EA0303><hex:021302EC03>
14,<hex:021303E91103>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
15,<hex:021303E91203>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
16,<hex:021303E91303>[1]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
17,<hex:021303E91403>[2]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
18,<hex:021303E91503>[3]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
19,<hex:021303E91603>[4]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
20,<hex:021303E91703>[5]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
21,<hex:021303E91803>[6]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
22,<hex:021303E91903>[7]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
23,<hex:021303E91A03>[8]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
24,<hex:021303E91B03>[部隊]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
25,
26,
27,<hex:021303E91E03>[新人]<hex:022903EA0203> : <hex:022903EA0303><hex:021302EC03>
28,<hex:021303E91F03><hex:022903EA0203><hex:022903EA0303><hex:021302EC03>
29,<hex:021303E92003><hex:022903EA0303><hex:021302EC03>
30,<hex:021303E92103><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
31,<hex:021303E91103>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
32,<hex:021303E91103>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
33,
34,
35,
36,<hex:021303E91C03>[對戰]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
37,<hex:021303E92403>[跨服貝1]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
38,
39,
40,
41,<hex:021303E92503><hex:022903EA0303><hex:021302EC03>
42,<hex:021303E92603><hex:022903EA0303><hex:021302EC03>
43,<hex:021303E92703><hex:022903EA0303><hex:021302EC03>
44,<hex:021303E92803><hex:022903EA0303><hex:021302EC03>
45,<hex:021303E92903><hex:022903EA0303><hex:021302EC03>
46,<hex:021303E92A03><hex:022903EA0303><hex:021302EC03>
47,<hex:021303E92B03><hex:022903EA0303><hex:021302EC03>
48,<hex:021303E92A03><hex:022903EA0303><hex:021302EC03>
49,<hex:021303E92B03><hex:022903EA0303><hex:021302EC03>
50,
51,
52,
53,
54,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
55,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
56,<hex:021303E92C03><hex:022903EA0303><hex:021302EC03>
57,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
58,<hex:021303E93A03><hex:022903EA0303><hex:021302EC03>
59,<hex:021303E93B03><hex:022903EA0303><hex:021302EC03>
60,<hex:021303E93C03><hex:022903EA0303><hex:021302EC03>
61,<hex:021303E93D03><hex:022903EA0203> : <hex:022903EA0303><hex:021302EC03>
62,<hex:021303E93E03><hex:022903EA0303><hex:021302EC03>
63,
64,<hex:021303E93F03><hex:022903EA0303><hex:021302EC03>
65,<hex:021303E94003><hex:022903EA0303><hex:021302EC03>
66,<hex:021303E94103><hex:022903EA0303><hex:021302EC03>
67,<hex:021303E94203><hex:022903EA0303><hex:021302EC03>
68,<hex:021303E93D03><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
69,<hex:021303E92203><hex:022903EA0303><hex:021302EC03>
70,<hex:021303E92203><hex:022903EA0303><hex:021302EC03>
71,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
72,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
73,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
74,<hex:021303E94003><hex:022903EA0303><hex:021302EC03>
75,<hex:021303E92303><hex:022903EA0303><hex:021302EC03>
76,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
77,<hex:021303E91D03><hex:022903EA0303><hex:021302EC03>
78,<hex:021303E91D03><hex:022903EA0303><hex:021302EC03>
79,<hex:021303E92D03><hex:022903EA0303><hex:021302EC03>
80,<hex:021303E91003>[遊戲管理員]<hex:022903EA0203> >> <hex:022903EA0303><hex:021302EC03>
81,<hex:021303E90E03>[遊戲管理員]<hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
82,<hex:021303E90F03>[遊戲管理員]<hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
83,<hex:021303E92103>[遊戲管理員]<hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
84,<hex:021303E91103>([遊戲管理員]<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
85,<hex:021303E91B03>[部隊]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
86,<hex:021303E91303>[1]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
87,<hex:021303E91403>[2]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
88,<hex:021303E91503>[3]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
89,<hex:021303E91603>[4]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
90,<hex:021303E91703>[5]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
91,<hex:021303E91803>[6]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
92,<hex:021303E91903>[7]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
93,<hex:021303E91A03>[8]<[遊戲管理員]<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
94,<hex:021303E91E03>[新人][遊戲管理員]<<hex:022903EA0203>> : <hex:022903EA0303><hex:021302EC03>
95,
96,
97,
98,
99,
100,
101,<hex:021303E95503>[跨服貝2]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
102,<hex:021303E95603>[跨服貝3]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
103,<hex:021303E95703>[跨服貝4]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
104,<hex:021303E95803>[跨服貝5]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
105,<hex:021303E95903>[跨服貝6]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
106,<hex:021303E95A03>[跨服貝7]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
107,<hex:021303E95B03>[跨服貝8]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
108,
109,
110,
