key,3,4
#,,
offset,0,4
int32,str,str
0,,
1,防護效果提高,<hex:024804F201F403><hex:024904F201F503>防護<hex:0249020103><hex:0248020103>的效果量提高到90%
2,祈禱效果提高,<hex:024804F201F403><hex:024904F201F503>祈禱<hex:0249020103><hex:0248020103>的恢復力提高到5000
3,狂怒效果提高,為自身附加<hex:024804F201F403><hex:024904F201F503>肉斬骨斷<hex:0249020103><hex:0248020103>狀態<hex:02100103><hex:024804F201F403><hex:024904F201F503>肉斬骨斷<hex:0249020103><hex:0248020103>持續時間內受到的傷害越高，一擊的威力越高<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>15秒
4,踢擊效果提高,<hex:024804F201F403><hex:024904F201F503>踢擊<hex:0249020103><hex:0248020103>的效果量提高到7%
5,踢擊效果提高II,<hex:024804F201F403><hex:024904F201F503>踢擊<hex:0249020103><hex:0248020103>的效果量提高到9%
6,狙擊效果提高,<hex:024804F201F403><hex:024904F201F503>狙擊<hex:0249020103><hex:0248020103>的效果量提高到30%，並且攻擊必定命中
7,狙擊效果提高II,<hex:024804F201F403><hex:024904F201F503>狙擊<hex:0249020103><hex:0248020103>的效果量提高到50%，並且攻擊必定命中
8,居合斬效果提高,居合斬的威力提高到500，即死的機率提高到10%
9,歌吟效果提高,歌吟的效果量會隨吟遊詩人的輔助職業等級提升而提升
10,開鎖,可以開啟迷宮中上鎖的門
11,砲擊效果提高,發動砲擊時，有5%的機率即死目標
12,鈴鐺效果提高,<hex:024804F201F403><hex:024904F201F503>戰鬥之鈴<hex:0249020103><hex:0248020103>的效果量提高至5%<hex:02100103><hex:024804F201F403><hex:024904F201F503>休憩之鈴<hex:0249020103><hex:0248020103>的恢復力提高至3000
13,,
14,,
15,,
