key,0,1
#,,
offset,0,4
int32,str,str
0,,
1,,
2,,
3,,
4,任務緩和,當前版本針對零式大型任務做出以下調整。<hex:02100103>　·各層攻略後不再記錄攻略進度。<hex:02100103>　·各層不再需要按順序攻略。<hex:02100103>　·寶箱必定會出現。<hex:02100103>　·從寶箱中獲取道具不會有每週獲取限制。<hex:02100103>
5,匹配條件,<hex:024804F201FA03><hex:024904F201FB03>匹配條件<hex:0249020103><hex:0248020103><hex:02100103>匹配條件中的「任務已完成」只有在曾經完成過對應任務時才能選擇。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>目的<hex:0249020103><hex:0248020103><hex:02100103>目的「完成任務」只有在尚未獲得週獎勵時才能選擇。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>指定練習階段<hex:0249020103><hex:0248020103><hex:02100103>只有目的選擇了「練習」時才可選擇。<hex:02100103>指定練習階段並不表示可以直接跳過其他階段。<hex:02100103><hex:02100103>在申請狀態下到達每週重置時間時，申請會被取消。
6,記錄進度,每個玩家自身都會單獨保存最新零式大型任務的挑戰進度，<hex:02100103>當再次進行任務時，會在前一次中斷的位置繼續進行挑戰。<hex:02100103> <hex:02100103>挑戰的進度會在<hex:024804F201FA03><hex:024904F201FB03>每週<hex:020603120303><hex:02093ADDFF07>週日<hex:FF07>週一<hex:FF07>週二<hex:FF07>週三<hex:FF07>週四<hex:FF07>週五<hex:FF07>週六<hex:03>的<hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點（地球時間）<hex:0249020103><hex:0248020103>重置。
7,進度與報酬,在最新的零式大型任務中，<hex:02100103>進度超前的玩家在已經完成過的階段不會獲得報酬。<hex:02100103><hex:02100103>隨著隊伍中進度超前隊員的人數，<hex:02100103>寶箱的出現數量以及報酬數量會發生變化。 <hex:02100103>　·進度超前隊員為0人時寶箱出現數：1個<hex:02100103>　·進度超前隊員有1-4人時寶箱出現數：1個（報酬數量減少）<hex:02100103>　·進度超前隊員有5人或以上時寶箱出現數：0個<hex:02100103> <hex:02100103>以單人或者不滿8人的隊伍參加最新的零式大型任務時，<hex:02100103>根據匹配到的成員的進度不同，<hex:02100103>寶箱的出現數量及報酬數量也可能會發生變化。 
8,職業構成,通過匹配參加最新的零式大型任務時組成的隊伍沒有重覆職業。<hex:02100103>　·進攻職業會按照「近戰」「遠程物理」「遠程魔法」「無指定」的分配組成。<hex:02100103><hex:02100103>不過，根據「目的」的設定，在「無指定」一項中也可以有重覆職業。<hex:02100103>　·目的選擇「完成任務」時：職業不可重覆<hex:02100103>　·目的選擇「練習」時：職業可重覆<hex:02100103><hex:02100103>通過匹配參加最新的零式大型任務時，<hex:02100103>隊伍中的<hex:024804F201FA03><hex:024904F201FB03>「純粹治療職業」不能多於1名，「護罩治療職業」也不能多於1名，<hex:0249020103><hex:0248020103><hex:02100103>否則無法申請匹配。<hex:02100103>　·純粹治療職業：白魔法師、占星術士<hex:02100103>　※最擅長為自身及隊員治療的特職<hex:02100103>　·護罩治療職業：學者、賢者<hex:02100103>　※最擅長為自身及隊員附加能夠抵禦一定傷害的防護罩的特職
9,組隊參加時的進度,挑戰最新的零式大型任務時，<hex:02100103>全隊都會按照隊長的進度進行挑戰。<hex:02100103><hex:02100103>即使進度有所不同的隊員也可以一同挑戰任務。<hex:02100103>　·比隊長進度落後的隊員，進度會被更新到與隊長相同。<hex:02100103>　·比隊長進度靠前的隊員，進度不會被更新。
10,任務搜尋器,<hex:024804F201FA03><hex:024904F201FB03>任務搜尋器<hex:0249020103><hex:0248020103>是供<hex:024804F201FA03><hex:024904F201FB03>不同玩家<hex:0249020103><hex:0248020103>組成小隊<hex:02100103>一起挑戰迷宮等任務的<hex:024804F201FA03><hex:024904F201FB03>便利功能<hex:0249020103><hex:0248020103>。<hex:02100103>訪問進入點，選擇<hex:024804F201FA03><hex:024904F201FB03>與其他玩家一同進入<hex:0249020103><hex:0248020103>後，<hex:02100103>將會打開<hex:024804F201FA03><hex:024904F201FB03>任務搜尋器窗口<hex:0249020103><hex:0248020103>。
11,申請參加任務,<hex:024804F201FA03><hex:024904F201FB03>勾選想要挑戰的迷宮名稱<hex:0249020103><hex:0248020103>，然後<hex:024804F201FA03><hex:024904F201FB03>按下參加按鈕<hex:0249020103><hex:0248020103>，<hex:02100103>系統就會自動地將參加相同任務的玩家組成小隊。<hex:02100103>這個過程被稱為<hex:024804F201FA03><hex:024904F201FB03>匹配<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※最多只能同時申請參加5個任務。<hex:02100103><hex:02100103>※帶有鎖頭圖案的任務表示當前狀態沒有完全符合參加條件，無法申請參加。<hex:0249020103><hex:0248020103>
12,申請的預約狀況,開始申請之後，目的列表中會出現搜尋器的圖標，可以隨時查看<hex:024804F201FA03><hex:024904F201FB03>預約狀況<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>預約狀況窗口中會顯示當前的隊伍情況和伺服器預約情況。
13,出發確認窗口,<hex:024804F201FA03><hex:024904F201FB03>匹配完成<hex:0249020103><hex:0248020103>時會有<hex:024804F201FA03><hex:024904F201FB03>聲音提示，並彈出窗口<hex:0249020103><hex:0248020103>。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>按下出發按鈕<hex:0249020103><hex:0248020103>就可以進行挑戰了！<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>若沒有在限制時間內出發，將會取消參加，需要重新進行選擇。<hex:0249020103><hex:0248020103>
14,可以挑戰的迷宮,隨著你的冒險不斷推進，可以挑戰的迷宮數量也會不斷增加。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>當前不可使用劇情輔助器的迷宮及任務<hex:0249020103><hex:0248020103>請多<hex:024804F201FA03><hex:024904F201FB03>利用任務搜尋器<hex:0249020103><hex:0248020103>參與挑戰！<hex:02100103><hex:02100103>此外成功挑戰過的迷宮也可以重覆進行挑戰。<hex:02100103>可以從<hex:024804F201FA03><hex:024904F201FB03>快捷指令<hex:0249020103><hex:0248020103>的<hex:024804F201FA03><hex:024904F201FB03>任務情報<hex:0249020103><hex:0248020103>選單選擇<hex:024804F201FA03><hex:024904F201FB03>任務搜尋器<hex:0249020103><hex:0248020103><hex:02100103>或<hex:024804F201FA03><hex:024904F201FB03>劇情輔助器<hex:0249020103><hex:0248020103>再次進行挑戰。
15,探索特殊迷宮的方法,和專用的非玩家角色對話，或者選擇快捷指令「任務情報」內的<hex:02100103>「<hex:024804F201FA03><hex:024904F201FB03>特殊迷宮探索器<hex:0249020103><hex:0248020103>」打開專用的窗口，<hex:02100103>進入特殊迷宮探索任務。<hex:02100103><hex:02100103>進入任務時所需的情報都會顯示在專用窗口內，<hex:02100103>同時也可以進行各種設定。
