key,13
#,
offset,0
int32,str
0,0
1,NpcYellテストテキスト[1]
2,快！誰來幫個忙！
3,小心！魔物過來了！
4,小魔精要出來了！不要放跑它們！
5,該死！數量太多了！
6,魔物已經衝到那裡了！
7,妖精族要過來了！注意警戒！
8,魔物的數量增加了！大家小心！
9,這裡的治安就交給我們維護！
10,不要讓盜賊們給看扁了！
11,奧猴衝向豆子去了！
12,鳥人族攻過來了！
13,那是……席茲？！
14,竟然又來了？！我們必須保護好樹苗！
15,魔物們現在很亂！要小心！
16,該死……得換個戰術了！
17,破碎金龜！把他們都幹掉！
18,有人能來協助我們一下嗎？
19,誰能來幫幫我！
20,什麼？巨像兵竟然這麼……
21,可惡的小魔精！竟然還來！
22,我們養的花又被吃了……
23,鳥人族過來了！準備迎擊！
24,誰！誰能來幫幫我！
25,好！出擊！
26,唔哦！
27,哈啊！
28,嘿！
29,嗨！
30,還沒完呢！
31,混蛋！
32,喝呀！
33,才這點程度！
34,呀哈！
35,噢噢噢噢！
36,滾開！
37,宰了你！
38,那就陪你玩玩。
39,你想當我的對手？
40,跪下！
41,再叫點好聽的！
42,不用客氣。
43,別太狂了！
44,不來點刺激的嗎！
45,跳吧！
46,你想要這個？
47,哎哎！
48,想來報仇嗎？
49,你、你給我記著！
50,哈哈哈哈，真過癮！
51,嗚……饒了我吧……
52,你、嗝、算哪根蔥？
53,你這混、嗝、蛋！
54,準備好了呼啾！
55,我們上吧呼啾！
56,好好教訓他們呼啾！
57,我絕對不會枯萎呼啾！
58,就沒有對自己的身手有自信的人嗎？
59,你們這些傢伙……絕對不會讓你們活著出去！
60,放馬過來！
61,好了！幹得不錯！
62,該死！數量太多了！
63,絕對無法饒恕這些偷獵者！
64,城裡的大人們已經緊迫到需要動用冒險者來幹這種髒活了嗎？
65,怎、怎麼會這樣……
66,你們 什麼 別近
67,炸彈 啪啪 費勁
68,轟轟 轟轟 大爆炸
69,砰砰 砰砰 大爆炸
70,我們 城堡 壞啦
71,過來 壞傢伙 打飛
72,炸彈 叭叭 好累
73,炸彈 炸彈 大爆炸
74,轟轟 轟轟 大爆炸
75,竟然 城堡 壞啦
76,城堡 又又 壞啦
77,這裡 我們 城堡
78,你們 所有 打飛
79,疼疼 好疼 等等
80,炸彈 劈啪 呼啦
81,轟轟 轟轟 超爆炸
82,砰砰 砰砰 超爆炸
83,大家聽我的呼啾！
84,我要認真起來了呼啾！
85,接下來要動真格的了呼啾！
86,真的要動真格的了呼啾！
87,大王！
88,給我躺下吧！
89,哼哼，看這招！
90,非常感謝！
91,實在是萬分感謝！
92,嗚……
93,我們不需要膽小鬼！
94,太謝謝您了！啊！他來了！
95,差不多該去巡視啦。
96,哇，滿地都是花甲蟲！
97,快來人把這些蟲子清一清！
98,太好了，總算可以放心了。
99,怎麼會這樣……
100,スラッグがいっぱいきたー（仮）
101,よし！　みんなで乾杯だ！（仮）
102,はぁ、今日の俺の酒が…（仮）
103,だれかー（仮）
104,俺の酒を守ってくれー（仮）
105,せっかくつまみを買ってきたのに…（仮）
106,やめてー（仮）
107,不要啊！救救我呼啾！
108,謝謝你呼啾！
109,嗯……情形有些不對……
110,這些該死的鳥！
111,關你什麼事啊！
112,別來搗亂！
113,老實呆著去！
114,別小看我啊！
115,什麼人？
116,追兵？！
117,身體好沉重……
118,每次一要認真起來就變成這樣！
119,果然還是只能委託冒險者了嗎……
120,好，看起來沒有追兵。
121,感謝你的幫助。
122,咯噔 咯噔 咯噔……
123,咯噔 咯噔……
124,好、好大群的迷途羊羔！
125,迎擊羊群！
126,暫時沒有什麼情況。
127,只有一條路嗎……準備好應對阻擊。
128,快到了，但是不要放鬆警惕！
129,嗚，果然還是來了！
130,你們是幹啥的？入侵者嗎？
131,竟敢對我的小狗出手！
132,你終於惹怒我了！
133,我、我還沒拿出真本事哦！
134,哎呀，突然想起來我還有急事！
135,該死！這幫傢伙真難纏！
136,小狗們，給我上！
137,痛死我了……這可有點不妙。
138,啊，不妙……怎麼向老大彙報啊……
139,吃我這招！
140,去死吧！
141,你們這些混蛋！
142,竟敢小看我！
143,呼哧……呼哧……<hex:02100103>救命 救命啊。
144,呼哧……呼哧……<hex:02100103>已經 不行了……
145,救命啊 救命啊！
146,不行了 不行了……
147,呼哧……呼哧……<hex:02100103>得救了 得救了！
148,呼哧……呼哧……<hex:02100103>多謝 多謝！
149,呼哧……呼哧……<hex:02100103>小小謝禮 不成敬意！
150,呼哧……呼哧……<hex:02100103>俺也要 突擊哥布！
151,呼哧……呼哧……<hex:02100103>這裡就 交給俺哥布！
152,呼哧……呼哧……<hex:02100103>你們 趕緊動手哥布！
153,呼哧……呼哧……<hex:02100103>大恩 不言謝哥布！
154,呼哧……呼哧……<hex:02100103>俺出手 這當然的結果哥布。
155,呼哧……呼哧……<hex:02100103>看招 超級炸彈哥布！
156,哥布？！
157,呼哧……呼哧……<hex:02100103>這裡就 交給俺哥布！
158,呼哧……呼哧……<hex:02100103>勝利……輕而易舉哥布……
159,呼哧……呼哧……<hex:02100103>俺來救你了哥布！
160,怕俺了吧哥布？
161,呼哧……呼哧……<hex:02100103>俺的傳說 又增加了哥布！
162,布雷福洛克斯 真棒！
163,布雷福洛克斯 真強！
164,呼哧……呼哧……<hex:02100103>過獎了哥布！
165,有黑豺！
166,不要過來，不要過來啊！
167,我、我的肉不好吃的！
168,救命啊！
169,得救了……
170,嗯？什麼東西？
171,哇啊！好多陸魚！
172,嗯？好像有什麼叫聲？
173,嗚，暫時退兵！
174,賭上黑渦團的榮譽！
175,這點事你們都處理不來嗎？
176,丟人現眼！
177,誰快去頂上！
178,你們就只會被壓著打嗎？
179,讓他們瞧瞧黑渦團的力量！
180,嗯？好像有什麼要來了……
181,知道黑渦團的厲害了吧！
182,什麼？我居然會被打倒……
183,好了，該去巡視了。
184,嗯……這好像是什麼在飛的聲音？
185,好多洞穴蝙蝠啊！
186,累死我了，快點回去吧……
187,啊，不要去農場那邊！
188,我、我的渡渡鳥啊……
189,一、一定要幹掉這些傢伙啊！
190,又、又遲到了！
191,怎麼還沒來……
192,呼……呼
193,我今天一定要向她求婚！
194,我、我來遲了，抱歉！
195,太慢了！你遲到了哦。
196,好了，約在這裡到底是有什麼話要說？
197,其、其實……
198,嗯？
199,請、請、請和我結……
200,呀！好大的風！
201,那、那個大傢伙是什麼啊？
202,哇啊！
203,唉，真是沒用！
204,能把那傢伙給趕走嗎？
205,我要回去了……
206,等、等一下啊！
207,你真是太沒出息了！
208,不要說那麼過分嘛……
209,人家不管了！
210,為、為什麼會變成這樣……
211,嗯？好像有點不對勁。
212,喲，今天又有生意了！
213,呀！誰來救救我！
214,可惡，只能上了！
215,大家一起上啊！
216,唉，又在拒捕。
217,這傢伙，給我老實點！
218,我讓你老實點！
219,還不束手就擒嗎，這混蛋！
220,吵死了，給我讓開！
221,你們有證據嗎？
222,我說了我不清楚啊！
223,給我適可而止，你這混帳東西！
224,前輩，拜託您了！
225,怎麼，你們想動手嗎？
226,終於老實了啊……
227,可、可惡……
228,這下我們能好好談談了吧。
229,混蛋！放開我！
230,給我閉嘴！
231,可惡！可惡啊！
232,居然讓他們跑了……
233,嘿嘿，想抓我們你們還早著呢！
234,可惡……讓他們溜了！
235,再見啦！
236,是你把我的酒喝了吧？
237,什麼？想幹架嗎？
238,開什麼玩笑啊，混蛋！
239,你在衝誰嚷嚷？
