key,1,2
#,,
offset,0,4
int32,str,str
0,無効,無効
100,冒險,信步而行 信馬由韁 長風破浪
101,,天空海闊 無邊無涯 氣象一新
102,,探索筆記 追憶之地 感今懷昔
103,,天高氣爽 晴空萬里 風和日麗
104,,市井尋蹤 人潮洶湧 天賜良機
105,,飲茶小憩 邂逅之人 或為助力
106,,多多結交 體格健壯 高大之士
200,關係,英雄般的成就獲取的榮耀與信賴將會為你帶來答案
201,,永結同心的誓言將會為你帶來好運
202,,旅途中常有好友相助 切莫忘記時刻心懷感激
203,,星星將指引你與命中注定的人相遇
204,,和夥伴們並肩同行吧 好運將常伴你的身邊
205,,友情永不退色 勇敢地去探索未知之地吧
206,,不計種族交朋友 真心必有金曦照
300,財產,清心寡慾 好運伴你 快把戰利品帶回家吧！
301,,發財致富 現在就去金碟遊樂場吧！
302,,好運當頭 機不可失 快去開個寶箱吧！
303,,心隨意動 想開門便開門！ 想稱霸就稱霸！
304,,大好商機 你的生意即將大賺一筆！
305,,地久天長 友誼帶來好運無限！
306,,主從同心 僱員冒險帶來稀世珍寶！
400,戰鬥,去戰鬥吧！每個強敵都將成為你登上高峰的墊腳石
401,,去鍛鍊吧！練習技術將帶你找到通往勝利的真理
402,,去交友吧！戰友或將是你成長的契機
403,,去學習吧！學習新的職業新的技術將帶給你質的飛躍
404,,去鍛鍊吧！練習循環將帶你找到通往勝利的真理
405,,
406,,
500,運勢,戰爭神般的求勝之心將引你獲得無數的勝利
501,,月亮神般的慈愛之心將引你獲得眾人的喜愛
502,,太陽神般的熱情之心將引你尋得通往目標的捷徑
503,,海洋神般的決斷之心將引你乘風破浪取得飛躍
504,,放浪神般的好奇之心將引你在旅途中獲得無數愉快的邂逅
1100,冒險,宜獨行 浪跡天涯 踏遍天下 獨享寧靜
1101,,宜回憶 追憶往昔 昨日重現 常看常新
1102,,宜節慶 冬去春來 萬家歡喜 普天同慶
1103,,宜群集 大街小巷 人聲鼎沸 邂逅相逢
1104,,宜遠行 勇者不懼 一往無前 功成名立
1105,,宜妝點 身份銘牌 修飾妥當 會有相遇
1106,,宜出行 萬丈豪光 照射之地 冒險之旅
1200,關係,你應當做好心理準備迎接一場不期而遇
1201,,重視你的每一次邂逅 緣分就在不經意之間
1202,,帶頭尋找夥伴吧 你的良緣就在其中
1203,,有好友相助 滴水之恩也值得你湧泉相報
1204,,驟然的相遇或許沒有結果 但時間將為你帶來答案
1205,,星歌孕育真心喜愛 去幻想的盡頭尋找吧
1206,,機會去而復返 又該攜手開闢遠星天際啦
1300,財產,靜待良機 遊樂場裡將有大賺頭！
1301,,乘風破浪 海釣將有大豐收！
1302,,安家置業 造房子將帶來好運！
1303,,放手一搏 舊的不去新的不來！
1304,,積少成多 賺大錢先要攢小錢！
1305,,披星戴月 千里商途走得遠賺得多！
1306,,日久情篤 老主顧多光臨穩賺不賠！
1400,戰鬥,跨過障礙吧！和夥伴們攜手熱戰一場
1401,,維持現狀吧！靜心努力打下紮實的基礎
1402,,馳騁牌桌吧！運籌帷幄成為偉大的謀士
1403,,追捕魔物吧！踏遍各地追捕邪惡魔物將為你帶來好運
1404,,維持現狀吧！靜心努力打下紮實的基礎
1405,,
1406,,
1500,運勢,你如行星神般的智慧之力將引你跨越難關轉危為安
1501,,你如破壞神般的勇氣之力將引你打倒勁敵日益強大
1502,,你如工匠神般的想像之力將引你在工匠之路上步步成長
1503,,你如商貿神般的敏銳眼力將引你發現商機賺得財富
1504,,你如地母神般的包容之力將引你締結嶄新的關係
2100,冒險,堅忍不拔 自信自勵 前路為開
