key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,雪風,金碟遊樂場交換
2,水車低鳴,格里達尼亞出售
3,偉大的母港,利姆薩·羅敏薩出售
4,希望之都,烏爾達哈出售
5,監牢,伊修加德出售
6,沙之家,薩納蘭出售
7,曼德維爾金碟遊樂場,金碟遊樂場交換
8,陸行鳥競賽,金碟遊樂場交換
9,再來一杯！,"道具製作
主要素材：摩杜納等地交換"
10,華彩的山麓,"道具製作
主要素材：龍堡參天高地的惡名菁英處獲得"
11,雲中匿影,"道具製作
主要素材：阿巴拉提亞雲海的惡名菁英處獲得"
12,水晶序曲　～冒險的序章～,成就「旋律的沉醉者1」報酬
13,非著名調查員,金碟遊樂場交換
14,唯一的行路,"道具製作
主要素材：尋寶獲得"
15,走向世界,"道具製作
主要素材：飛空艇探索獲得"
16,啪啪呀,季節活動報酬
17,堅毅,伊修加德交換
18,以血洗血,"道具製作
主要素材：狼獄水上競技場交換"
19,餓狼群集,"道具製作
主要素材：狼獄水上競技場交換"
20,激潮,"道具製作
主要素材：「逆轉要害沙斯塔夏溶洞」獲得"
21,漆黑的誓言,"道具製作
主要素材：「地下靈殿塔姆·塔拉墓園」或「慘劇靈殿塔姆·塔拉墓園」獲得"
22,黑暗的擁抱,"道具製作
主要素材：「騷亂坑道銅鈴銅山」獲得"
23,風暴中的燈火,"道具製作
主要素材：「領航明燈天狼星燈塔」獲得"
24,異想天開,"道具製作
主要素材：「血戰蒼穹魔科學研究所」獲得"
25,上下易位,"道具製作
主要素材：「星海空間顛倒塔」獲得"
26,魔大戰的傷痕,"道具製作
主要素材：「腐壞遺跡無限城市街古蹟」獲得"
27,天降之力,金碟遊樂場交換
28,究極神兵,成就「旋律的沉醉者2」報酬
29,諸神已死,"道具製作
主要素材：重生篇主線劇情相關的高難度討伐戰「？？？？假想作戰」獲得
（以最低品級參加時獲得機率上升）"
30,原始的審判,"道具製作
主要素材：「伊弗利特殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
31,墮天使,"道具製作
主要素材：「迦樓羅殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
32,重壓滅頂,"道具製作
主要素材：「泰坦殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
33,英傑,"道具製作
主要素材：蒼穹篇主線劇情相關的高難度討伐戰「？？？？幻想殲滅戰」獲得
（以最低品級參加時獲得機率上升）"
34,魔神,"道具製作
主要素材：「薩菲洛特殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
35,傲慢,"道具製作
主要素材：「水晶塔 古代人迷宮」獲得"
36,一落千丈,"道具製作
主要素材：「水晶塔 古代人迷宮」獲得"
37,多加與烏內之心,"道具製作
主要素材：「水晶塔 希爾科斯塔」獲得"
38,絢爛,"道具製作
主要素材：「水晶塔 希爾科斯塔」獲得"
39,暗淡,"道具製作
主要素材：「水晶塔 暗之世界」獲得"
40,最後的死鬥　～重生～,"道具製作
主要素材：「水晶塔 暗之世界」獲得"
41,悠久之風　～重生～,"道具製作
主要素材：「水晶塔 古代人迷宮」、
「水晶塔 希爾科斯塔」、「水晶塔 暗之世界」獲得"
42,雷鳴,"道具製作
主要素材：「巴哈姆特大迷宮 邂逅之章5」獲得
（以最低品級參加時獲得機率上升）"
43,白銀凶鳥展翅翱翔,"道具製作
主要素材：「巴哈姆特大迷宮 入侵之章4」獲得
（以最低品級參加時獲得機率上升）"
44,死灰復燃,"道具製作
主要素材：「巴哈姆特大迷宮 真源之章3」獲得
（以最低品級參加時獲得機率上升）"
45,Answers　-生死答問-,"道具製作
主要素材：「巴哈姆特大迷宮 邂逅之章5」、
「巴哈姆特大迷宮 入侵之章4」、「巴哈姆特大迷宮 真源之章4」獲得
（以最低品級參加時獲得機率上升）"
46,戰鬥,田園郡等地交換
47,揮汗如雨,伊修加德交換
48,女王的美夢,烏爾達哈出售
49,水手不眠,利姆薩·羅敏薩出售
50,螢火之舞,格里達尼亞出售
51,位高責重,伊修加德出售
52,瑪托雅的洞穴　～蒼穹～,瑪托雅的洞穴出售
53,歇宿,尾羽集落出售
54,迎風,"道具製作
主要素材：庫爾札斯西部高地的惡名菁英處獲得"
55,人王,"道具製作
主要素材：翻雲霧海的惡名菁英處獲得"
56,缺失的書頁,"道具製作
主要素材：龍堡內陸低地的惡名菁英處獲得"
57,灼熱之地,烏爾達哈出售
58,乘上西風,利姆薩·羅敏薩出售
59,沉靜,格里達尼亞出售
60,紅蓮節,季節活動報酬
61,Heavensward　-飛向蒼穹-,季節活動報酬
62,密道,「凜冽洞天披雪大冰壁」獲得
63,凶兆,田園郡等地交換
64,萬世箴言,「學識寶庫迦巴勒幻想圖書館」獲得
65,堅不可摧,「博物戰艦無限迴廊」獲得
66,謝罪之詩,「天龍宮殿憶罪宮」獲得
67,越過地平線,「財寶傳說破艦島」獲得
68,水手遇難,"道具製作
主要素材：「利維亞桑殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
69,混沌的漩渦,"道具製作
主要素材：「利維亞桑殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
70,賢王莫古爾·莫古十二世,"道具製作
主要素材：「莫古力賢王殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
71,絕命怒嚎,"道具製作
主要素材：蒼穹篇主線劇情相關的高難度討伐戰「？？？？傳奇征龍戰」獲得
（以最低品級參加時獲得機率上升）"
72,大橋上的死鬥　～重生～,"道具製作
主要素材：「大橋上的決鬥」或「無限城的死鬥」獲得"
73,死鬥　～蒼穹～,金碟遊樂場交換
74,蒼翼,"道具製作
主要素材：飛空艇探索獲得"
75,艾歐澤亞的守護者,成就「旋律的沉醉者3」報酬
76,拉諾西亞的疾風,尋寶獲得
77,大地低語,尋寶獲得
78,薩納蘭的黃昏,尋寶獲得
79,Dragonsong　-千年龍詩-,主線任務報酬
80,守護天節,季節活動報酬
81,徹夜狂歡,季節活動報酬
82,星芒節,季節活動報酬
83,降神節,季節活動報酬
84,第七星曆,成就「旋律的沉醉者5」報酬
85,熏灰,灰陣營交換
86,豁達的家,西風島交換
87,貴族沉眠,伊修加德出售
88,夜霧繚繞,伊修加德出售
89,安樂小屋,艾歐澤亞三國出售
90,倒影,摩杜納等地交換
91,天上世界,"道具製作
主要素材：阿巴拉提亞雲海的惡名菁英處獲得"
92,庫爾札斯的寂靜,尋寶獲得
93,心靈的歸處,住宅區出售
94,家園,田園郡出售
95,災厄蔓延,尋寶獲得
96,戰鬥1.X,金碟遊樂場交換
97,漆黑的艾達,「死者宮殿」中埋藏的寶藏獲得
98,幽幻夜霧,"石場水車交換
（突破死者宮殿地下150層後解放）"
99,瀆神魔王,"石場水車交換
（突破死者宮殿地下100層後解放）"
100,死亡報告,"石場水車交換
（突破死者宮殿地下200層後解放）"
101,永眠,「天山絕頂索姆阿爾靈峰」獲得
102,銀淚,「幻龍殘骸密約之塔」獲得
103,地殼,任務報酬
104,雪上的足跡,"道具製作
主要素材：「希瓦殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
105,忘卻的彼岸,"道具製作
主要素材：「希瓦殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
106,電閃雷鳴,"道具製作
主要素材：「拉姆殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
107,平衡,"道具製作
主要素材：「索菲婭殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
108,父子之罪,任務報酬
109,軌跡,任務報酬
110,金屬,任務報酬
111,金屬 - 正義無情,任務報酬
112,指數崩壞,任務報酬
113,起義,任務報酬
114,無邊無際（身心二元）,通過道具碼獲得
115,不屈之刃（身心二元）,通過道具碼獲得
116,純愛之吻,季節活動報酬
117,小小搗蛋鬼,妖精暫留地交換
118,離群一族,自由腦窟穴交換
119,邊境,摩杜納等地交換
120,一瞬的光彩,跨天橋出售
121,海風飄香,小麥酒港出售
122,厚於利刃,忘憂騎士亭交換
123,寶石,蒼天街交換或雲冠群島上鎖的寶箱中獲得
124,向勝利衝鋒,任務報酬
125,帝國的意志,任務報酬
126,鋼鐵理念,任務報酬
127,祈禱之歌,住宅區出售
128,永遠的離別,任務報酬
129,超越極限,尋寶獲得
130,聖座,「聖教中樞伊修加德教皇廳」獲得
131,塵沙,任務報酬
132,另一塊磚,任務報酬
133,斬,"道具製作
主要素材：「奧丁殲滅戰」獲得
（以最低品級參加時獲得機率上升）"
134,無盡蒼空,"道具製作
主要素材：「俾斯麥殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
135,災厄狂起,"道具製作
主要素材：「俾斯麥殲殛戰」獲得
（以最低品級參加時獲得機率上升）"
