key,1
#,Expac
offset,0
int32,str
0,
1,蒼穹之禁城
2,紅蓮之狂潮
3,暗影之逆焰
4,大型任務
5,團隊任務
6,討伐殲滅戰
7,非著名調查員
8,聖恩達利姆神學院記
9,主線任務外傳
10,刻木匠
11,鍛鐵匠
12,鑄甲匠
13,雕金匠
14,製革匠
15,裁衣匠
16,煉金術士
17,烹調師
18,採礦工
19,園藝工
20,捕魚人
21,劍術師 騎士
22,斧術師 戰士
23,幻術師 白魔法師
24,秘術師 召喚師
25,格鬥家 武僧
26,槍術師 龍騎士
27,雙劍師 忍者
28,弓箭手 吟遊詩人
29,咒術師 黑魔法師
30,重生之境
31,暗黑騎士
32,絕槍戰士
33,學者
34,占星術士
35,武士
36,機工士
37,舞者
38,
39,赤魔法師
40,青魔法師
41,防護職業
42,治療職業
43,進攻職業
44,職能劇情任務
45,虛無界再生計劃
46,曉月之終途
47,賢者
48,釤鐮客
49,多變迷宮
50,第七靈災回憶錄
51,塔塔露的大繁榮商店
52,金曦之遺輝
53,蝰蛇劍士
54,繪靈法師
55,職能任務序章
56,製作任務
57,採集任務
58,製作採集任務序章
59,製作採集劇情任務
