key,7,8,9,10
#,Objective,,,
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者調查雲冠群島的資源情況。<hex:02100103>請你們盡情採集，報告成果。,當然我們也準備了與你們勞動相當的報酬。<hex:02100103>那麼，祝你們好運！
11,,這裡是艾因哈特管制台……<hex:02100103>已確認完成資源調查任務第一階段。,看來你們取得了相當令我們感興趣的結果。<hex:02100103>那麼，請繼續調查活動。,
12,,這裡是艾因哈特管制台……<hex:02100103>已確認完成資源調查任務第二階段。,資源調查任務還差一點就完成了，請再加把勁。,
13,收集過屬性火之水晶,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
14,收集過屬性水之水晶,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
15,收集過屬性土之水晶,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
16,收集過屬性冰之水晶,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
17,收集過屬性風之水晶,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
18,收集過屬性雷之水晶,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
19,收集過屬性火之水晶,這裡是艾因哈特管制台……<hex:02100103>已確認完成探索任務第一階段。,接下來請各位前往下一地點收集過屬性水晶。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
20,收集過屬性水之水晶,這裡是艾因哈特管制台……<hex:02100103>已確認完成探索任務第一階段。,接下來請各位前往下一地點收集過屬性水晶。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
21,收集過屬性土之水晶,這裡是艾因哈特管制台……<hex:02100103>已確認完成探索任務第一階段。,接下來請各位前往下一地點收集過屬性水晶。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
22,收集過屬性冰之水晶,這裡是艾因哈特管制台……<hex:02100103>已確認完成探索任務第一階段。,接下來請各位前往下一地點收集過屬性水晶。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
23,收集過屬性風之水晶,這裡是艾因哈特管制台……<hex:02100103>已確認完成探索任務第一階段。,接下來請各位前往下一地點收集過屬性水晶。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
24,收集過屬性雷之水晶,這裡是艾因哈特管制台……<hex:02100103>已確認完成探索任務第一階段。,接下來請各位前往下一地點收集過屬性水晶。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
25,將收集品交給恩惠號的艾因哈特家的飛行員,這裡是艾因哈特管制台……<hex:02100103>已確認完成探索任務第二階段。,最後，請將收集到的物品交給恩惠號附近的艾因哈特家的飛行員。,感謝各位的幫助。<hex:02100103>報酬可以在恩惠號附近領取！
26,使用誘引香陷阱引來銀殼蟹並將其打倒<hex:02100103>獲取雲海物種的器官標本,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者採集博物學研究要用的標本，<hex:02100103>請使用誘引香陷阱引來指定對象並迅速將其打倒。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
27,使用誘引香陷阱引來天蟾蜍並將其打倒<hex:02100103>獲取雲海物種的器官標本,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者採集博物學研究要用的標本，<hex:02100103>請使用誘引香陷阱引來指定對象並迅速將其打倒。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
28,使用誘引香陷阱引來珠蜂水母並將其打倒<hex:02100103>獲取雲海物種的器官標本,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者採集博物學研究要用的標本，<hex:02100103>請使用誘引香陷阱引來指定對象並迅速將其打倒。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
29,使用誘引香陷阱引來彩虹冠恐鳥並打倒<hex:02100103>獲取雲海物種的器官標本,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者採集博物學研究要用的標本，<hex:02100103>請使用誘引香陷阱引來指定對象並迅速將其打倒。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
30,使用誘引香陷阱引來魯南緹希並將其打倒<hex:02100103>獲取雲海物種的器官標本,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者採集博物學研究要用的標本，<hex:02100103>請使用誘引香陷阱引來指定對象並迅速將其打倒。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
31,使用誘引香陷阱引來蟻鷹蜂並將其打倒<hex:02100103>獲取雲海物種的器官標本,這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！,我想委託各位冒險者採集博物學研究要用的標本，<hex:02100103>請使用誘引香陷阱引來指定對象並迅速將其打倒。,另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。
