key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,石化,手足被石化，無法做出任何行動
2,眩暈,無法做出任何行動
3,睡眠,陷入沉睡，無法做出任何行動
4,昏厥,失去知覺，無法做出任何行動
5,能力封印,無法使用能力
6,戰技封印,無法發動戰技
7,沉默,無法詠唱魔法
8,加速,自動攻擊間隔縮短，同時戰技與魔法的詠唱及複唱時間也會縮短
9,減速,自動攻擊間隔延長，同時戰技與魔法的詠唱及複唱時間也會延長
10,拘束裝置：減速,受到拘束裝置的影響，自動攻擊間隔延長，同時戰技與魔法的詠唱及複唱時間也會延長
11,混亂,頭腦變得混亂，會向同伴發動攻擊
12,浮空,突破了重力的束縛，漂浮到了空中
13,止步,無法自由移動
14,加重,移動速度降低
15,失明,陷於黑暗之中，命中率降低
16,,
17,麻痺,身體部分機能出現異常，偶爾會無法行動
18,中毒,毒素會導致體力逐漸減少
19,猛毒,毒素會導致體力逐漸減少
20,技力流失,技力不斷減少
21,體力增加,體力最大值提高
22,體力衰減,體力最大值降低
23,魔力增加,魔力最大值提高
24,魔力衰減,魔力最大值降低
25,物理攻擊力提升,物理攻擊力增強
26,物理攻擊力降低,物理攻擊力減弱
27,命中率提升,命中率增強
28,命中率降低,命中率減弱
29,物理防禦力提升,物理防禦力增強
30,物理防禦力降低,物理防禦力減弱
31,迴避力提升,迴避力增強
32,迴避力降低,迴避力減弱
33,魔法攻擊力提升,魔法攻擊力增強
34,魔法攻擊力降低,魔法攻擊力減弱
35,魔法治療力提升,魔法治療力增強
36,魔法治療力降低,魔法治療力減弱
37,魔法防禦力提升,魔法防禦力增強
38,魔法防禦力降低,魔法防禦力減弱
39,眩暈無效,附帶眩暈效果的技能無法生效
40,沉默無效,附帶沉默效果的技能無法生效
41,製作設備,藉助製作設備進行作業，90級及以下的能工巧匠會提升最大製作力
42,超越之力,突破自身極限，最大體力增加，同時攻擊造成的傷害及治療魔法的治療量也會增加
43,衰弱,身體很虛弱，力量、靈巧、智力、精神均降低25%
44,瀕死,身體很虛弱，力量、靈巧、智力、精神均降低50%
45,巧手之工,能工巧匠獲得的經驗值增加
46,大地之恩,大地使者獲得的經驗值增加
47,隱行,輕聲行動，不容易被敵人發現<hex:02100103>不會被最多高於自身等級4級的敵人襲擊
48,進食,受到進食的效果影響
49,強化藥,受到強化藥的效果影響
50,衝刺,移動速度提高
51,力量降低,力量值降低
52,耐力降低,耐力值降低
53,物理傷害提高,物理攻擊所造成的傷害提高
54,物理傷害降低,物理攻擊所造成的傷害降低
55,物理受傷減輕,受到物理攻擊的傷害減少
56,物理受傷加重,受到物理攻擊的傷害增加
57,魔法傷害提高,魔法攻擊所造成的傷害提高
58,魔法傷害降低,魔法攻擊所造成的傷害降低
59,魔法受傷減輕,受到魔法攻擊的傷害減少
60,魔法受傷加重,受到魔法攻擊的傷害增加
61,傷害提高,攻擊所造成的傷害提高
62,傷害降低,攻擊所造成的傷害降低
63,受傷減輕,受到攻擊的傷害減少
64,受傷加重,受到攻擊的傷害增加
65,戰技暴擊化,發動戰技時必定打出暴擊
66,恐怖,過於恐懼而無法做出任何行動
67,沉重,移動速度降低
68,吸血攻擊,自動攻擊附加吸收體力的效果
69,取技攻擊,自動攻擊附加吸收技力的效果
70,眩暈攻擊,自動攻擊有一定機率附加眩暈效果
71,鐵壁,減輕所受到的傷害
72,漸愈,自身所受的治療魔法效果提高
73,警覺,不會受到暴擊
74,預警,減輕所受到的傷害
75,鋼鐵意志,除特定攻擊之外其他所有擊退與吸引無效
76,戰逃反應,攻擊所造成的傷害提高
77,壁壘,受到攻擊時必定發動格擋
78,忠義之劍,對自動攻擊附加追加傷害
79,鋼鐵信念,自身仇恨提高
80,保護,正在保護特定的隊員
81,被保護,正處於特定隊員的保護下
82,神聖領域,除特定攻擊之外其他所有攻擊均無效化
83,預見,物理防禦力增強
84,浴血,物理攻擊附帶吸收體力的效果
85,兇殘裂,攻擊所造成的傷害提高
86,狂暴,自身發動戰技必定暴擊並且直擊<hex:02100103>受暴擊或直擊發動率提高效果影響時，攻擊造成的傷害提高
87,戰慄,體力最大值提高<hex:02100103>習得戰慄效果提高後追加效果：自身所受的治療效果提高
88,死鬥,無法自由移動，受到傷害也不會解除
89,復仇,受到攻擊的傷害減少並且受到物理攻擊時會發動反擊
90,暴風碎,攻擊所造成的傷害提高
91,守護,自身仇恨提高
92,解脫,抵消守護狀態中降低攻擊力的負面效果
93,憤怒,招架發動率提高
94,憤怒II,招架發動率提高
95,憤怒III,招架發動率提高
96,憤怒IV,招架發動率提高
97,憤怒V,招架發動率提高
98,雙龍腳,打擊耐性降低
99,飄羽步,迴避率提高
100,發勁,暴擊發動率提高
101,雙掌打,攻擊所造成的傷害提高
102,真言,自身所受的治療效果提高
103,紅蓮體勢,攻擊所造成的傷害提高
104,金剛體勢,減輕所受到的傷害
105,疾風體勢,移動速度提高
106,秘孔拳,體力逐漸減少
107,魔猿身形,擺出魔猿身形
108,盜龍身形,擺出盜龍身形
