key,0,1
#,Destination,Location
offset,0,4
int32,str,str
0,,
1,A　潔白淺灘,A
2,B　溺沒海1,B
3,C　溺沒海2,C
4,D　無光海盆,D
5,E　溺沒海3,E
6,F　利米拉拉海溝南端,F
7,G　傘峽,G
8,H　俘虜島,H
9,I　石人島,I
10,J　無名沉船,J
11,K　湛藍淺灘 ,K
12,L　神秘海盆 ,L
13,M　溺沒海4,M
14,N　利米拉拉海溝中部,N
15,O　探索號殘骸,O
16,P　樹叢島,P
17,Q　金山島,Q
18,R　海軍的秘密港口,R
19,S　溺沒海5,S
20,T　煉獄島,T
21,U　溺沒海6,U
22,V　利米拉拉海溝大傾斜,V
23,W　溺沒海7,W
24,X　輝砂海盆,X
25,Y　殘照白谷,Y
26,Z　前進號的殘骸,Z
27,AA　變理海域,AA
28,AB　利米拉拉海溝最深部,AB
29,AC　石造寺院遺跡,AC
30,AD　古代寶物庫,AD
31,,
32,A　佐佐納恩島南端,A
33,B　風行者的殘骸,B
34,C　佐佐納恩島北端,C
35,D　灰海1,D
36,E　火葬爐海溝南端,E
37,F　灰海2,F
38,G　灰海3,G
39,H　修道士墓碑,H
40,I　火葬爐海溝中部,I
41,J　神父的岩窟,J
42,K　灰海4,K
43,L　沙礫海盆,L
44,M　單只手套島,M
45,N　破洞襪子島,N
46,O　走私客的交易場,O
47,P　磨破袍子島,P
48,Q　商貿神的煙管,Q
49,R　走錨海域,R
50,S　貪婪胃,S
51,T　藍洞,T
52,,
53,A　祭壇島,A
54,B　章魚的陶罐,B
55,C　翠浪海1,C
56,D　惡魔章魚的狩獵場,D
57,E　吸盤礁,E
58,F　惡魔章魚的睡床,F
59,G　海神的釣鉤,G
60,H　翠浪海2,H
61,I　盲目峽灣,I
62,J　翠浪海3,J
63,K　穆厄吉恩的鍛鐵場,K
64,L　海神的浮標,L
65,M　翠浪海4,M
66,N　海藻樹林,N
67,O　翠浪海5,O
68,P　鈍刀切岸,P
69,Q　駐風港,Q
70,R　龍骨塚,R
71,S　翠浪海6,S
72,T　海獸的靈園,T
73,,
74,A　耳蠟漁場,A
75,B　妖歌海1,B
76,C　妖歌海2,C
77,D　花叢島,D
78,E　海魔之口,E
79,F　漂流海域,F
80,G　告死礁,G
81,H　妖歌海3,H
82,I　花叢潛流,I
83,J　妖歌海4,J
84,K　渦紋海峽,K
85,L　鳥嘴灣,L
86,M　海魔牢獄,M
87,N　廢棄流放島,N
88,O　盧加特海灘,O
89,P　積冰泉,P
90,Q　妖歌海5,Q
91,R　渦紋島,R
92,S　赤血海丘,S
93,T　海晶泉,T
94,,
95,A　垂藤架,A
96,B　白化珊瑚島,B
97,C　候鳥的淺灘,C
98,D　紫礁海1,D
99,E　海鷗島,E
100,F　桔梗海溝中央,F
101,G　紫礁海2,G
102,H　紫礁海3,H
103,I　桔梗海溝西北,I
104,J　花冠島,J
105,K　桔梗海溝東南,K
106,L　盛放礁湖,L
107,M　翼瓣島,M
108,N　旗瓣島,N
109,O　蝴蝶圓灣,O
110,P　紫礁海4,P
111,Q　龍骨瓣島,Q
112,R　多迪海底峽谷東,R
113,S　紫礁海5,S
114,T　多迪海底峽谷西,T
115,,
116,A　蒼茫淺灘,A
117,B　探險家的中繼基地,B
118,C　紺色海底陸架北,C
119,D　起雨海底谷,D
120,E　南蒼茫洋1,E
121,F　碧藍海心,F
122,G　南蒼茫洋2,G
123,H　鉤爪島,H
124,I　碧藍海心南,I
125,J　南蒼茫洋3,J
126,K　鉤爪島近海,K
127,L　碧眼島,L
128,M　星痕水道淺部,M
129,N　月缺島,N
130,O　綠寶石淵,O
131,P　南蒼茫洋4,P
132,Q　紺色海底陸架南,Q
133,R　星痕水道中部,R
134,S　起風海底谷,S
135,T　星痕水道深部,T
136,,
137,A　黑血域東,A
138,B　海狼港,B
139,C　手斧島南端,C
140,D　眼湖,D
141,E　手斧島東北,E
142,F　歡慶海岸,F
143,G　尖牙角遠岸,G
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
