key,5,6,7,8,9
#,Command,ShortCommand,Description,Alias,ShortAlias
offset,12,16,0,4,8
int32,str,str,str,str,str
0,,,,,
1,/record,,/任務回顧<hex:02100103>/replay、/record<hex:02100103>打開任務回顧窗口。,/任務回顧,/replay
2,/recordready,,/記錄準備確認 子命令<hex:02100103>/replayready、/recordready<hex:02100103>發起記錄準備確認。<hex:02100103>>>子命令<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>秒數(5-30)<hex:0249020103><hex:0248020103><hex:02100103>發起記錄準備確認，全員通過後開啟戰鬥開始倒數計時。記錄準備確認完畢後再次使用時功能將變為普通的準備確認加戰鬥開始倒數計時。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>無子命令<hex:0249020103><hex:0248020103><hex:02100103>打開記錄準備確認窗口。,/記錄準備確認,/replayready
3,/pvpteamcmd,,/戰隊命令<hex:02100103>/pvpteamcmd<hex:02100103>打開戰隊窗口。,/戰隊命令,
4,/saddlebag,,/陸行鳥鞍囊<hex:02100103>/chocobobag、/saddlebag<hex:02100103>打開陸行鳥鞍囊。,/陸行鳥鞍囊,/chocobobag
5,/magiaright,,/魔素板順時旋轉<hex:02100103>/magiaright<hex:02100103>順時針轉動魔素板。,/魔素板順時旋轉,/magiaright
6,/magialeft,,/魔素板逆時旋轉<hex:02100103>/magialeft<hex:02100103>逆時針轉動魔素板。,/魔素板逆時旋轉,/magialeft
7,/cwlinkshellcmd,/cwlcmd,/跨服貝命令(/跨服貝)<hex:02100103>/cwlinkshellcmd、/cwlcmd<hex:02100103>打開跨服通訊貝窗口。,/跨服貝命令,/跨服貝
