key,8
#,
offset,0
int32,str
0,
1,円形白無地フィールド
2,円形白タイルフィールド
3,円形グレー無地フィールド
4,圓形格子底
5,四角形白無地フィールド
6,四角形白タイルフィールド
7,四角形グレー無地フィールド
8,正方形格子底
9,圓形範圍攻擊
10,扇形範圍攻擊
11,直線範圍攻擊
12,線
13,視線攻擊
14,分攤傷害攻擊
15,分攤傷害攻擊：直線型
16,距離衰減攻擊
17,環形範圍攻擊
18,劍術師
19,格鬥家
20,斧術師
21,槍術師
22,弓箭手
23,幻術師
24,咒術師
25,秘術師
26,雙劍師
27,騎士
28,武僧
29,戰士
30,龍騎士
31,吟遊詩人
32,白魔法師
33,黑魔法師
34,召喚師
35,學者
36,忍者
37,機工士
38,暗黑騎士
39,占星術士
40,武士
41,赤魔法師
42,青魔法師
43,絕槍戰士
44,舞者
45,釤鐮客
46,賢者
47,防護職業
48,防護職業1
49,防護職業2
50,治療職業
51,治療職業1
52,治療職業2
53,進攻職業
54,進攻職業1
55,進攻職業2
56,進攻職業3
57,進攻職業4
58,DPS5
59,DPS6
60,小型敵人
61,エネミー小2
62,中型敵人
63,エネミー中2
64,大型敵人
65,攻擊1
66,攻擊2
67,攻擊3
68,攻擊4
69,攻擊5
70,止步1
71,止步2
72,止步3
73,禁止1
74,禁止2
75,方塊
76,圓圈
77,十字
78,三角
79,場景標記A
80,場景標記B
81,場景標記C
82,場景標記D
83,場景標記1
84,場景標記2
85,場景標記3
86,場景標記4
87,圓圈
88,叉
89,三角
90,方塊
91,未使用
92,未使用
93,未使用
94,箭頭
95,未使用
96,未使用
97,未使用
98,未使用
99,未使用
100,文字
101,蝰蛇劍士
102,繪靈法師
103,旋轉
104,図形：矢印右回り
105,分組
106,分攤傷害攻擊：連續型
107,距離衰減攻擊：特定對象型
108,強攻擊
109,擊退攻擊：放射型
110,擊退攻擊：直線型
111,踩塔機制
112,針對目標的預兆
113,強化狀態
114,弱化狀態
115,攻擊6
116,攻擊7
117,攻擊8
118,近戰職業
119,遠程職業
120,遠程物理職業
121,遠程魔法職業
122,純粹治療職業
123,護罩治療職業
124,圓形灰底
125,正方形灰底
126,圓形範圍攻擊：移動型
127,1人用區域
128,2人用區域
129,3人用區域
130,4人用區域
131,瞄準標記（紅色）
132,瞄準標記（藍色）
133,瞄準標記（紫色）
134,瞄準標記（綠色）
135,高光圓圈
136,高光叉
137,高光方塊
138,高光三角
139,順時針旋轉
140,逆時針旋轉
