key,1,2
#,,
offset,0,4
int32,str,str
0,,
1,月門基地的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地正在進行第一次基地擴建工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
2,月門基地的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地正在開展第一次宇宙飛線鋪設工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
3,月門基地東南方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地東南方正在開展居住艙安裝工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
4,月門基地西北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西北方正在開展第一次宇宙港建設工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
5,月門基地東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地東北方正在開展第一次機甲庫擴建工程！<hex:02100103>工程急需人手！歡迎各位協助者加入！
6,憧憬灣西北方的建設工程即將完工。<hex:02100103>屆時工程對應的施工區域將禁止人員進入，敬請注意。,
7,憧憬灣東南方的建設工程即將完工。<hex:02100103>屆時工程對應的施工區域將禁止人員進入，敬請注意。,
8,憧憬灣南部的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣南部正在進行第一次隧道工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
9,憧憬灣南部的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣南部正在進行第二次隧道工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
10,憧憬灣西南方隧道深處的建設工程即將完工。<hex:02100103>屆時工程對應的施工區域將禁止人員進入，敬請注意。,
11,月門基地的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地正在進行第二次基地擴建工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
12,月門基地西南方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西南方正在開展能源設施擴建工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
13,月門基地西部的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西部正在開展供水設施擴建工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
14,月門基地東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地東北方正在開展第二次機甲庫擴建工程！<hex:02100103>工程急需人手！歡迎各位協助者加入！
15,月門基地西北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西北方正在開展第二次宇宙港建設工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
16,憧憬灣東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣東北方正在進行第一次升降梯建設用地整備工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
17,憧憬灣東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣東北方正在進行第二次升降梯建設用地整備工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
18,憧憬灣東北方地底深處的建設工程即將完工。<hex:02100103>屆時工程對應的施工區域將禁止人員進入，敬請注意。,
19,月門基地的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地正在進行基地綜合設施擴建工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
