key,10,11
#,Name,Question
offset,0,4
int32,str,str
131072,,
131073,,
131074,,要進入神勇隊司令室嗎？
131075,,要離開神勇隊司令室嗎？
131076,,要離開芙蓉圓桌嗎？
131077,前往花蜜棧橋,要乘船前往花蜜棧橋嗎？
131078,,要乘船前往格里達尼亞舊街嗎？
131079,,
131080,,
131081,,
131082,,要離開嗎？
131083,,要離開嗎？
131084,,要離開嗎？
131085,,要離開銀胄團總長室嗎？
131086,,要乘船前往月牙灣嗎？<hex:02100103>交通費為40金幣。
131087,,要乘船前往白銀集市嗎？<hex:02100103>交通費為40金幣。
131088,,要進入沙之家嗎？
131089,,要離開沙之家嗎？
131090,,要進入拂曉之間嗎？
131091,,要離開拂曉之間嗎？
131092,4層：利姆薩·羅敏薩飛艇坪,要前往4層的利姆薩·羅敏薩飛艇坪嗎？
131093,2層：沉溺海豚亭,要前往2層的沉溺海豚亭嗎？
131094,1層：工事大廳,要前往1層的工事大廳嗎？
131095,4層：烏爾達哈飛艇坪,要前往4層的烏爾達哈飛艇坪嗎？
131096,2層：政府層,要前往2層的政府層嗎？
131097,1層：紅玉大路國際市場,要前往1層的紅玉大路國際市場嗎？
131098,,要進入銀胄團總長室嗎？
131099,,要進入有關區域嗎？
131100,,要從水邊離開嗎？
131101,前往格里達尼亞,要前往格里達尼亞嗎？<hex:02100103>交通費為120金幣。
131102,前往利姆薩·羅敏薩,要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為120金幣。
131103,前往烏爾達哈,要前往烏爾達哈嗎？<hex:02100103>交通費為120金幣。
131104,前往利姆薩·羅敏薩,要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為120金幣。
131105,前往烏爾達哈,要前往烏爾達哈嗎？<hex:02100103>交通費為120金幣。
131106,前往格里達尼亞,要前往格里達尼亞嗎？<hex:02100103>交通費為120金幣。
131107,,要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為80金幣。
131108,,要前往黃昏灣嗎？<hex:02100103>交通費為80金幣。
131109,前往小麥酒港,要前往小麥酒港嗎？<hex:02100103>交通費為40金幣。
131110,前往利姆薩·羅敏薩,要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為40金幣。
131111,前往太陽海岸,要前往太陽海岸嗎？<hex:02100103>交通費為40金幣。
131112,前往利姆薩·羅敏薩,要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為40金幣。
131113,前往吉吉盧恩交易站,要前往吉吉盧恩交易站嗎？<hex:02100103>交通費為40金幣。
131114,前往梅梅盧恩交易站,要前往梅梅盧恩交易站嗎？<hex:02100103>交通費為40金幣。
131115,前往小麥酒港,要前往小麥酒港嗎？<hex:02100103>交通費為40金幣。
131116,前往守炬埠頭,要前往守炬埠頭嗎？<hex:02100103>交通費為40金幣。
131117,從白狼門離開,要走出白狼門嗎？
131118,,要進入格里達尼亞嗎？
131119,前往接雨草樹林,要前往接雨草樹林嗎？<hex:02100103>交通費為40金幣。
131120,前往隱秘瀑布,要前往隱秘瀑布嗎？<hex:02100103>交通費為40金幣。
131121,前往芙蓉圓桌,要前往芙蓉圓桌嗎？
131122,前往提督室,要前往提督室嗎？
131123,,要離開提督室嗎？
131124,,
131125,,
131126,,要前往牛魔里程嗎？
131127,,要前往納爾神祠嗎？
131128,,要返回休息廳嗎？
131129,,要返回休息廳嗎？
131130,,要返回休息廳嗎？
131131,前往狼獄水上競技場,要前往狼獄水上競技場嗎？
131132,前往莫拉比造船廠,要前往莫拉比造船廠嗎？
131133,前往小麥酒港,要前往小麥酒港嗎？
131134,前往幻影群島,要前往幻影群島嗎？<hex:02100103>交通費為40金幣。
131135,前往小麥酒港,要前往小麥酒港嗎？
131136,前往海蛇巢穴,要前往海蛇巢穴嗎？<hex:02100103>交通費為40金幣。
131137,,要離開秘密工房嗎？
131138,,要前往格里達尼亞嗎？
131139,,要退出「巴哈姆特大迷宮邂逅之章」嗎？
131140,,要退出「巴哈姆特大迷宮邂逅之章」嗎？
131141,,要啟動嗎？
131142,,要進入拂曉之間嗎？
131143,,要離開拂曉之間嗎？
131144,,要進入石之家嗎？
131145,,要離開石之家嗎？
131146,,要進入八劍士前庭嗎？
131147,,要離開八劍士前庭嗎？
131148,,要進入這間房屋嗎？
131149,,要離開這間房屋嗎？
131150,,
131151,,
131152,,要離開第13洞穴團煉金工房嗎？
131153,,要返回到諾布養育場嗎？
131154,,要返回到諾布養育場嗎？
131155,,要返回到諾布養育場嗎？
131156,,要返回到諾布養育場嗎？
131157,,要返回到諾布養育場嗎？
131158,前往薰衣草苗圃,
131159,,
131160,前往海霧村,
131161,,
131162,,
131163,,
131164,,要離開艾歐澤亞地下空間嗎？
131165,,要退出「巴哈姆特大迷宮入侵之章」嗎？
131166,,要進入接待室嗎？
131167,,要離開接待室嗎？
131168,,要離開會場嗎？
131169,前往海上的大型船,要前往海上的大型船嗎？
131170,前往太陽海岸,要前往太陽海岸嗎？
131171,,要離開雙劍師公會嗎？
131172,進入雙劍師公會,要進入雙劍師公會嗎？
131173,,要離開碼頭小屋嗎？
131174,進入碼頭小屋,要進入碼頭小屋嗎？
131175,,要離開艾歐澤亞地下空間嗎？
131176,,要進入久遠聖堂嗎？
131177,,要前往陸行鳥廣場嗎？
131178,,要前往入口廣場嗎？
131179,前往金碟遊樂場,要前往金碟遊樂場嗎？<hex:02100103>不收取任何交通費用。
131180,前往金碟遊樂場,要前往金碟遊樂場嗎？<hex:02100103>不收取任何交通費用。
131181,前往金碟遊樂場,要前往金碟遊樂場嗎？<hex:02100103>不收取任何交通費用。
