key,1,2,3,4,5,6
#,Name,Description,,,,
offset,0,4,8,12,16,20
int32,str,str,str,str,str,str
0,,,,,,
1,碧空,,,,,
2,晴朗,,,,,
3,陰雲,,,,,
4,薄霧,,,,,
5,微風,,,,,
6,強風,,,,,
7,小雨,,,,,
8,暴雨,,,,,
9,打雷,,,,,
10,雷雨,,,,,
11,揚沙,,,,,
12,沙塵暴,,,,,
13,高溫,,,,,
14,熱浪,,,,,
15,小雪,,,,,
16,暴雪,,,,,
17,妖霧,,,,,
18,極光,,,,,
19,黑暗,,,,,
20,絕命,,,,,
21,陰雲,,,,,
22,雷雲,,,,,
23,暴風雨,,,,,
24,暴風雨,,,,,
25,陰沉,,,,,
26,熱浪,,,,,
27,妖霧,,,,,
28,暴風,,,,,
29,煙霧,,,,,
30,晴朗,,,,,
31,晴朗,,,,,
32,晴朗,,,,,
33,晴朗,,,,,
34,晴朗,,,,,
35,極光,,,,,
36,輝核,,,,,
37,輝核,,,,,
38,輝核,,,,,
39,輝核,,,,,
40,灘雲,,,,,
41,灘雲,,,,,
42,灘雲,,,,,
43,灘雲,,,,,
44,神意,,,,,
45,神意,,,,,
46,神意,,,,,
47,神意,,,,,
48,神意,,,,,
49,靈風,,,,,
50,靈電,,,,,
51,煙武,,,,,
52,晴朗,,,,,
53,獸雷,,,,,
54,雷波,,,,,
55,獸雷,,,,,
56,神意,,,,,
57,打雷,,,,,
58,打雷,,,,,
59,,,,,,
60,神秘,,,,,
61,神秘,,,,,
62,小雨,,,,,
63,晴朗,,,,,
64,小雨,,,,,
65,晴朗,,,,,
66,邪天,,,,,
67,邪天,,,,,
68,晴朗,,,,,
69,平衡,,,,,
70,平衡,,,,,
71,時光,,,,,
72,時光,,,,,
73,時光,,,,,
74,鬼氣,,,,,
75,鬼氣,,,,,
76,鬼氣,,,,,
77,次元,,,,,
78,次元,,,,,
79,次元,,,,,
80,豪雨,,,,,
81,豪雨,,,,,
82,極樂,,,,,
83,極樂,,,,,
84,龍威,,,,,
85,龍威,,,,,
86,豪雨,,,,,
87,迅雷,,,,,
88,打雷,,,,,
89,次元,,,,,
90,晴朗,,,,,
91,碧空,,,,,
92,白旋風,,,,,
93,白旋風,,,,,
94,白旋風,,,,,
95,幻想,,,,,
96,白旋風,,,,,
97,月夜,,,,,
98,月夜,,,,,
99,月夜,,,,,
100,月夜,,,,,
101,紅月下,,,,,
102,朱炎,,,,,
103,朱炎,,,,,
104,朱炎,,,,,
105,晴朗,,,,,
106,晴朗,,,,,
107,晴朗,,,,,
108,晴朗,,,,,
109,烈焰,,,,,
110,海嘯,,,,,
111,龍捲風,,,,,
112,地震,,,,,
113,青空,,,,,
114,青空,,,,,
115,青空,,,,,
116,亂靈流,,,,,
117,青空,,,,,
118,無盡光,,,,,
119,暴風,,,,,
120,末日,,,,,
121,末日,,,,,
122,妖夢,,,,,
123,妖夢,,,,,
124,妖夢,,,,,
125,光天,,,,,
126,光天,,,,,
127,末日,,,,,
128,末日,,,,,
129,無盡光,,,,,
130,煙霧,,,,,
131,末日,,,,,
132,晴朗,,,,,
133,靈烈火,,,,,
134,靈飄塵,,,,,
135,靈飛電,,,,,
136,靈罡風,,,,,
137,流星雨,,,,,
138,記憶亂流,,,,,
139,陰雲,,,,,
140,陰雲,,,,,
141,極光,,,,,
142,極光,,,,,
143,雷雲,,,,,
144,火風暴,,,,,
145,幻海流,,,,,
146,,,,,,
147,決戰,,,,,
148,月塵,,,,,
149,磁暴,,,,,
150,末日,,,,,
151,星靈,,,,,
152,星靈,,,,,
153,星靈,,,,,
154,星靈,,,,,
155,星靈,,,,,
156,虛擬,,,,,
157,萬魔殿,,,,,
158,萬魔殿,,,,,
159,萬魔殿,,,,,
160,終極,,,,,
161,絕望,,,,,
162,神域,,,,,
163,神域,,,,,
164,神域,,,,,
165,神域,,,,,
166,神域,,,,,
167,神域,,,,,
168,神域,,,,,
169,神域,,,,,
170,邪天,,,,,
171,虛無,,,,,
172,虛無,,,,,
173,虛無,,,,,
174,次元,,,,,
175,次元,,,,,
176,次元,,,,,
177,萬魔殿,,,,,
178,萬魔殿,,,,,
179,詩想,,,,,
180,虛無,,,,,
181,閾限,,,,,
182,閾限,,,,,
183,虛擬,,,,,
184,虛擬,,,,,
185,虛擬,,,,,
186,虛擬,,,,,
187,記憶,,,,,
188,戰雲,,,,,
189,虛擬,,,,,
190,幻怪,,,,,
191,幻妖,,,,,
192,蜃景,,,,,
193,魔塵,,,,,
194,流星雨,,,,,
195,流星雨,,,,,
196,磁暴,,,,,
197,孢子霧,,,,,
198,死氣,,,,,
199,死氣,,,,,
200,死氣,,,,,
201,寒冷氣流,,,,,
202,玻璃雨,,,,,
203,打雷,,,,,
204,打雷,,,,,
205,,,,,,
206,,,,,,
