key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_000,哦，這不是在<hex:020821E0E80202FF0D>水晶衝突<hex:FF0D>群狼盛宴<hex:03>中位居前列的參與者嗎！<hex:02100103>請立刻收下這只有取得好成績的人才能獲得的排名獎勵吧！
1,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_001,<hex:020866E0E80202FF34>現在正在舉辦水晶衝突的第<hex:022003E80203>賽季。<hex:FF2B>現在是水晶衝突的季前賽期間。<hex:03><hex:02100103><hex:02086FE0E80302FF34>在這裡可以領取前一賽季的賽季獎勵。<hex:FF34>因之前是季前賽，沒有可領取的獎勵。<hex:03><hex:02100103>如果關於獎勵有不明白的地方也可以問我。
2,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_Q1_000_1,有什麼事？
3,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_1,領取排名獎勵
4,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_2,彙報到達的段位
5,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_3,領取段位獎勵（固定隊）
6,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_4,詢問有關獎勵的事情
7,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A1_000_5,取消
8,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_Q2_000_1,想了解什麼？
9,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_1,什麼是獎勵
10,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_2,關於排名獎勵和交換期限
11,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_3,關於段位獎勵和交換期限
12,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_A2_000_4,取消
13,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_110,恭喜你！！<hex:02100103>請立刻收下這只有摘得桂冠的人才能獲得的排名獎勵吧！
14,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_111,能夠取得如此戰果，想必一定很辛苦吧。<hex:02100103>請在新的賽季也繼續死守寶座！！
15,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_112,恭喜你！！<hex:02100103>距離霸者之位近在咫尺的勇猛之士，請收下這份獎勵。<hex:02100103>請在新的賽季中力爭奪下霸者的寶座！
16,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_113,恭喜你！！<hex:02100103>你在上一賽季中表現得十分活躍，請收下這份獎勵。<hex:02100103>請在新的賽季中努力取得更好的成績！
17,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_010,恭喜你！！<hex:02100103>請收下這只有在盛宴中獨佔鰲頭的霸者才能獲得的獎勵！
18,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_011,
19,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_012,恭喜你！！<hex:02100103>距離霸者之位僅一步之遙的勇猛之士，請收下這份獎勵。
20,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_013,恭喜你！！<hex:02100103>你在上一賽季中表現得十分活躍，請收下這份獎勵。
21,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_020,恭喜你到達了青銅段位！<hex:02100103>期待你能在新的賽季達到更高的段位，取得輝煌的成績！
22,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_021,恭喜你到達了白銀段位！<hex:02100103>期待你能在新的賽季達到更高的段位，取得輝煌的成績！
23,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_022,恭喜你到達了黃金段位！<hex:02100103>期待你能在新的賽季達到更高的段位，取得輝煌的成績！
24,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_023,恭喜你到達了白金段位！<hex:02100103>以你現在的狀態，相信在新的賽季衝擊更高段位也絕非難事！
25,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_024,恭喜你到達了鑽石段位！<hex:02100103>請繼續努力，在新的賽季也取得同樣的好成績……<hex:02100103>不，請向更高的水晶段位發出衝擊！
26,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_025,恭喜你到達了水晶段位！！<hex:02100103>既然都到了這一步，那麼在新的賽季，<hex:02100103>期待你能朝著只有極少數人才能到達的特殊段位邁進！
27,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_100_025,恭喜你到達了歐米茄段位！！<hex:02100103>這一路你擊敗了眾多豪強，表現著實出色！<hex:02100103>相信這樣的你一定可以在新的賽季朝著究極段位繼續努力！
28,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_200_025,恭喜你到達了究極段位！！<hex:02100103>你的活躍表現正如段位之名一樣堪稱究極的傳說……<hex:02100103>這也不禁讓人對你在新賽季的表現有了更多期待！
29,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_026,你在上一賽季中並未進行段位賽，<hex:02100103>或是在上一賽季中並未達到至少青銅段位。<hex:02100103>所以很遺憾，沒有能給你的獎勵。
30,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_030,根據成績統計方法的不同，<hex:02100103>我們準備了「排名獎勵」和「段位獎勵」這兩種獎勵。
31,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_031,所謂排名獎勵，<hex:02100103>是授予在排名中位居前列的參與者的特別獎勵。
32,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SYSTEM_000_032,具體規則請關注盛趣遊戲的«最終幻想14»官方網站。
33,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SYSTEM_000_033,獎勵的發放標準和具體發放形式將會在網站上作出詳細的說明。
34,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SYSTEM_000_034,另外，排名獎勵沒有領取期限。<hex:02100103>因背包已滿等原因無法領取的情況下，<hex:02100103>請在整頓完畢、滿足條件後再次領取。
35,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_033,（★未使用／削除予定★）
36,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_034,（★未使用／削除予定★）
37,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_035,（★未使用／削除予定★）
38,TEXT_REGSEAPVPSEASONREWARDSECOND_00358_SEASONREWARD_000_036,賽季結束後，達到了青銅及以上段位的參加者<hex:02100103>可以通過彙報到達的段位來獲得獎勵。<hex:02100103>獎勵的內容隨段位不同而不同。
