key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_000,<hex:022903EB0203>！是你啊！<hex:02100103>找我有事嗎？
1,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_100_000,目前正在舉辦源自東方的占卜活動「好運簽」。<hex:02100103>你要不要也來試試？
2,TEXT_FESNYR2023OMIKUJI_00776_Q1_000_1,想了解什麼？
3,TEXT_FESNYR2023OMIKUJI_00776_A1_000_1,想要抽好運簽
4,TEXT_FESNYR2023OMIKUJI_00776_A1_000_2,請告訴我好運簽的由來
5,TEXT_FESNYR2023OMIKUJI_00776_A1_000_3,想了解你
6,TEXT_FESNYR2023OMIKUJI_00776_A1_000_4,取消
7,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_003,好運簽100金幣抽一次。<hex:02100103>要抽嗎？
8,TEXT_FESNYR2023OMIKUJI_00776_Q1_000_000,要支付100金幣嗎？
9,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_001,好嘞！<hex:02100103>來來，快抽一簽吧！
10,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_004,哎呀，看來你身上的錢不夠抽好運簽呢。<hex:02100103>下次有錢了再來吧！
11,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_002,抽籤的結果如何？<hex:02100103>願你的明天能在簽文的指引下越變越好！
12,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_010,抽好運簽的傳統能追溯到數千年之前。<hex:02100103>據說是有一位僧侶夢到了東方神話中的十二神獸，<hex:02100103>神獸們在夢中為他降下天啟，各自為他書寫了十二條啟示。
13,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_011,十二神獸各有十二條神啟……總共構成了144條經文。<hex:02100103>在夢中受到啟示的僧侶將這些經文記錄在案。<hex:02100103>這種用經文占卜運勢的方法，就是好運簽的雛形。
14,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_012,僧侶為了修行周遊各地。<hex:02100103>他的這種占卜方法也隨著他的旅途傳播，漸漸廣為人知。
15,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_020,如你所見，我是維埃拉族。<hex:02100103>我活了這麼些年之後，<hex:02100103>突然就被降神節的「12」這個數字的秘密給吸引住了。
16,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_021,東方有十二神獸，艾歐澤亞有十二神。<hex:02100103>我們維埃拉族也是，男性維埃拉族成員的姓氏也剛好是12個。<hex:02100103>世界各地都留下了「12」這個數字的痕跡，這之中有什麼聯繫嗎？
17,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_022,我因此踏上了追尋12的旅途，在這個途中，<hex:02100103>我發現了好運簽，因此成了好運簽術士。
18,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_000_023,順帶一提，我的名字叫……現在叫鯛魚燒！<hex:02100103>生活在城裡的維埃拉族不是經常改變名字嗎？<hex:02100103>我也會根據吉凶改名，為自己準備了12個不同的名字。
19,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_100_023,順便說一下我的名字……現在叫蕎麥麵！<hex:02100103>生活在城市裡的維埃拉族經常會變更自己的名字，<hex:02100103>而我則會根據時運的好壞分別使用12個不同的名字！
20,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_200_023,順帶一提，我的名字叫……現在叫金平菜！<hex:02100103>生活在城裡的維埃拉族不是經常改變名字嗎？<hex:02100103>我也會根據吉凶改名，為自己準備了12個不同的名字。
21,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_300_023,順帶一提，我的名字叫……現在叫生魚碎！<hex:02100103>生活在城裡的維埃拉族不是經常改變名字嗎？<hex:02100103>我也會根據吉凶改名，為自己準備了12個不同的名字。
22,TEXT_FESNYR2023OMIKUJI_00776_OMIKUJISHI_400_023,
23,TEXT_FESNYR2023OMIKUJI_00776_A1_000_001,（★未使用／削除予定★）
24,TEXT_FESNYR2023OMIKUJI_00776_A1_000_002,（★未使用／削除予定★）
