key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_000,忙前忙後的你也很難辦吧，<hex:02100103>不過妾身保證，只要你能攻破地下30層，<hex:02100103>就能掌握正統優雷卡的大概。
1,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_001,在那之後，妾身會再聽一次你的報告，<hex:02100103>這個時代最勇敢的冒險者，<hex:022903EB0203>啊。<hex:02100103>這件事就交給你了……
2,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_010,多虧了你，妾身才能在這個時代醒來，<hex:02100103>乃至於在某種程度上算是重獲新生了吧。
3,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_011,讓妾身想想，要不妾身跟你再講點什麼吧。<hex:02100103>講講妾身和亞拉戈帝國，<hex:02100103>講講你在正統優雷卡遇上的那些實驗體。
4,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_012,……哦！<hex:02100103>你已經跑到很深的樓層了呀，<hex:02100103>雖然還沒到最深處，但是已經下到過半的地方了。
5,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_013,你可真是能幹啊，不過，可別因為習慣了就懈怠哦？<hex:02100103>否則這沉眠著亞拉戈文明的墓穴<hex:02100103>就要變成埋葬你的棺槨了。
6,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_014,珂爾現在就藏在妾身身體裡呢，<hex:02100103>她還口口聲聲說什麼「諾亞負責說，我負責聽就好」，<hex:02100103>不愧是她，能說出這種話，妾身都找不到話來反駁她……
7,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_015,總之，妾身也說好了要再和她相處一段時間。<hex:02100103>你要是有什麼想問的，就儘管來問妾身吧。<hex:02100103>大魔法師諾亞知無不言。
8,TEXT_CTSDDD3NOAHTALK_00811_Q1_000_020,要做什麼？
9,TEXT_CTSDDD3NOAHTALK_00811_A1_000_021,關於成就
10,TEXT_CTSDDD3NOAHTALK_00811_A1_000_022,領取成就
11,TEXT_CTSDDD3NOAHTALK_00811_A1_000_023,和諾亞對話
12,TEXT_CTSDDD3NOAHTALK_00811_A1_000_024,取消
13,TEXT_CTSDDD3NOAHTALK_00811_Q2_000_030,想了解什麼？
14,TEXT_CTSDDD3NOAHTALK_00811_A2_000_031,關於大魔法師諾亞
15,TEXT_CTSDDD3NOAHTALK_00811_A2_000_032,關於多加和烏內
16,TEXT_CTSDDD3NOAHTALK_00811_A2_000_033,關於亞蒙
17,TEXT_CTSDDD3NOAHTALK_00811_A2_000_034,關於地下10層的衛士「蜜言妖」
18,TEXT_CTSDDD3NOAHTALK_00811_A2_000_035,關於地下20層的衛士「複製系統」
19,TEXT_CTSDDD3NOAHTALK_00811_A2_000_036,關於地下30層的衛士「提亞馬特複製體」
20,TEXT_CTSDDD3NOAHTALK_00811_A2_000_037,關於地下40層的衛士「雙塔尼亞複製體」
21,TEXT_CTSDDD3NOAHTALK_00811_A2_000_038,關於地下50層的衛士「自控化奇美拉14X」
22,TEXT_CTSDDD3NOAHTALK_00811_A2_000_039,關於地下60層的衛士「自控化彌諾陶洛斯16」
23,TEXT_CTSDDD3NOAHTALK_00811_A2_000_040,關於地下70層的衛士「永恆」
24,TEXT_CTSDDD3NOAHTALK_00811_A2_000_041,關於地下80層的衛士「原型卡利亞」
25,TEXT_CTSDDD3NOAHTALK_00811_A2_000_042,關於地下90層的衛士「管理員」
26,TEXT_CTSDDD3NOAHTALK_00811_A2_000_043,關於地下99層的衛士「鬪神王者之劍」
27,TEXT_CTSDDD3NOAHTALK_00811_A2_000_044,取消
28,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_050,插在王者之劍的管理裝置上的神典石，<hex:02100103>記錄了關於這把劍的詳細資料。
29,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_051,這把劍放到現在其實也不是什麼了不起的東西，<hex:02100103>但你難得弄到了手裡，倒也可以考慮一下有沒有地方能用。
30,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_052,讓創造系統讀取神典石裡的資料，<hex:02100103>就能取得劍的設計理念，製作出形象一致的裝飾品。<hex:02100103>畢竟那把劍，光是擱在那就美得像個藝術品了。
31,TEXT_CTSDDD3NOAHTALK_00811_SYSTEM_000_053,將正統優雷卡最深處取得的正統神典石<hex:02100103>交給八劍士前庭的創造系統，<hex:02100103>可以用來交換4種飾品。
32,TEXT_CTSDDD3NOAHTALK_00811_SYSTEM_000_054,在持有或者裝備上述全部飾品後，<hex:02100103>和珂爾·拉布恩塔對話，<hex:02100103>可以獲得成就和特別的道具。
33,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_055,妾身倒是有東西想要給你……<hex:02100103>不過呀，你還是先收拾收拾自己包裹裡的東西吧。
34,TEXT_CTSDDD3NOAHTALK_00811_SYSTEM_000_056,要想獲得成就和特別的道具，<hex:02100103>需要背包保留1格以上的空位。
35,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_057,<hex:022903EB0203>，你這人……<hex:02100103>妾身還以為你去過一次正統優雷卡的底層就算夠了，<hex:02100103>沒想到你還來來回回去了這麼多次。
36,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_058,創造系統從正統神典石中提取資料<hex:02100103>並以資料中的設計理念為你製作的裝飾品，<hex:02100103>你應該已經湊齊一套了吧？
37,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_059,不錯，你這是想把王者之劍戴在哪裡就能戴在哪裡呀！<hex:02100103>人的探求之心可真是一樣可怕的東西！
38,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_060,妾身已經看著你努力了這麼久了，<hex:02100103>作為給你這個委託的人，妾身也是該為你提供一件謝禮了。
39,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_061,……所以呢，妾身從備用的實驗槽裡，<hex:02100103>帶出了一隻看起來挺乖巧的「永恆」。
40,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_062,要是一直放任不管，它早晚也是死路一條，<hex:02100103>但從今天開始就不一樣，它現在是你的眷屬了……<hex:02100103>從今往後，它就可以自由馳騁於現世的青空之下啦！
41,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_070,你想知道關於妾身的事？<hex:02100103>唔，雖然你誠心誠意地問了，可妾身卻不知道該從哪說起呢……
42,TEXT_CTSDDD3NOAHTALK_00811_KOHRABNTAH_000_071,在亞拉戈帝國處於繁盛的榮光與倦怠的陰影之間的那個時代裡，<hex:02100103>妾身是當時空前絕後的偉大魔法師，<hex:02100103>不論是財富還是名望，都能手到擒來。
