key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_000,唉……沒想到他們真的去做壞事了……
1,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_001,啊！歡迎光臨！<hex:02100103>決定好要點什麼了就叫我！
2,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_010,歡迎光臨！<hex:02100103>奪回祭器的委託要是有什麼不明白的你就直說！<hex:02100103>只要是我知道的事，我一定都說給你聽！
3,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_100_010,歡迎光臨！<hex:02100103>你要是好奇追蹤阿帕西的進展可以問我，<hex:02100103>我保證知無不言！
4,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_150_010,歡迎光臨！<hex:02100103>你要是好奇自由之門的作戰調查得怎麼樣了可以問我，<hex:02100103>我保證知無不言！
5,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_200_010,歡迎光臨！<hex:02100103>真是辛苦你解決了自由之門這一連串的事。<hex:02100103>還有什麼不確定的都可以問我，我保證知無不言！
6,TEXT_JOBDEFROLERRALMAJUN_00852_Q1_000_020,想了解什麼？
7,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_021,最近怎麼樣？
8,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_022,什麼是「祭器」？
9,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_023,什麼是「自由之門」？
10,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_024,取消
11,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_030,一共有五個部族的祭器被盜，正在追緝犯人。<hex:02100103>不同部族需要不同的幫手……<hex:02100103>還勞你出手幫他們奪回祭器！
12,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_031,在你的協助之下，被盜的五樣祭器都已經被成功追回！<hex:02100103>真是太感謝你了！
13,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_032,只是，自由之門的成員總共有六個人才對，<hex:02100103>在確保這個組織徹底完蛋之前，<hex:02100103>很難說危機已經過去了……
14,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_033,我要是發現了什麼新動向的話，會立刻聯繫你。<hex:02100103>還請你有空就來店裡看看。<hex:02100103>不管你幫不幫忙，我們都會歡迎你這位客人的！
15,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_060,多虧有你的幫助，自由之門的五名幹部都已經落網了，<hex:02100103>但他們的首領阿帕西還逍遙法外。<hex:02100103>我們不確定她會不會再次招募人手、展開危險行動。
16,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_061,為了防患於未然，避免她再次作惡，<hex:02100103>希望你能潛入自由之門，弄清行動的全貌！
17,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_100_061,多虧有你潛入組織，<hex:02100103>我們才能知道阿帕西的下一個目標是圖萊尤拉！<hex:02100103>要是能知道更詳細的行動計劃就好了……
18,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_062,多虧有你潛入組織，<hex:02100103>我們才能知道阿帕西的下一個目標是圖萊尤拉！
19,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_063,除了手下之外，她竟然還打算帶上魔物，<hex:02100103>看來這會是一場硬仗……<hex:02100103>我會負責聯繫勇連隊，請他們協助各位擊敗阿帕西！
20,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_064,多虧了你才能使圖萊尤拉安然無恙。<hex:02100103>請盡情享受夾餅聚會吧！
21,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_065,落網的不光是魁首，殘黨中的第二代幹部也都被逮捕了。<hex:02100103>這下自由之門總算是徹底毀滅了。<hex:02100103>你可以放心地繼續你的旅行啦。
22,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_040,居住在圖拉爾大陸的許多部族<hex:02100103>從數百年前代代相傳至今的厲害寶物！
23,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_041,祭器中封印了圖拉爾威爪的靈魂，<hex:02100103>這些動物對部族來說既是象徵也是信仰。<hex:02100103>擁有祭器的人能隨意使用圖拉爾威爪的力量。
24,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_042,擁有祭器的部族會懷著對祭器的崇敬，<hex:02100103>謹慎地使用祭器守護各自的村落。
25,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_043,順帶一提……我們對祭器的由來一無所知。<hex:02100103>既不知道是誰為什麼製造了這種東西，<hex:02100103>也不知道現存的數量……古時候的事情可真神秘啊！
26,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_044,話雖如此，沒想到原來是尤卡巨人創造了祭器。<hex:02100103>阿帕西手上的祭器應該就是最後一件了。<hex:02100103>打倒她之後，祭器就不再會威脅到大家的安全了。
27,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_045,話雖如此，沒想到原來是尤卡巨人創造了祭器。<hex:02100103>現在阿帕西手上的最後一件祭器也被毀了，<hex:02100103>大家再也不用擔驚受怕了，真是太好了！
28,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_050,據說是由一個叫阿帕西的人領導的邪惡的秘密組織。<hex:02100103>包括阿帕西在內，成員一共有六人，他們坐在店裡嚷嚷了半天，<hex:02100103>最後什麼都沒點就跑了……真是群給人添麻煩的傢伙。
29,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_051,據他們的首領所說，<hex:02100103>自由之門的目標是在世界各地引發混亂，顛覆國家。<hex:02100103>因此他們襲擊了各個部族的村落，盜取了祭器。
30,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_052,之後，他們就渡海逃走了。<hex:02100103>似乎每個人都逃去了不同的地方。
31,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_053,希望把祭器都奪回來之後……<hex:02100103>能把他們全都好好關起來，<hex:02100103>免得他們再出來作惡！
32,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_054,我從勇連隊那邊聽說了阿帕西建立組織的原因！<hex:02100103>這……這也……這理由也太無聊了吧……
33,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_055,沒有祭器的力量撐腰，他們也就只是一群烏合之眾。<hex:02100103>我聽說各國的當局打算繼續剿滅行動，<hex:02100103>相信自由之門很快就會徹底消亡了。
34,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_056,……話雖如此，沒想到第二代幹部會跑到我們這裡來，<hex:02100103>竟然還企圖捲土重來！
