key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_000,歡迎來到永久人們的不眠之城，<hex:02100103>這裡是記憶的場所，是「活著的記憶」。<hex:02100103>你有什麼事嗎？
1,TEXT_REGULW6GATEOFREMEMBRANCE_00887_Q1_000_000,想了解什麼？
2,TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_001,你是做什麼的？
3,TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_002,這裡是什麼地方？
4,TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_003,取消
5,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_010,我的個體名為辦事員PX-0006。<hex:02100103>負責在回憶之門為大家答疑解惑。<hex:02100103>如果有什麼不明白的，請儘管來找我。
6,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_020,這個地方叫作「回憶之門」，<hex:02100103>既是這個世界的大門口，也是正中心，<hex:02100103>在這裡，人們可以利用飛索前往各個區域。
7,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_021,休閒勝地「運河鎮」，<hex:02100103>希望之主題公園「昨日樂園」，<hex:02100103>勇氣與火焰的「火山庇護所」……
8,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_022,以及滿足探求之心的「風途園圃」。<hex:02100103>請選擇你喜歡的區域好好放鬆一下吧。
9,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_023,不過首次到訪的人需要註冊一下飛索的使用許可權……<hex:02100103>你先到北邊的中央終端去一趟吧。
10,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_024,另外目前水之終端停止使用。<hex:02100103>前往對應區域時請注意。
11,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_025,另外目前水之終端和土之終端停止使用。<hex:02100103>前往對應區域時請注意。
12,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_026,另外目前水之終端、土之終端和火之終端停止使用。<hex:02100103>前往對應區域時請注意。
13,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_027,另外目前各區域的終端停止使用，<hex:02100103>不過請各位永久人放心，<hex:02100103>生命力乙太很快就可以供給。
14,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_028,另外目前各區域的終端停止使用。<hex:02100103>前往對應區域時請注意。
15,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_030,另外，永久人生成裝置已停止運行。<hex:02100103>餐飲與鳳尾船等部分服務無法提供，<hex:02100103>還請見諒。
