key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6ROPLI_00896_ROPLI_000,這裡是珠串萬貨街。<hex:02100103>可以算是為了這個地區成立的市場吧。<hex:02100103>如果你對這裡的商品感興趣的話，就隨便轉轉看看吧。
1,TEXT_REGYOK6ROPLI_00896_ROPLI_010,珠串萬貨街就是這樣一串由不同的人和物串成的項鏈。<hex:02100103>來賓店主各取所需，不僅顧客高興，商家也高興，<hex:02100103>大家的幸福和笑容，也能為整個萬貨街增光添彩。
2,TEXT_REGYOK6ROPLI_00896_ROPLI_011,我相信有了你的協助，這份願景一定會實現的。<hex:02100103><hex:022903EB0203>，拜託你了。
3,TEXT_REGYOK6ROPLI_00896_ROPLI_020,你真是太厲害了，<hex:022903EB0203>！<hex:02100103>你幫助遇到困難的店鋪解決了問題。<hex:02100103>真希望你這個工匠能夠一直待在我們市場這裡。
4,TEXT_REGYOK6ROPLI_00896_ROPLI_025,等我把這裡的事務交代清楚就立刻過去。<hex:02100103>你先去戈尼特魯珂寶灘那裡等我吧。
5,TEXT_REGYOK6ROPLI_00896_ROPLI_026,我想請你作為珠串萬貨街感恩大酬賓的後援，<hex:02100103>為遇到困難的店主提供幫助。<hex:02100103>我們會和同族一起做好所需的準備。
6,TEXT_REGYOK6ROPLI_00896_ROPLI_027,如果你不介意的話，<hex:02100103>請你去見一見正在做準備的大家吧。<hex:02100103>大家看到你，一定會打起精神的。
7,TEXT_REGYOK6ROPLI_00896_ROPLI_030,<hex:022903EB0203>，你來了啊！<hex:02100103>多虧了你，珠串萬貨街今天也是熱鬧非凡！
8,TEXT_REGYOK6ROPLI_00896_ROPLI_031,不管是來自哪裡、屬於哪一部族的人，都能在這裡達成稱心的交易，<hex:02100103>所有人也都因此像珠串一樣聯繫在了一起。<hex:02100103>當然，你更是這個珠串中不可替代的一顆明珠。
