key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD4ENTRANCE_00942_VANTHAU_000_000,咦……？<hex:02100103>你看起來還沒做好探索的準備哦？
1,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER,<hex:024804F2023503><hex:024904F2023603>挑戰「朝聖交錯路」<hex:0249020103><hex:0248020103>
2,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER3,<hex:024804F2023503><hex:024904F2023603>挑戰「卓異的悲寂殲滅戰」<hex:0249020103><hex:0248020103>
3,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ENTER2,<hex:024804F2023503><hex:024904F2023603>挑戰「卓異的悲寂深想戰」<hex:0249020103><hex:0248020103>
4,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_RESET,重置「攻略進度」
5,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_BREAKUP,解散「固定隊伍」
6,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_SCORE,確認「積分」
7,TEXT_CTSDDD4ENTRANCE_00942_START_MENU_ABOUT,查看說明
8,TEXT_CTSDDD4ENTRANCE_00942_OPEN_CONTENTS_NOTE,打開挑戰筆記
9,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_TITLE,要做什麼？
10,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_FIXED,「固定隊伍」進入
11,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_MATCHING,「隨機組隊」進入
12,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_BACK,返回
13,TEXT_CTSDDD4ENTRANCE_00942_ENTER_FIXED_Q,確定以「固定隊伍」進入嗎？
14,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MATCHING_Q,確定以「隨機組隊」進入嗎？
15,TEXT_CTSDDD4ENTRANCE_00942_VANTHAU_000_010,你要一個人去……？<hex:02100103>太有勇氣了……我光是聽著都瑟瑟發抖了……<hex:02100103>答應我，一定要平安回來。
16,TEXT_CTSDDD4ENTRANCE_00942_ENTER_SOLO,確定要單人進入「朝聖交錯路」？
17,TEXT_CTSDDD4ENTRANCE_00942_ENTER_WHICH_Q,要從哪裡開始進入？
18,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A1,第1朝聖路
19,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A2,第21朝聖路
20,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A4,第31朝聖路
21,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A5,第51朝聖路
22,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A6,第71朝聖路
23,TEXT_CTSDDD4ENTRANCE_00942_ENTER_A3,返回
24,TEXT_CTSDDD4ENTRANCE_00942_ENTER_MENU_TITLE_EG_NORMAL,<hex:024804F2023503><hex:024904F2023603>「卓異的悲寂殲滅戰」是可以<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F2023503><hex:024904F2023603>反覆挑戰「第99朝聖路」的練習挑戰。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>要做什麼？
25,TEXT_CTSDDD4ENTRANCE_00942_SYSTEM_000_100,在利姆薩·羅敏薩沉溺海豚亭的伊·托爾婉處<hex:02100103>接取並完成任務「遺失的挑戰筆記」，即可解鎖「挑戰筆記」功能。
26,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_TOP_MENU_NEXT,<hex:024804F2023503><hex:024904F2023603>挑戰下一朝聖路<hex:0249020103><hex:0248020103>
27,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_TOP_MENU_EXPLAIN,查看說明
28,TEXT_CTSDDD4ENTRANCE_00942_MIDDLE_Q,可以以現在的小隊繼續進行攻略。<hex:02100103>要前往下一朝聖路嗎？
