key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_000,我的求知慾爆發了！<hex:02100103>雖然我是因為受罰才來到這裡，<hex:02100103>但托你的福，這份工作越來越有意思了！
1,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_010,請把不知用途的物品拿到我這裡，我會幫你鑑定！<hex:02100103>雖然任何真相揭露的瞬間都很甜美，<hex:02100103>但你耗費了那麼大的努力，我更希望能鑑定出稀世珍品！
2,TEXT_CTSDDD4GACHA_00943_Q1_000_020,要做什麼？
3,TEXT_CTSDDD4GACHA_00943_A1_000_021,鑑定寶藏
4,TEXT_CTSDDD4GACHA_00943_A1_000_022,詢問有關「埋藏的寶藏」的事情
5,TEXT_CTSDDD4GACHA_00943_A1_100_022,詢問有關「耀光寶藏」的事情
6,TEXT_CTSDDD4GACHA_00943_A1_000_023,取消
7,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_030,雖然現在已經淪為一片廢墟，<hex:02100103>但過去的光耀教會非常熱鬧，每天都有許多人類來訪。<hex:02100103>他們遺落的物品，說不定會一直留存到現在。
8,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_031,而且，你說不定還能發現教會寶物庫的珍藏哦？<hex:02100103>嘿嘿，想想就興奮。
9,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_032,在深層迷宮有時能發現<hex:02100103>裡面不知裝了什麼的「埋藏的寶藏」。
10,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_033,把在「朝聖交錯路」發現的「埋藏的寶藏」<hex:02100103>交給提兒·麻恩，<hex:02100103>就可以得到裝在裡面的道具。
11,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_040,說到閃閃發光，你能想到什麼呢？<hex:02100103>是金銀財寶、玻璃寶石、嬰兒臉頰、可愛的笑容……<hex:02100103>還是回不去的每一天……？
12,TEXT_CTSDDD4GACHA_00943_TYRMARN_000_041,歸根結底，價值這種東西是由自己來定義的。<hex:02100103>在你眼裡可能只是塊石頭，<hex:02100103>可對某個人來說，或許就是大有用處的寶物！
13,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_042,完成挑戰筆記中與朝聖交錯路有關的項目時，<hex:02100103>可以獲得閃閃發光的「耀光寶藏」。<hex:02100103>與文滔對話時，順便確認一下筆記中的挑戰目標吧！
14,TEXT_CTSDDD4GACHA_00943_SYSTEM_000_043,將獲得的「耀光寶藏」交給提兒·麻恩鑑定，<hex:02100103>可以獲得特殊的物品。
