key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSMKDENTRANCE_00929_Q1_000_000,要做什麼？
1,TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT,進入「<hex:02281CFF17>ContentFinderCondition<hex:E8022C03>」
2,TEXT_CTSMKDENTRANCE_00929_A1_000_001,詢問有關蜃景幻界新月島南征之章
3,TEXT_CTSMKDENTRANCE_00929_A1_000_002,取消
4,TEXT_CTSMKDENTRANCE_00929_A1_000_003,確認知見等級和貨幣
5,TEXT_CTSMKDENTRANCE_00929_A1_000_004,確認輔助職業
6,TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION,確定要進入「<hex:02281CFF17>ContentFinderCondition<hex:E8022C03>」嗎？
7,TEXT_CTSMKDENTRANCE_00929_A1_000_005,是
8,TEXT_CTSMKDENTRANCE_00929_A1_000_006,否
