key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_000,又到本大爺出場的時候了嗎？<hex:02100103>那就讓你見識見識經過屬性壓縮鍛造法強化後的力量吧！
1,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_001,哈啊啊啊——！
2,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_002,我都佩服我自己！<hex:02100103>4種屬性的濃厚乙太得到了完美調和，<hex:02100103>乙太沒有就此消散，也都是多虧了這座島……
3,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_003,完成了！這就是通過屬性壓縮鍛造法強化的幻境武器——<hex:02100103><hex:02280AFF05>Item<hex:E8020103>！！
4,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_004,完成了！這就是通過屬性壓縮鍛造法強化的幻境武器——<hex:02100103><hex:02280AFF05>Item<hex:E8020103>和<hex:02280AFF05>Item<hex:E8030103>！！
5,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_005,相比為魔法球積蓄乙太，<hex:02100103>收集<hex:02280BFF05>Item<hex:F2B7020103>可能會輕鬆很多，<hex:02100103>不過你別因為輕鬆，就冷落武器將它放包裡。
6,TEXT_CTSMKDWEPTRADE2_00952_GEROLT_000_006,為了改良武器讓它變得更強，<hex:02100103>希望你能一直拿在手中，熟悉它的所有特性！
