key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_000,歡迎來到憧憬灣宇宙好運道的接待窗口。<hex:02100103>在這裡可以使用月球信用點轉動幸運大轉盤進行抽獎。<hex:02100103>請問有什麼可以幫您的？
1,TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_001,歡迎來到玻璃匠基地宇宙好運道的接待窗口。<hex:02100103>在這裡可以使用法恩娜信用點轉動幸運大轉盤進行抽獎。<hex:02100103>請問有什麼可以幫您的？
2,TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_002,こちらはテラ・ファーマ基地のコスモフォーチュン窓口です～。<hex:02100103>オイジュスクレジットを使ってルーレット式のくじが遊べますよ。<hex:02100103>どのようなご用件でしょう～？
3,TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_010,等一下，那閃閃發光的……<hex:02100103>是宇宙好運爆的抽獎券！
4,TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_020,這可是千載難逢的好機會！<hex:02100103>您可以參加宇宙好運爆了！<hex:02100103>趕快試試吧！！
5,TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_000,挑戰宇宙好運爆
6,TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_010,挑戰宇宙好運道（<hex:022206E802FF022C03><hex:02280AFF05>Item<hex:E8030103>）
7,TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_020,想了解宇宙好運道的玩法
8,TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_030,取消
9,TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_040,有什麼可以幫您的？
10,TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_000,這就為您介紹！<hex:02100103>宇宙好運道是一種抽獎玩法，<hex:02100103>只要轉動幸運大轉盤，就有機會獲得各種獎品！
11,TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_010,參加方法十分簡單！<hex:02100103>您在協助探索計劃的時候會獲取<hex:02280AFF05>Item<hex:E8030103>，<hex:02100103>只要支付<hex:022206E802FF022C03><hex:02280AFF05>Item<hex:E8030103>就可以參加啦！
12,TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_020,支付後，宇宙好運道就會啟動。<hex:02100103>您可以從螢幕上顯示的兩種大轉盤中<hex:02100103>選擇一種有您想要的獎品的大轉盤。
13,TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_030,如果您還想了解更加詳細的內容，<hex:02100103>可以查看探索觸控板！
14,TEXT_CTSWKSLOT_00918_ORBITINGWAY_030_000,上次遊玩宇宙好運道後，<hex:02100103>您有些獎品沒能取走。<hex:02100103>我看看……請收下這些！
15,TEXT_CTSWKSLOT_00918_ORBITINGWAY_030_010,咦，您的背包好像已經放不下新的東西了。<hex:02100103>獎品我先幫您寄存著，您可以騰出空間後再來找我領取。
16,TEXT_CTSWKSLOT_00918_ORBITINGWAY_040_000,咦，您的<hex:02280AFF05>Item<hex:E8020103>不夠……<hex:02100103>別擔心，我會一直在這裡恭候您的參加！
17,TEXT_CTSWKSLOT_00918_ORBITINGWAY_040_010,抱歉，您的背包太滿了，沒法再放入新的獎品。<hex:02100103>我繼續幫您寄存著，您可以騰出空間後再來找我領取。
18,TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_000,歡迎再來挑戰！
19,TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_001,抱歉，看樣子您的背包已經滿了。<hex:02100103>我繼續幫您寄存著，您可以騰出空間後再來找我領取。
20,TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_010,真是令人熱血沸騰的好運爆啊！！<hex:02100103>歡迎再來挑戰！
21,TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_011,抱歉，看樣子您的背包已經滿了。<hex:02100103>期待您再次挑戰好運爆！
22,TEXT_CTSWKSLOT_00918_ORBITINGWAY_060_000,歡迎來到宇宙好運道的接待窗口。<hex:02100103>目前抽選系統正在升級，請過一陣子再來吧！
23,TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_000,挑戰宇宙好運道需要消耗<hex:022206E802FF022C03><hex:02280AFF05>Item<hex:E8040103>。<hex:02100103>（當前持有：<hex:022206E803FF022C03>）
24,TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_010,挑戰宇宙好運爆需要消耗1張<hex:02280AFF05>Item<hex:E8030103>。<hex:02100103>（持有數量：<hex:022206E802FF022C03>）
25,TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_020,是
26,TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_030,否
