key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_000,事情經過我都聽諾諾塔小姐說過了，<hex:02100103>就由我來帶領你進入會場吧！
1,TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_001,感謝你的協助！<hex:02100103>關於帶入會場以及割草相關的說明就請交給我吧！
2,TEXT_FESEST2026ENTRANCE_00960_SYSTEM_000_002,為進行任務「彩蛋狩獵與謎之草[暫]」，<hex:02100103>需完成嫩枝大清掃，<hex:02100103>並至少獲得1點分數。
3,TEXT_FESEST2026ENTRANCE_00960_SYSTEM_000_003,可從選項：詢問有關「嫩枝大清掃」的事情，<hex:02100103>確認任務的規則等相關情報。<hex:02100103>在前去割草之前，請務必過目。
4,TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_002,
5,TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_003,
6,TEXT_FESEST2026ENTRANCE_00960_Q1_000_000,要做什麼？
7,TEXT_FESEST2026ENTRANCE_00960_Q1_100_000,何をする？<hex:02100103> <hex:024804F201FA03><hex:024904F201FB03>[ハイスコア：<hex:022003E80203>]<hex:0249020103><hex:0248020103>
8,TEXT_FESEST2026ENTRANCE_00960_A1_000_001,前往嫩枝大清掃
9,TEXT_FESEST2026ENTRANCE_00960_A1_000_002,詢問有關「嫩枝大清掃」的事情
10,TEXT_FESEST2026ENTRANCE_00960_A1_000_003,取消
11,TEXT_FESEST2026ENTRANCE_00960_TALK_SYSTEM_000_010,在組隊、隊員招募狀態，<hex:02100103>或是正在使用任務搜尋器申請參加任務時，<hex:02100103>無法參與嫩枝大清掃。
12,TEXT_FESEST2026ENTRANCE_00960_TALK_SYSTEM_000_015,背包已滿，有可能無法領取全部獎勵。
13,TEXT_FESEST2026ENTRANCE_00960_INVENTORYMAX_CONFIRM,確定要進行嫩枝大清掃嗎？
14,TEXT_FESEST2026ENTRANCE_00960_GAMEWARP_CONFIRM,要前往嫩枝大清掃嗎？
