key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESHLWTRANSFORM_00946_TRANSFORMHLX2025_000_000,嘻嘻嘻……我是擅長變身奇術的普通小魔精。<hex:02100103>讓我來用我的拿手絕活，把你變成你想到的人吧！
1,TEXT_FESHLWTRANSFORM_00946_TRANSFORMHLX2025_000_001,那麼，首先回憶一下你至今為止的冒險！<hex:02100103>然後想像一下在你至今為止的冒險旅途所遇到的人們中，<hex:02100103>給你留下強烈印象的人！
2,TEXT_FESHLWTRANSFORM_00946_TRANSFORMHLX2025_000_004,嘻嘻嘻……我看到了，我看到了哦！<hex:02100103>那麼就讓你見識一下我特別的奇術吧！
3,TEXT_FESHLWTRANSFORM_00946_SYSTEM_000_005,想要解除變身狀態時，<hex:02100103>可以使用專用技能「解除變身」來恢復原貌。
4,TEXT_FESHLWTRANSFORM_00946_TRANSFORMHLX2025_000_010,哎呀？你真的是被邀請到舞會的客人麼？<hex:02100103>非常抱歉，<hex:02100103>我的變身奇術只能展露給正式被邀請的客人哦。
5,TEXT_FESHLWTRANSFORM_00946_SYSTEM_000_011,變身奇術是守護天節期間特定的活動。<hex:02100103>請等候下次活動開啟。
