key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESVLT2026ENTRANCE_00938_TALK_ENTRANCEMAN_000_001,非常感謝你能幫忙。<hex:02100103>如果想前往蛋糕店或者想要聽取製作蛋糕的說明，<hex:02100103>請到我這裡來。
1,TEXT_FESVLT2026ENTRANCE_00938_Q1_000_000,要做什麼？
2,TEXT_FESVLT2026ENTRANCE_00938_A1_000_001,前往瓦倫提昂蛋糕店
3,TEXT_FESVLT2026ENTRANCE_00938_A1_000_002,詢問有關「瓦倫提昂蛋糕店」的事情
4,TEXT_FESVLT2026ENTRANCE_00938_A1_000_003,取消
5,TEXT_FESVLT2026ENTRANCE_00938_Q2_000_000,如何前往？
6,TEXT_FESVLT2026ENTRANCE_00938_A2_000_001,自動匹配隊員前往
7,TEXT_FESVLT2026ENTRANCE_00938_A2_000_002,以現在的小隊前往
8,TEXT_FESVLT2026ENTRANCE_00938_A2_000_003,取消
9,TEXT_FESVLT2026ENTRANCE_00938_TALK_SYSTEM_000_010,要自動匹配隊員前往瓦倫提昂蛋糕店嗎？
10,TEXT_FESVLT2026ENTRANCE_00938_TALK_SYSTEM_000_015,要以現在的小隊前往瓦倫提昂蛋糕店嗎？
11,TEXT_FESVLT2026ENTRANCE_00938_Q3_000_000,想了解什麼？
12,TEXT_FESVLT2026ENTRANCE_00938_A3_000_001,關於參加人數
13,TEXT_FESVLT2026ENTRANCE_00938_A3_000_002,關於內容
14,TEXT_FESVLT2026ENTRANCE_00938_A3_000_003,關於停止信號
15,TEXT_FESVLT2026ENTRANCE_00938_A3_000_004,取消
16,TEXT_FESVLT2026ENTRANCE_00938_TALK_ENTRANCEMAN_000_020,瓦倫提昂蛋糕店裡的魔法人偶們<hex:02100103>會把踏足蛋糕店的所有人都識別為入侵者。<hex:02100103>因此推薦以4人以下的菁英小隊前往。
17,TEXT_FESVLT2026ENTRANCE_00938_SYSTEM_000_021,「瓦倫提昂蛋糕店」是1-4人小隊參加的任務。<hex:02100103>無等級限制，可以使用任意職業進行挑戰。
18,TEXT_FESVLT2026ENTRANCE_00938_SYSTEM_000_022,如果3人及以下人數的小隊申請參加，<hex:02100103>可以選擇直接開始任務，或是由系統自動匹配需要的隊員。
19,TEXT_FESVLT2026ENTRANCE_00938_TALK_ENTRANCEMAN_000_0030,拜託你一邊躲開失控的魔法人偶們的妨礙，<hex:02100103>一邊盡可能對更多的蛋糕進行裝飾了。<hex:02100103>庫普卡·叩普大人會準備好食譜。
20,TEXT_FESVLT2026ENTRANCE_00938_TALK_ENTRANCEMAN_000_0031,隨著蛋糕製作的推進，魔法人偶的失控程度可能會加深……<hex:02100103>此時先暫時離開蛋糕店就能讓它們有所收斂，<hex:02100103>還請千萬多加小心。
21,TEXT_FESVLT2026ENTRANCE_00938_SYSTEM_000_032,按照庫普卡·叩普的指示來搬運食材，<hex:02100103>在規定時間內裝飾完成更多的超級大蛋糕吧！<hex:02100103>完成一個之後便可開始著手裝飾下一個。
22,TEXT_FESVLT2026ENTRANCE_00938_SYSTEM_000_033,另外，根據任務中完成的蛋糕數量，<hex:02100103>魔法人偶的移動速度將會上升。
23,TEXT_FESVLT2026ENTRANCE_00938_TALK_ENTRANCEMAN_000_0040,停止信號是能讓魔法人偶們暫時停止行動的手段。<hex:02100103>通過吹響雕金匠公會提供的維修人偶時用的笛子，<hex:02100103>可以向魔法人偶們發出停止信號。
24,TEXT_FESVLT2026ENTRANCE_00938_TALK_ENTRANCEMAN_000_0041,而吹響停止信號需要集中注意力，<hex:02100103>請務必仔細斟酌使用的時機，確保搬運食材的路徑暢通無阻。
25,TEXT_FESVLT2026ENTRANCE_00938_SYSTEM_000_042,任務指令「停止信號」能夠讓一定範圍內的魔法人偶暫時停止行動。<hex:02100103>另外，搬運食材時無法使用該指令。
26,TEXT_FESVLT2026ENTRANCE_00938_TALK_SYSTEM_000_021,
27,TEXT_FESVLT2026ENTRANCE_00938_TALK_SYSTEM_000_022,
28,TEXT_FESVLT2026ENTRANCE_00938_TALK_SYSTEM_000_032,
29,TEXT_FESVLT2026ENTRANCE_00938_TALK_SYSTEM_000_033,
30,TEXT_FESVLT2026ENTRANCE_00938_TALK_SYSTEM_000_042,
