key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESANV801_04544_SEQ_00,※本任務是特定期間內的任務。<hex:02100103><hex:02100103>紅玉大路國際市場的異國的詩人有事情想拜託冒險者。
1,TEXT_FESANV801_04544_SEQ_01,※本任務只有在季節活動開放期間才能接受和進行。<hex:02100103>　季節活動結束後無法進行，敬請注意。<hex:02100103>　詳情請參見官方網站。<hex:02100103><hex:02100103>異國的詩人拜託冒險者為新人冒險者做嚮導。在納爾之門的指定地點等待。
2,TEXT_FESANV801_04544_SEQ_02,見到了納吉·阿·嘉奇亞。在流沙屋和他交談。
3,TEXT_FESANV801_04544_SEQ_03,納吉·阿·嘉奇亞完成了冒險者註冊。再次和流沙屋附近的納吉·阿·嘉奇亞談談。
4,TEXT_FESANV801_04544_SEQ_04,向納吉·阿·嘉奇亞推薦了公會。到他前往的場所查看情況。
5,TEXT_FESANV801_04544_SEQ_05,觀察了納吉·阿·嘉奇亞的情況。和紅玉大路國際市場的異國的詩人談談。
6,TEXT_FESANV801_04544_SEQ_06,從異國的詩人那裡接到了獲取與第七靈災有關物品的委託。和來生迴廊的納吉·阿·嘉奇亞談談。
7,TEXT_FESANV801_04544_SEQ_07,帶著納吉·阿·嘉奇亞遊覽藍玉大街國際市場的商鋪。<hex:02100103><hex:02100103>※同行狀態被解除時，再次與納吉·阿·嘉奇亞對話便可進入同行狀態。
8,TEXT_FESANV801_04544_SEQ_08,在市場收集了情報。帶著納吉·阿·嘉奇亞到指定地點談談。
9,TEXT_FESANV801_04544_SEQ_09,獲取了與第七靈災有關的物品。和紅玉大路國際市場的異國的詩人談談。
10,TEXT_FESANV801_04544_SEQ_10,和異國的詩人進行了交談。伴隨著異國的詩人為邁入新旅程的人們吟誦的祝福詩歌，冒險者與他一起凝視著新生慶典的煙火。
11,TEXT_FESANV801_04544_SEQ_11,
12,TEXT_FESANV801_04544_SEQ_12,
13,TEXT_FESANV801_04544_SEQ_13,
14,TEXT_FESANV801_04544_SEQ_14,
15,TEXT_FESANV801_04544_SEQ_15,
16,TEXT_FESANV801_04544_SEQ_16,
17,TEXT_FESANV801_04544_SEQ_17,
18,TEXT_FESANV801_04544_SEQ_18,
19,TEXT_FESANV801_04544_SEQ_19,
20,TEXT_FESANV801_04544_SEQ_20,
21,TEXT_FESANV801_04544_SEQ_21,
22,TEXT_FESANV801_04544_SEQ_22,
23,TEXT_FESANV801_04544_SEQ_23,
24,TEXT_FESANV801_04544_TODO_00,在指定地點等待
25,TEXT_FESANV801_04544_TODO_01,和納吉·阿·嘉奇亞對話
26,TEXT_FESANV801_04544_TODO_02,再次和納吉·阿·嘉奇亞對話
27,TEXT_FESANV801_04544_TODO_03,前往為納吉·阿·嘉奇亞推薦的公會
28,TEXT_FESANV801_04544_TODO_04,和紅玉大路國際市場的異國的詩人對話
29,TEXT_FESANV801_04544_TODO_05,和納吉·阿·嘉奇亞對話進入同行狀態
30,TEXT_FESANV801_04544_TODO_06,帶著納吉·阿·嘉奇亞遊覽藍玉大街國際市場
31,TEXT_FESANV801_04544_TODO_07,帶著納吉·阿·嘉奇亞到指定地點對話
32,TEXT_FESANV801_04544_TODO_08,和異國的詩人對話
33,TEXT_FESANV801_04544_TODO_09,
34,TEXT_FESANV801_04544_TODO_10,
35,TEXT_FESANV801_04544_TODO_11,
36,TEXT_FESANV801_04544_TODO_12,
37,TEXT_FESANV801_04544_TODO_13,
38,TEXT_FESANV801_04544_TODO_14,
39,TEXT_FESANV801_04544_TODO_15,
40,TEXT_FESANV801_04544_TODO_16,
41,TEXT_FESANV801_04544_TODO_17,
42,TEXT_FESANV801_04544_TODO_18,
43,TEXT_FESANV801_04544_TODO_19,
44,TEXT_FESANV801_04544_TODO_20,
45,TEXT_FESANV801_04544_TODO_21,
46,TEXT_FESANV801_04544_TODO_22,
47,TEXT_FESANV801_04544_TODO_23,
48,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_001,你好，你是一名冒險者對吧？<hex:02100103>看你的眼神就知道，你一定經歷了不少很棒的冒險吧。
49,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_002,啊、抱歉……<hex:02100103>我是專以冒險者的事跡為題材創作詩歌的人。<hex:02100103>人們都叫我異國的詩人。
50,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_003,啊、你是……！<hex:02100103>沒想到能在這裡見到你，親愛的冒險者。<hex:02100103>你也是來觀賞新生慶典的嗎？
51,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_004,唔……你來得正好。<hex:02100103>我有件事情想拜託你，不知你是否願意？
52,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_005,其實最近立志成為冒險者的人逐漸變多了。<hex:02100103>當然這是值得慶祝的好事……
53,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_006,其實得益於之前紅蓮節上的宣傳，<hex:02100103>最近立志成為冒險者的人在極速增多。<hex:02100103>當然這是值得慶祝的好事……
54,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_007,只不過烏爾達哈可是精明的商人們盤踞的商貿城邦，<hex:02100103>我有點擔心初出茅廬的新人冒險者會不會被捲入到麻煩事裡。
55,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_008,所以我想請一位值得信賴的冒險者來為新人做嚮導。<hex:02100103>你要是願意答應的話，那比起其他人我可就放心多了。<hex:02100103>不知道你意下如何？
56,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_009,謝謝你！<hex:02100103>啊，聊著聊著時間過得真快，<hex:02100103>陸行鳥篷車差不多該到了吧。
57,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_010,麻煩你到納爾之門那裡等等吧。<hex:02100103>要是有想成為冒險者的年輕人經過，<hex:02100103>希望你能和他們打聲招呼。
58,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_011,我明白你在擔心是否能找對人，不過請放心。<hex:02100103>初次造訪城邦的年輕人基本上對周圍的一切都會感到新奇，<hex:02100103>盯著那些四處張望的年輕人吧，八成就是了。
59,TEXT_FESANV801_04544_WANDERINGMINSTREL_000_012,呵呵……你以前不也被人這樣招呼過嗎？<hex:02100103>那就拜託你了！
60,TEXT_FESANV801_04544_Q1_000_000,要怎樣搭話？
61,TEXT_FESANV801_04544_A1_000_001,喲！那邊的冒險者！
62,TEXT_FESANV801_04544_A1_000_002,第一次來烏爾達哈？
63,TEXT_FESANV801_04544_A1_000_003,歡迎來到烏爾達哈！
64,TEXT_FESANV801_04544_NHAGIAJAKKYA_000_020,(-立志成為冒險者的年輕人-)嗚哇？！<hex:02100103>呃……你是哪位？
65,TEXT_FESANV801_04544_NHAGIAJAKKYA_000_021,(-立志成為冒險者的年輕人-)冒險者前輩？<hex:02100103>你願意當我的嚮導是嗎？
66,TEXT_FESANV801_04544_NHAGIAJAKKYA_000_022,(-立志成為冒險者的年輕人-)那真是太感謝了。<hex:02100103>畢竟我是第一次來到大城市。
