key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_AKTKVA001_04651_SEQ_00,
1,TEXT_AKTKVA001_04651_SEQ_01,
2,TEXT_AKTKVA001_04651_SEQ_02,
3,TEXT_AKTKVA001_04651_SEQ_03,
4,TEXT_AKTKVA001_04651_SEQ_04,
5,TEXT_AKTKVA001_04651_SEQ_05,
6,TEXT_AKTKVA001_04651_SEQ_06,
7,TEXT_AKTKVA001_04651_SEQ_07,
8,TEXT_AKTKVA001_04651_SEQ_08,
9,TEXT_AKTKVA001_04651_SEQ_09,
10,TEXT_AKTKVA001_04651_SEQ_10,
11,TEXT_AKTKVA001_04651_SEQ_11,
12,TEXT_AKTKVA001_04651_SEQ_12,
13,TEXT_AKTKVA001_04651_SEQ_13,
14,TEXT_AKTKVA001_04651_SEQ_14,
15,TEXT_AKTKVA001_04651_SEQ_15,
16,TEXT_AKTKVA001_04651_SEQ_16,
17,TEXT_AKTKVA001_04651_SEQ_17,
18,TEXT_AKTKVA001_04651_SEQ_18,
19,TEXT_AKTKVA001_04651_SEQ_19,
20,TEXT_AKTKVA001_04651_SEQ_20,
21,TEXT_AKTKVA001_04651_SEQ_21,
22,TEXT_AKTKVA001_04651_SEQ_22,
23,TEXT_AKTKVA001_04651_SEQ_23,
24,TEXT_AKTKVA001_04651_TODO_00,
25,TEXT_AKTKVA001_04651_TODO_01,
26,TEXT_AKTKVA001_04651_TODO_02,
27,TEXT_AKTKVA001_04651_TODO_03,
28,TEXT_AKTKVA001_04651_TODO_04,
29,TEXT_AKTKVA001_04651_TODO_05,
30,TEXT_AKTKVA001_04651_TODO_06,
31,TEXT_AKTKVA001_04651_TODO_07,
32,TEXT_AKTKVA001_04651_TODO_08,
33,TEXT_AKTKVA001_04651_TODO_09,
34,TEXT_AKTKVA001_04651_TODO_10,
35,TEXT_AKTKVA001_04651_TODO_11,
36,TEXT_AKTKVA001_04651_TODO_12,
37,TEXT_AKTKVA001_04651_TODO_13,
38,TEXT_AKTKVA001_04651_TODO_14,
39,TEXT_AKTKVA001_04651_TODO_15,
40,TEXT_AKTKVA001_04651_TODO_16,
41,TEXT_AKTKVA001_04651_TODO_17,
42,TEXT_AKTKVA001_04651_TODO_18,
43,TEXT_AKTKVA001_04651_TODO_19,
44,TEXT_AKTKVA001_04651_TODO_20,
45,TEXT_AKTKVA001_04651_TODO_21,
46,TEXT_AKTKVA001_04651_TODO_22,
47,TEXT_AKTKVA001_04651_TODO_23,
48,TEXT_AKTKVA001_04651_SYSTEM_100_000,若要繼續推進本任務，<hex:02100103>需要當前職業為設限特職外90級以上的<hex:02100103>戰鬥菁英或者魔法導師。
49,TEXT_AKTKVA001_04651_OSMON_000_001,你好？<hex:02100103>請問……你是<hex:022903EB0203>嗎？
50,TEXT_AKTKVA001_04651_OSMON_000_002,太好了，果然是你！
51,TEXT_AKTKVA001_04651_OSMON_000_003,初次見面，我叫奧斯蒙，<hex:02100103>是一名收集珍貴書籍為生的拾穗人。
52,TEXT_AKTKVA001_04651_OSMON_000_004,很高興能認識你！<hex:02100103>可以的話，我有個問題想要聽聽你的意見。
53,TEXT_AKTKVA001_04651_OSMON_000_005,我就是因為對讀書的品味越來越高，才開始了現在這份工作。<hex:02100103>但最近卻很難像以前那樣，總能遇到讓我感興趣的作品了……
54,TEXT_AKTKVA001_04651_OSMON_000_006,所以，我想著既然找不到我喜歡的書，<hex:02100103>不如乾脆就自己來寫一本書吧！<hex:02100103>俗話說得好，沒有條件，就自己創造條件嘛！
55,TEXT_AKTKVA001_04651_OSMON_000_007,綜上所述！如果可以的話……<hex:02100103>能不能請你給我講講你的冒險故事做參考呀？<hex:02100103>只要講一點，隨便講講就好！
56,TEXT_AKTKVA001_04651_Q1_100_000,要說什麼？
57,TEXT_AKTKVA001_04651_A1_100_001,那我就講講我剛出來闖蕩時的事吧
58,TEXT_AKTKVA001_04651_A1_100_002,那我給你講講我見證的龍詩戰爭
59,TEXT_AKTKVA001_04651_A1_100_003,我曾經參與了阿拉米格和多瑪的解放戰爭
60,TEXT_AKTKVA001_04651_A1_100_004,其實我不但去過異世界還去過遙遠的過去旅行
61,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_010,(-？？？？-)我回來……了？<hex:02100103>你們這是在幹嘛呢？<hex:02100103>在聊天嗎？！聊得這麼開心？！
62,TEXT_AKTKVA001_04651_OSMON_000_011,莎蘿·摩爾……<hex:02100103>唉……我們正聊得高興呢，你這麼早回來幹嘛。
63,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_012,你這叫什麼話，不要對我這麼冷酷啊！<hex:02100103>還不是我跟特裡薩桑出去找人找了大半天，<hex:02100103>結果連影子都沒見著，這才垂頭喪氣地回來了嘛……
64,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_013,在、在這裡！！
65,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_014,<hex:022903EB0203>！你、你好！<hex:02100103>我是拾穗人莎蘿·摩爾。<hex:02100103>正在到處找你！見到你真是太好啦！
66,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_015,我有新工作想委託你！<hex:02100103>來龍去脈有點長，<hex:02100103>我慢慢講給你聽哦。
67,TEXT_AKTKVA001_04651_SHALLOWMOOR_100_016,<hex:022903EB0203>你也是知道的，<hex:02100103>我們薩雷安人常年肩負著一項重大使命。<hex:02100103>我呢，也一直在為這件大事奔走四方，忙得腳不著地。
68,TEXT_AKTKVA001_04651_OSMON_000_017,費盡千辛萬苦搞到了目標物品，<hex:02100103>剛以為可以回家了，就又收到了下一個委託……<hex:02100103>工作一件接著一件，簡直看不到頭。
69,TEXT_AKTKVA001_04651_SHALLOWMOOR_100_018,但是！這種苦日子終於到頭啦！<hex:02100103>最近拾穗人的任務一下子減少了很多……<hex:02100103>大家都閒得發慌。
70,TEXT_AKTKVA001_04651_SHALLOWMOOR_100_019,所以，拾穗人總會決定做出改變，<hex:02100103>和冒險者公會開展合作，讓拾穗人也能接受來自國外的任務。<hex:02100103>這種新制度，叫非常規任務。
71,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_020,不過這一次我們幾個通過這項新業務接到的任務，<hex:02100103>……說實話，不是很像拾穗人的工作。
72,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_021,好像是冒險者公會那裡有一件任務指定了一定要你來完成，<hex:02100103>因為薩雷安沒有冒險者公會，任務就通過非常規任務指派給我們，<hex:02100103>讓我們負責給你當冒險者公會的代理窗口。
73,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_022,不過你放心，這個任務好像並不是什麼十萬火急的事情。<hex:02100103>你可以等到有時間了，再過來找我。<hex:02100103>任務的具體情況，我到時都會給你解釋清楚的！
74,TEXT_AKTKVA001_04651_SHALLOWMOOR_000_023,對了，聽說如果有人完成了非常規任務的工作之後，<hex:02100103>特裡薩桑那邊會有特別的東西販賣，你之後也可以去看看哦！
