key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGBA321_04832_SEQ_00,赤誠組營房附近的伊陶喀掌握了一些新情報。
1,TEXT_KINGBA321_04832_SEQ_01,和伊陶喀進行了交談。偷走了祭器的犯人似乎開始在多瑪行動了。冒險者一行決定從糾紛中尋找線索，在茨菰村收集情報。
2,TEXT_KINGBA321_04832_SEQ_02,收集了情報，並沒發現值得注意的糾紛。和茨菰村的伊陶喀談談。
3,TEXT_KINGBA321_04832_SEQ_03,和伊陶喀進行了交談，此時樸素的農民偶然路過，提及自己剛才為冒險者介紹了通往烈士庵的路線。伊陶喀認為偷走祭器的犯人擬態成了冒險者，決定和冒險者一同前往烈士庵。和茨菰村北側泉水邊的伊陶喀談談。
4,TEXT_KINGBA321_04832_SEQ_04,和伊陶喀進行了交談，到達了烈士庵。偷走了祭器的犯人擬態成了冒險者正在煽動戰士們。犯人暴露了之後聲稱與冒險者同行的伊陶喀是個冒牌貨。伊陶喀再次向變成鷹的犯人開弓，但箭矢又一次失了準頭，使得犯人趁機逃之夭夭。戰士們表示會將此事上報飛燕，敦促各地警惕。同時，中年戰士告知冒險者，犯人名叫五月雨。冒險者一行得知五月雨曾是多瑪的忍者，也擔任過帝國的情報人員。返回赤誠組營房附近，和伊陶喀談談。
5,TEXT_KINGBA321_04832_SEQ_05,和伊陶喀進行了交談。她的名字其實叫庫伊奇，真正的伊陶喀已經被五月雨殘忍殺害了。祭器正是因為庫伊奇犯下了錯誤才會被五月雨奪走。她之所以來到黃金港就是為了奪回祭器、挽回自己的錯誤。庫伊奇為自己欺騙了冒險者一事道歉，並決定不再冒用伊陶喀的名字，同時再次向冒險者請求了幫助。之後再找庫伊奇談談。<hex:02100103><hex:02100103>※任意近戰職業的等級達到96級以上時，可以從赤誠組營房附近的庫伊奇那裡領取下一個近戰職能任務。
6,TEXT_KINGBA321_04832_SEQ_06,
7,TEXT_KINGBA321_04832_SEQ_07,
8,TEXT_KINGBA321_04832_SEQ_08,
9,TEXT_KINGBA321_04832_SEQ_09,
10,TEXT_KINGBA321_04832_SEQ_10,
11,TEXT_KINGBA321_04832_SEQ_11,
12,TEXT_KINGBA321_04832_SEQ_12,
13,TEXT_KINGBA321_04832_SEQ_13,
14,TEXT_KINGBA321_04832_SEQ_14,
15,TEXT_KINGBA321_04832_SEQ_15,
16,TEXT_KINGBA321_04832_SEQ_16,
17,TEXT_KINGBA321_04832_SEQ_17,
18,TEXT_KINGBA321_04832_SEQ_18,
19,TEXT_KINGBA321_04832_SEQ_19,
20,TEXT_KINGBA321_04832_SEQ_20,
21,TEXT_KINGBA321_04832_SEQ_21,
22,TEXT_KINGBA321_04832_SEQ_22,
23,TEXT_KINGBA321_04832_SEQ_23,
24,TEXT_KINGBA321_04832_TODO_00,在茨菰村收集情報
25,TEXT_KINGBA321_04832_TODO_01,和伊陶喀對話
26,TEXT_KINGBA321_04832_TODO_02,再次和伊陶喀對話
27,TEXT_KINGBA321_04832_TODO_03,和黃金港的伊陶喀對話
28,TEXT_KINGBA321_04832_TODO_04,
29,TEXT_KINGBA321_04832_TODO_05,
30,TEXT_KINGBA321_04832_TODO_06,
31,TEXT_KINGBA321_04832_TODO_07,
32,TEXT_KINGBA321_04832_TODO_08,
33,TEXT_KINGBA321_04832_TODO_09,
34,TEXT_KINGBA321_04832_TODO_10,
35,TEXT_KINGBA321_04832_TODO_11,
36,TEXT_KINGBA321_04832_TODO_12,
37,TEXT_KINGBA321_04832_TODO_13,
38,TEXT_KINGBA321_04832_TODO_14,
39,TEXT_KINGBA321_04832_TODO_15,
40,TEXT_KINGBA321_04832_TODO_16,
41,TEXT_KINGBA321_04832_TODO_17,
42,TEXT_KINGBA321_04832_TODO_18,
43,TEXT_KINGBA321_04832_TODO_19,
44,TEXT_KINGBA321_04832_TODO_20,
45,TEXT_KINGBA321_04832_TODO_21,
46,TEXT_KINGBA321_04832_TODO_22,
47,TEXT_KINGBA321_04832_TODO_23,
48,TEXT_KINGBA321_04832_KUIYKI_000_000,你好啊，<hex:022903EB0203>！<hex:02100103>因為之前的事情，我認識了海賊眾的人，<hex:02100103>這次他們給了我一條很讓人在意的消息！
49,TEXT_KINGBA321_04832_KUIYKI_000_001,據說在紅玉海對面，一個叫多瑪的國家，<hex:02100103>竟然有人冒充當地的國王陛下！
50,TEXT_KINGBA321_04832_KUIYKI_100_001,冒牌貨本打算在一個叫多瑪飛地的地方鬧事，<hex:02100103>但國王陛下身邊的親信察覺到了不對，揭穿了冒牌貨的擬態。<hex:02100103>據說被揭穿之後，冒牌貨就變成了一隻鳥飛走了。
51,TEXT_KINGBA321_04832_KUIYKI_000_002,那個冒牌國王肯定就是偷走祭器的犯人！<hex:02100103>看起來他開始在多瑪鬧事了。
52,TEXT_KINGBA321_04832_KUIYKI_000_003,我們現在就去多瑪把祭器搶回來吧。<hex:02100103>他假扮國王失敗之後，應該會盯上別的地方，<hex:02100103>你覺得他接下來會去哪裡？
53,TEXT_KINGBA321_04832_KUIYKI_000_004,延夏的茨菰村嗎？<hex:02100103>哇，<hex:022903EB0203>，問你可真是問對了，<hex:02100103>你真是什麼都知道呢。
54,TEXT_KINGBA321_04832_KUIYKI_000_005,好！那我們就去茨菰村，<hex:02100103>到那去問問村民有沒有發生糾紛吧。
55,TEXT_KINGBA321_04832_KUIYKI_000_010,這可真是個山清水秀的村子啊。<hex:02100103>跟我們部族很像，感覺很舒服，很放鬆。
56,TEXT_KINGBA321_04832_SHINDEN_000_020,吵架……？<hex:02100103>這個村子裡的大家性格都很溫和……沒怎麼見過人吵架啊……
57,TEXT_KINGBA321_04832_MIYAKE_000_021,吵架啊……<hex:02100103>我前幾天因為熟透了的柿子跟我女朋友吵了一架。<hex:02100103>你說她這人，真是的，吃了自己的不夠，竟然把我的柿子也吃了。
58,TEXT_KINGBA321_04832_MIYAKE_000_022,不過我們很快就和好啦，嘿嘿。<hex:02100103>啊？你想問的不是這種吵架啊？
59,TEXT_KINGBA321_04832_OCHIMI_000_023,我們村子很少有這種爭執，大家都和和氣氣的。<hex:02100103>我倒是聽說有人在多瑪飛地那邊冒充飛燕大人，鬧出了很大亂子。
60,TEXT_KINGBA321_04832_OCHIMI_000_024,據說那個冒牌的飛燕大人大搖大擺地走出來，<hex:02100103>開口就說要派兵攻打納夏地區。
61,TEXT_KINGBA321_04832_OCHIMI_100_024,夕霧女士看到那人動作猥瑣、言行可疑，<hex:02100103>當即意識到不對，一口叫破了他的身份。<hex:02100103>那假貨立刻現出了原形，逃之夭夭了。
62,TEXT_KINGBA321_04832_SHINDEN_000_030,這個村子裡的大家性格都很溫和……<hex:02100103>沒怎麼見過人吵架啊……
63,TEXT_KINGBA321_04832_MIYAKE_000_031,我之前因為熟透了的柿子跟女朋友吵了一架。<hex:02100103>啊？你想問的不是這種吵架啊？
