key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGWK102_05254_SEQ_00,月門基地的查明威非常滿意宇宙探索計劃的進度。
1,TEXT_KINGWK102_05254_SEQ_01,和查明威交談的時候，到周圍閒逛的命名威回來了。為了參觀憧憬灣的各個地方，和月門基地的命名威交談，進入同行狀態。
2,TEXT_KINGWK102_05254_SEQ_02,帶著命名威前往他想介紹的憧憬灣的各個地方。首先參觀宇宙飛船「銀河威號」。<hex:02100103><hex:02100103>※同行狀態被解除時，再次與命名威對話便可進入同行狀態。
3,TEXT_KINGWK102_05254_SEQ_03,和命名威同行，先去參觀竣工的宇宙飛船銀河威號，聆聽了命名威在這個名字中寄託的情感。繼續和命名威同行，前往閃亮山。
4,TEXT_KINGWK102_05254_SEQ_04,在閃亮山和命名威進行了交談，得知了隕坑的名字所蘊藏的含義是對群星的憧憬。繼續和命名威同行，前往婚慶威的實驗園。
5,TEXT_KINGWK102_05254_SEQ_05,和命名威進行了交談，決定詳細觀察婚慶威的實驗園。在和命名威同行的狀態下在婚慶威的實驗園的<hex:02280CFF05>EObj<hex:F61EBDC10103>附近張望。
6,TEXT_KINGWK102_05254_SEQ_06,觀察了婚慶威的實驗園，了解了命名威對月面上的種種自然環境和命名的思考，以及想要通過宇宙探索計劃增長見識的想法。回到查明威所在的月門基地，告訴他自己經歷了一次愉快的散步。
7,TEXT_KINGWK102_05254_SEQ_07,被帶到了查明威最愛的地方，了解了他對宇宙探索計劃的展望。宇宙飛船銀河威號已經完工，終於有能力向其他星球進發了。在準備完成之前，先靜心等待吧。<hex:02100103><hex:02100103>另外，獲得「完成100次月球探索任務」的探索成果後，可以領取新的支線任務。與參與宇宙探索計劃的人們互動，積極從探索觸控板處參加任務吧。
8,TEXT_KINGWK102_05254_SEQ_08,
9,TEXT_KINGWK102_05254_SEQ_09,
10,TEXT_KINGWK102_05254_SEQ_10,
11,TEXT_KINGWK102_05254_SEQ_11,
12,TEXT_KINGWK102_05254_SEQ_12,
13,TEXT_KINGWK102_05254_SEQ_13,
14,TEXT_KINGWK102_05254_SEQ_14,
15,TEXT_KINGWK102_05254_SEQ_15,
16,TEXT_KINGWK102_05254_SEQ_16,
17,TEXT_KINGWK102_05254_SEQ_17,
18,TEXT_KINGWK102_05254_SEQ_18,
19,TEXT_KINGWK102_05254_SEQ_19,
20,TEXT_KINGWK102_05254_SEQ_20,
21,TEXT_KINGWK102_05254_SEQ_21,
22,TEXT_KINGWK102_05254_SEQ_22,
23,TEXT_KINGWK102_05254_SEQ_23,
24,TEXT_KINGWK102_05254_TODO_00,和命名威對話進入同行狀態
25,TEXT_KINGWK102_05254_TODO_01,帶著命名威參觀宇宙飛船<hex:02100103>和命名威對話
26,TEXT_KINGWK102_05254_TODO_02,帶著命名威<hex:02100103>在閃亮山對話
27,TEXT_KINGWK102_05254_TODO_03,帶著命名威<hex:02100103>在婚慶威的實驗園對話
28,TEXT_KINGWK102_05254_TODO_04,帶著命名威<hex:02100103>在<hex:02280CFF05>EObj<hex:F61EBDC10103>進行觀察
29,TEXT_KINGWK102_05254_TODO_05,和查明威對話
30,TEXT_KINGWK102_05254_TODO_06,
31,TEXT_KINGWK102_05254_TODO_07,
32,TEXT_KINGWK102_05254_TODO_08,
33,TEXT_KINGWK102_05254_TODO_09,
34,TEXT_KINGWK102_05254_TODO_10,
35,TEXT_KINGWK102_05254_TODO_11,
36,TEXT_KINGWK102_05254_TODO_12,
37,TEXT_KINGWK102_05254_TODO_13,
38,TEXT_KINGWK102_05254_TODO_14,
39,TEXT_KINGWK102_05254_TODO_15,
40,TEXT_KINGWK102_05254_TODO_16,
41,TEXT_KINGWK102_05254_TODO_17,
42,TEXT_KINGWK102_05254_TODO_18,
43,TEXT_KINGWK102_05254_TODO_19,
44,TEXT_KINGWK102_05254_TODO_20,
45,TEXT_KINGWK102_05254_TODO_21,
46,TEXT_KINGWK102_05254_TODO_22,
47,TEXT_KINGWK102_05254_TODO_23,
48,TEXT_KINGWK102_05254_SEARCHINGWAY_000_001,<hex:022903EB0203>，感謝你的幫助！<hex:02100103>話說回來……<hex:02100103>你有好好逛過這周圍建好的各種設施嗎？
49,TEXT_KINGWK102_05254_Q1_000_000,要說什麼？
50,TEXT_KINGWK102_05254_A1_000_001,只是遠遠眺望過
51,TEXT_KINGWK102_05254_A1_000_003,沉迷勞動無法自拔，完全沒注意……
52,TEXT_KINGWK102_05254_SEARCHINGWAY_000_005,勞動勞動最光榮！真是辛苦你了！<hex:02100103>這座基地中配備的設備和機器今後也會持續投入使用，<hex:02100103>你的經驗一定能派上大用場！
53,TEXT_KINGWK102_05254_NAMINGWAY_100_008,我回來啦！<hex:02100103>這基地太帥了，我都看入迷了！
54,TEXT_KINGWK102_05254_SEARCHINGWAY_000_007,對吧對吧！<hex:02100103>多虧了協助推進計劃的人類，基地才能發展到如此規模！<hex:02100103>我們兔兔族都非常非常感謝他們！
55,TEXT_KINGWK102_05254_NAMINGWAY_000_008,沒錯沒錯，有意思的東西數不勝數！<hex:02100103>闊別已久的月球讓我非常懷念，<hex:02100103>兔兔族的同伴們還如此努力，真開心呀！
56,TEXT_KINGWK102_05254_NAMINGWAY_000_009,當然，我給自己見到的場所和事物都起了名字！<hex:02100103><hex:022903EB0203>，我想為你介紹一下……<hex:02100103>方便和我一起出去轉轉嗎？
57,TEXT_KINGWK102_05254_SEARCHINGWAY_000_010,哇，這主意不錯！<hex:02100103>我會在這裡等你們回來的，<hex:02100103>你就放心去吧！
58,TEXT_KINGWK102_05254_SEARCHINGWAY_000_011,命名威起的名字一定很好聽！
59,TEXT_KINGWK102_05254_SEARCHINGWAY_000_020,命名威之前好像興奮地到處給各種東西起名字！<hex:02100103>我會在這裡等你們回來的，你就放心去吧！
60,TEXT_KINGWK102_05254_NAMINGWAY_000_021,<hex:022903EB0203>，那我們就出發吧！<hex:02100103>首先是基地裡的宇宙飛船……<hex:02100103>它所在那個地方我也很喜歡，就先從那裡給你介紹吧，好激動呀！
61,TEXT_KINGWK102_05254_SYSTEM_000_022,接下來將和命名威同行。<hex:02100103>在執行任務時，需要同行者處於附近位置。
62,TEXT_KINGWK102_05254_SYSTEM_000_023,在同行狀態下，切換區域或選擇「解除同行狀態」，<hex:02100103>都將會解除同行的狀態。
63,TEXT_KINGWK102_05254_SYSTEM_000_024,同行狀態解除後，<hex:02100103>只要和回到了起點的同行者對話，就能再次進入同行狀態。
64,TEXT_KINGWK102_05254_SYSTEM_000_026,在執行該任務時，需要與命名威保持同行狀態。<hex:02100103>此外，命名威應位於玩家附近。
65,TEXT_KINGWK102_05254_SYSTEM_000_027,同行者還沒過來。<hex:02100103>迎接並帶他來到附近吧。
66,TEXT_KINGWK102_05254_Q5_000_000,要做什麼？
67,TEXT_KINGWK102_05254_A5_000_001,對話
68,TEXT_KINGWK102_05254_A5_000_002,解除同行狀態
